"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.766736578115796,0.669277841726413,1.33784078410885,1.78042023052223,6.34660583902533,3.95920020423733,1,0.0704584352771353,20
"Fold_2",0.801226246077329,0.799554576641306,1.15464216216983,1.28033510317599,4.7563863216176,7.14431619693534,1,0.0438981817211375,33
"Fold_3",0.797627899486631,0.709492693723412,1.23599527204725,1.41144373684592,5.69968287304247,4.86552615056934,1,0.0488127196113347,28
"Fold_4",0.747836261477038,0.733563813748092,1.41640670442168,1.52216025320888,5.14034881715658,6.73495064108086,1,0.0754735871649079,20
"Fold_5",0.847040205928386,0.711122587491593,0.91860550416823,1.54579993354045,4.8158072030036,5.93026604790992,1,0.0242168598698811,44
"Fold_6",0.747287806171687,0.706107675605862,1.46426395366542,1.49237058712834,5.93729064886325,4.77793702955294,1,0.0793818853196824,20
"Fold_7",0.797673083394472,0.684549588163714,1.13141611752244,1.91283718543605,4.46091473011028,7.57715173007262,1,0.0580873501547646,26
"Fold_8",0.705307174226277,0.67315482118513,1.57716687105902,1.94006857522546,5.79885827980344,5.90981486103294,1,0.138698625967526,11
"Fold_9",0.705513314001487,0.57935406388125,1.64719322946367,2.14210051493065,5.93594497894582,5.93690257098674,1,0.201341984430703,5
"Fold_10",0.83523124981655,0.729514657334597,0.927851501450264,1.77770749573517,4.73440307269385,6.32901932287276,1,0.0342490036048289,35
"Fold_11",0.756243331181929,0.691279114278746,1.44004607662415,1.50177304318195,6.30537367884256,4.25245131777305,1,0.0759873736864134,17
"Fold_12",0.795861460218495,0.730758325354759,1.14511511491412,1.67591199546968,4.44091784945735,7.73902335057294,1,0.0482020023227786,28
"Fold_13",0.660764450723648,0.691658463293313,1.90902942889578,1.96801354655619,4.89596190661315,8.99945552668677,1,0.32253436424708,3
"Fold_14",0.826929478587689,0.729405053573222,1.01196210223468,1.57085259506519,4.41383319751251,7.38372713124671,1,0.0360682143431474,34
"Fold_15",0.786547879528884,0.767077153222663,1.26136178940171,1.30459713370501,4.98790595384268,6.68616370529555,1,0.052141571028503,33
"Fold_16",0.794196315890756,0.726485575436028,1.25601266298396,1.34389623535118,5.64938016696375,4.57862089291684,1,0.0508882949175315,26
"Fold_17",0.738720500801015,0.636143416339478,1.54020843356218,1.65082960224597,6.55730537869261,3.4237586235684,1,0.0931446955191687,17
"Fold_18",0.777215516963437,0.649694979812715,1.29500034699113,1.81243939998339,5.14749572787787,6.44933672237059,1,0.0738782179151983,21
"Fold_19",0.811731412974634,0.712865563022654,1.15330716549909,1.4044273950853,5.9260792442388,3.99628593225412,1,0.0421092634075097,32
"Fold_20",0.753013628437335,0.637585735919751,1.43919433139929,1.8025879986034,6.17623242566225,4.46102161402579,1,0.112077768824306,16
"Fold_21",0.802406705379532,0.663865045739161,1.12333915629677,1.92760958518635,4.70756385670917,7.54149489469936,1,0.0557163835749961,26
"Fold_22",0.786680525252326,0.704258788499535,1.22070504585756,1.70279423851285,4.99680408314039,6.62906609018529,1,0.054811958159431,29
"Fold_23",0.788210474962769,0.722992366621343,1.29294676860272,1.35802509896934,6.19878979796168,3.68554607540102,1,0.0518449830327928,24
"Fold_24",0.804010975465748,0.668360341409981,1.14961930396461,1.77235057520997,5.62259288557467,5.17391270962569,1,0.0526587380293011,31
"Fold_25",0.822229530426525,0.687440922470329,1.06761000149414,1.64109451657909,4.72771808140661,6.96350424804755,1,0.0412227909807052,37
"Fold_26",0.775196708014134,0.656648057512021,1.35648600014673,1.6004631377852,6.19663730041123,4.07319052144014,1,0.0758229772935183,23
"Fold_27",0.83376089186833,0.774590326740263,1.0455470698382,1.12218502274901,6.04297413775448,3.19287023900536,1,0.0278867598217297,50
"Fold_28",0.785702475770354,0.771030654179508,1.22812733662505,1.37222546661245,5.14359753853757,6.21144669972231,1,0.0481553427271033,32
"Fold_29",0.828481983815228,0.718151766310265,0.972922839350857,1.71181118169128,5.22223737797352,5.52587802513039,1,0.0294084909043414,45
"Fold_30",0.755110743294816,0.674287094214041,1.39646958870372,1.74057220799045,5.21099477617176,6.69388587923217,1,0.0843629189013407,17
"Fold_31",0.78848815482887,0.634432546682632,1.26728612223964,1.76986062677788,5.4958576311095,5.6732715893427,1,0.0697845498417685,18
"Fold_32",0.789933323980477,0.706525476854464,1.19357599799396,1.6965784124588,5.65640918120721,4.94049410851884,1,0.0523933576754512,27
"Fold_33",0.774038584229963,0.66431291690447,1.3142040736967,1.76816659418722,5.65116526121166,5.31998344233519,1,0.0788279968670075,19
"Fold_34",0.783049491995999,0.678557679386312,1.23717242822468,1.78203346606976,5.33959199823229,5.97780932953165,1,0.064645480930861,22
"Fold_35",0.802796634182543,0.73025010730218,1.15669408714653,1.48484747544144,5.70413685996681,4.47175515851393,1,0.0479379096940513,32
"Fold_36",0.776031064690814,0.717778918541431,1.29999615706975,1.52903022958357,5.30558610119051,5.81569214888113,1,0.0624482497693519,22
"Fold_37",0.767572978935437,0.692196624737388,1.29323005089912,1.8090803426196,4.39996496612124,8.40988937006155,1,0.0664808231142134,23
"Fold_38",0.739715242004966,0.70430092781351,1.4979932714482,1.56872167163235,6.51045076689208,3.70824026620333,1,0.0870867070244603,12
"Fold_39",0.804002914903208,0.727347327131121,1.12203501923166,1.5790336942359,5.07387872610389,6.13621156268244,1,0.0445709853254707,27
"Fold_40",0.773705088299939,0.696777653807495,1.3228696921325,1.55866625437909,5.08976780565724,6.55141860507259,1,0.0651384064917959,19
"Fold_41",0.806990874458826,0.653861189035512,1.10513653448863,1.91348969729752,4.27403800765156,8.4236094667348,1,0.0539861609300299,30
"Fold_42",0.794746198003634,0.734804678497072,1.19734301392792,1.4566284762366,5.69837886077157,4.84679221845878,1,0.04530355909356,29
"Fold_43",0.81176189833385,0.745332946990743,1.12231650640213,1.3807012286556,5.43458235469013,4.86355099394208,1,0.0393625793659512,36
"Fold_44",0.733073261063637,0.642592950505979,1.52862602084814,1.85478083570482,6.45598879063248,3.93716217694311,1,0.138611360097607,13
"Fold_45",0.820352435773262,0.767975809407967,1.11758274584882,1.2116653622551,5.90326197830727,3.61125769519744,1,0.0411190269945751,30
"Fold_46",0.723795808753144,0.70222688518459,1.51603559918514,1.68774702589187,5.5748420615092,5.97470424236104,1,0.104061224004447,15
"Fold_47",0.787842523261832,0.701641714095681,1.29717818686183,1.41142348982967,6.41731451215787,3.35177248259895,1,0.0571506979608286,25
"Fold_48",0.773221908010787,0.618872763869009,1.24131032192934,2.20580142016998,4.42583969245009,8.43007292327878,1,0.0782180815717719,21
"Fold_49",0.815887956428863,0.727963827587729,1.10575829399505,1.45100168497964,4.18076507954348,8.41202798993733,1,0.0476055501132271,27
"Fold_50",0.719554928430403,0.652373774192389,1.61783082969543,1.69728145765627,6.0856809874231,5.01430704286728,1,0.148795322250752,8
"Fold_51",0.87231304721955,0.665492246485086,0.817041052735241,1.73529766069897,5.60381818010922,4.06860725184546,1,0.0265649431402291,43
"Fold_52",0.824569300361065,0.663607020061324,1.06177199839219,1.84451370245809,5.49016138209565,4.95330801017152,1,0.0384756437600976,31
"Fold_53",0.756754976890084,0.749557946015403,1.3663554838662,1.47520840027285,5.34353035044668,6.23843067382115,1,0.0717867565114075,21
"Fold_54",0.798749189458115,0.687813130402539,1.178097439615,1.72255763998967,4.69243855618041,7.2259368604288,1,0.0631203452521219,23
