"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.823102497847662,0.73376789652464,1.07397284855504,1.47937345316036,5.96223509474755,3.97111103709133,1,0.10956305355647,26
"Fold_2",0.761420178718404,0.770914145241815,1.45255204076873,1.50132047512584,5.02993239117293,7.42400585239375,1,0.244606756340009,13
"Fold_3",0.796889822882632,0.769571578869585,1.28853618964617,1.1923474299908,5.67918110125497,4.89363086552184,1,0.160060146965479,19
"Fold_4",0.768636644450926,0.774440397818656,1.41767174847922,1.5202838887922,5.28315912556022,6.66792359229111,1,0.236363851377936,11
"Fold_5",0.786730999723214,0.716155715449688,1.30894691252823,1.63503188064757,5.29463908086041,6.34198563512023,1,0.196658083544635,17
"Fold_6",0.773913038365771,0.766150113708418,1.42118519182896,1.30571547016885,5.96270916346521,4.72450177603192,1,0.216247026157816,11
"Fold_7",0.782739255225952,0.785620772236603,1.25236014790044,1.49551209272468,4.74033025458783,7.3260579929088,1,0.162140584426891,17
"Fold_8",0.783242857904608,0.763816323717812,1.25291893985262,1.51503993355843,5.49078216102562,5.53262647972793,1,0.162224116196931,20
"Fold_9",0.782971565337573,0.704997039136429,1.32701076869616,1.64466223529234,5.75846819571533,5.49889828227618,1,0.210929034587536,15
"Fold_10",0.790865084679116,0.788833137966239,1.18602356184793,1.61401668323974,5.19674608992178,6.26061362249339,1,0.146342856093448,23
"Fold_11",0.779603916518261,0.724821737340977,1.41093983831155,1.37755516038149,6.33865322490302,4.27964804785309,1,0.22150722640062,16
"Fold_12",0.780007022828403,0.783789947731393,1.28828581911504,1.59841305690212,4.68090102030404,7.71686169497388,1,0.190095206825487,12
"Fold_13",0.775961130310331,0.782969339809757,1.33705474534428,1.44245509688136,4.44983882230776,8.52347222306086,1,0.188730088848147,15
"Fold_14",0.824402685442952,0.705276672057759,1.0696974851951,1.67650785894915,4.52858621625285,7.61040188548973,1,0.148937474089871,19
"Fold_15",0.783248466159046,0.811708158312951,1.34145050082739,1.17690869639763,5.1138612913234,6.62021609756505,1,0.174757827683246,18
"Fold_16",0.807495269209425,0.730300073498597,1.22249537453808,1.34718860878928,5.77978050403605,4.57781700576258,1,0.14789046795031,18
"Fold_17",0.895567640037662,0.761634113005859,0.688833889818399,1.15734044238857,5.52485426170844,3.35395509614524,1,0.040828361231227,67
"Fold_18",0.827806503323279,0.695241001207986,1.06999035186978,1.61495952834033,4.95474989716807,6.71501983260784,1,0.14149568726106,20
"Fold_19",0.789654866488434,0.747858850231617,1.34842151727359,1.28974773267971,6.18271037637153,4.00176399777789,1,0.198231267190245,13
"Fold_20",0.833862318719724,0.735739068467572,1.03757903697961,1.38543167622893,5.82169692335997,4.18527587084387,1,0.114031586090116,25
"Fold_21",0.835639773877318,0.737453146658813,0.969721371007544,1.55517040943548,4.67649053003211,7.11285271653452,1,0.0973538245096611,28
"Fold_22",0.769557928472213,0.708768145711733,1.42529728374436,1.72445180218771,5.25047293967931,6.77239543089525,1,0.263109389438788,11
"Fold_23",0.797538070174269,0.757449692502902,1.29170838369231,1.17214144355937,6.19067018458486,3.79130995170717,1,0.160148591880761,19
"Fold_24",0.838916583975451,0.704755566759868,0.986881633622798,1.62248963597327,5.46430488246492,4.98387379308023,1,0.108839708539639,27
"Fold_25",0.805968681019513,0.759563641922512,1.21132162117038,1.36622877704788,5.00651835376881,6.73460875387913,1,0.1588532037567,21
