"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.835295993615451,0.690337565619155,0.981767812406851,1.71544189151698,5.9595820357042,4.04861910064169,1,0.0366821489095097,39
"Fold_2",0.72777820870933,0.783882291557784,1.53144465818063,1.34105275115953,4.975554443083,7.21709223361743,1,0.127587010604549,14
"Fold_3",0.732206223623816,0.74265283715159,1.59729459047843,1.27216950948315,5.97312239625978,4.84672840336391,1,0.132740324674052,12
"Fold_4",0.748914502556678,0.713850207615284,1.42673163375834,1.65740180465622,5.23499990081266,6.75480836264946,1,0.120740006883296,14
"Fold_5",0.758979037894892,0.585747597552412,1.43663686806405,2.05055659805466,5.37036406569951,6.77553194490698,1,0.18560512093373,10
"Fold_6",0.733651878907387,0.747781686708661,1.55821296187442,1.35614285349144,6.14663032639398,4.71736701032021,1,0.129302359991889,13
"Fold_7",0.731627885698493,0.719649265118738,1.46655339692019,1.79631776536747,5.03344825775919,7.66402054845208,1,0.138889273422493,12
"Fold_8",0.755593531680339,0.686559957665869,1.36293640640086,1.85082675457047,5.55018986362801,5.85631695800619,1,0.122163842141738,11
"Fold_9",0.79336532548799,0.717795649285504,1.21611066912099,1.58173790150516,5.60000026905905,5.28256810648656,1,0.0809106521354882,20
"Fold_10",0.785661998019267,0.743241381586976,1.17901487044788,1.81048774658616,5.231477733094,6.47890403655419,1,0.0749932375903676,19
"Fold_11",0.762382606587565,0.753267344327952,1.42589605873609,1.24065195639982,6.39319971392453,3.60686847640205,1,0.0979837143419534,19
"Fold_12",0.728619238779395,0.784023543047513,1.48011377770883,1.5783687396204,4.7671359450401,7.81320593008118,1,0.122701441587798,13
"Fold_13",0.73854557526335,0.706807940249321,1.46409396281642,1.67745786760902,4.39513247630292,9.00764737638651,1,0.119710837745427,12
"Fold_14",0.763990557720342,0.581730007881848,1.37431311396374,2.17945016193544,4.83591237836758,7.98818822829191,1,0.173289401173867,12
"Fold_15",0.738750569329221,0.728262682821581,1.5291008941083,1.4960779101559,5.23766748421714,6.86774125422819,1,0.142343238838689,15
"Fold_16",0.766600942572193,0.69301610340322,1.44433854046448,1.49336862121215,5.97729575516348,4.64272199572358,1,0.141252081175821,13
"Fold_17",0.765382297060968,0.656277129286565,1.44915832817085,1.60325030913412,6.47969939359986,3.73109653714035,1,0.141962042766933,12
"Fold_18",0.792482255653167,0.667032466829347,1.22415033713233,1.74083686930774,5.24400292292558,6.61994730172932,1,0.0891777476186912,20
"Fold_19",0.754541807118665,0.707323470596938,1.47259843639269,1.43181521199841,6.3445830924675,4.03819689418527,1,0.120010993711701,14
"Fold_20",0.774317174731869,0.660749396901601,1.33710726115018,1.70629242895203,6.17847330147484,4.86669818924403,1,0.105788251910575,13
"Fold_21",0.820109709122933,0.688996705261,1.04097644510861,1.7863824088,4.70850396859362,7.26198637566253,1,0.0621689077287407,25
"Fold_22",0.744631115447113,0.674494954061058,1.46855599861907,1.78799707764392,5.22444888147657,6.99412156794026,1,0.158984917415433,12
"Fold_23",0.75094790506741,0.730716721967486,1.51736396648835,1.2784822138507,6.35438704598457,4.18025782409971,1,0.12760368510427,12
"Fold_24",0.810190031763962,0.729422657293421,1.11181370757857,1.53901496926896,5.64976592988882,4.6224252030875,1,0.0496046879512691,31
"Fold_25",0.822367677855355,0.737580196387504,1.06585074900373,1.41407781458609,4.60236882164143,6.80048290704098,1,0.046486840710493,37
"Fold_26",0.79595517620763,0.603813674525543,1.25609958724382,1.86113544649294,6.16444992745193,4.63274055358461,1,0.101302515957946,19
"Fold_27",0.853364412626031,0.774728599915702,0.926914850805965,1.18047354980384,5.55124201125397,4.15578490937918,1,0.0235956028734443,51
"Fold_28",0.801893022681197,0.803469833808989,1.14468873464442,1.1565784322785,4.92991754141512,6.3160096136532,1,0.0453751531062551,37
"Fold_29",0.759591637561606,0.749184754197306,1.32570131921044,1.55050652941821,5.70519940172728,5.53156232972309,1,0.0873770346780868,16
"Fold_30",0.724850445799866,0.683590534029786,1.604219366128,1.70669826964948,5.46618697974092,6.72574746432414,1,0.199944294951217,8
"Fold_31",0.800226008799973,0.693197140504516,1.20925095988219,1.52414853938644,5.44719900150308,5.51223229032014,1,0.074667844802666,22
"Fold_32",0.770843133281499,0.72002288273374,1.29622051238307,1.62458115472169,5.71124820242969,5.12799793845764,1,0.093433358493555,17
"Fold_33",0.781865209221488,0.651231013378446,1.2871780273434,1.78761356834263,5.90128618924208,4.82783945715528,1,0.100617245010664,16
"Fold_34",0.792652239574747,0.724511908339865,1.18689692019908,1.56632383116429,5.48304930367635,5.40988661270986,1,0.0633583009858749,26
"Fold_35",0.768394052293344,0.732451207837737,1.35291662466774,1.52660492210442,5.99023714421075,4.55556354386031,1,0.10642772058944,15
"Fold_36",0.783960760096065,0.758672365877764,1.27273711009416,1.33529635930959,5.24471393778738,6.1443356022777,1,0.0792818272968637,17
"Fold_37",0.791015084396659,0.749014384478992,1.1796280691139,1.52765560411602,4.34200217486398,8.12547387769103,1,0.0605187608458617,28
"Fold_38",0.737031258806069,0.714902919878929,1.54284431097261,1.56036480892129,6.40148087958891,4.46134122894084,1,0.143073437043447,12
"Fold_39",0.790576395821082,0.704544096293028,1.19201855433114,1.69401405718331,5.38564132715173,5.98905631163735,1,0.0735570531437624,24
"Fold_40",0.766587042388181,0.733386059742619,1.37954634556337,1.40189798057902,5.24856301622791,6.36145725251629,1,0.0999550847696968,15
"Fold_41",0.794566978180211,0.72812661640158,1.16814369602266,1.63780421823553,4.346953548223,8.1227739457271,1,0.0658658310163019,25
"Fold_42",0.780827110267793,0.736876820587563,1.27174839262854,1.47700400513731,5.81331294289536,4.73030948693627,1,0.0750085767720902,21
"Fold_43",0.785469866539182,0.760196856442519,1.26160289255711,1.30792844850322,5.73698186587534,4.81758610009177,1,0.0696644875608324,26
"Fold_44",0.743862246927084,0.671005232401722,1.50580724606091,1.79279379215448,6.53263195877501,3.76814981567746,1,0.170124242070726,11
"Fold_45",0.758414825865391,0.773605288825336,1.45725123697982,1.15018779200384,6.51423222695737,3.53587229339677,1,0.105000192062741,17
"Fold_46",0.730227320627219,0.657686049803234,1.54352986783886,1.94862061697634,5.72319443517802,6.00608606100143,1,0.193721851221474,9
"Fold_47",0.772858315684261,0.697831388883752,1.38565490758547,1.4582648355976,6.42989650042331,3.78960867185989,1,0.100339313438181,18
"Fold_48",0.764487831809864,0.721031750162675,1.29720731398069,1.82617460763484,4.45432243042211,8.31925658434201,1,0.101787281097374,19
"Fold_49",0.767991227388829,0.677452604284141,1.37261788968308,1.70910396180081,4.57028124215004,8.58123313248956,1,0.125924032206622,14
"Fold_50",0.736541830247442,0.72156232609925,1.55916866427655,1.44406522233436,6.05020233967038,4.92488886326466,1,0.151386383593413,13
"Fold_51",0.816865323395213,0.62321597390733,1.14403993497857,1.80148315968716,6.14082180938393,4.21145226222872,1,0.0872633354404832,18
"Fold_52",0.730822883812072,0.669871440691316,1.59420273817831,1.68921402662893,5.98818505297466,5.34897624591895,1,0.182084157767385,11
"Fold_53",0.748614366329591,0.749980512204516,1.41961171039865,1.500659139956,5.32404166049112,6.47300844482097,1,0.107645963120313,14
"Fold_54",0.840151696601958,0.733329322204336,0.945591016858038,1.51358186362027,4.33979381308777,7.84128688688021,1,0.0335194680514978,39
"Fold_55",0.696874146455447,0.767424095228082,1.70809215901374,1.3897392932161,6.32095828395758,4.39394105663064,1,0.16804575844788,11
"Fold_56",0.769473630587802,0.715887180154376,1.31807090037952,1.66660785548689,4.91612515666202,7.281889790367,1,0.11774911150333,16
"Fold_57",0.74085605824517,0.739971380864888,1.47072005208953,1.59788592527861,5.86021244605582,5.16298551506877,1,0.142907114710609,11
"Fold_58",0.825098323909276,0.624994973141319,1.03693826415389,2.03655501909169,4.48942022613987,7.86340340319775,1,0.0745916793774543,22
"Fold_59",0.71203081175882,0.748554442834897,1.66646482654688,1.39674857968662,6.11738356775695,4.82087167412113,1,0.144744471810933,10
"Fold_60",0.770665356899137,0.707052962164011,1.37258383233957,1.4921500139025,6.14824445190621,4.45261136412389,1,0.105561113041131,15
