"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.790468574401191,0.65789465214783,1.24369277278821,1.79673519741872,6.15781296679771,3.90401246041857,1,0.1119235991576,19
"Fold_2",0.775654163857026,0.714094147212593,1.29825571315103,1.63862796093169,4.84699556603036,7.61695118703717,1,0.113690423739891,21
"Fold_3",0.797484271484174,0.737908361673316,1.25378199808498,1.30087325400045,5.7148546294553,5.40526157492774,1,0.0842199104137746,27
"Fold_4",0.792959903305667,0.746277666559345,1.20585108943035,1.45065840951337,5.04514896947525,6.6322401568942,1,0.0789867625185974,25
"Fold_5",0.799337390126542,0.700963275696637,1.18008321342115,1.61846520044152,5.199290889697,6.48378413189898,1,0.0726511866655159,31
"Fold_6",0.705542783805353,0.708313327589232,1.75863851266843,1.54408366276586,6.2796250477389,4.87380428151759,1,0.248617410521031,9
"Fold_7",0.728654128207439,0.744717572175061,1.48465711004208,1.68735531452884,5.02762911399404,7.47798328992276,1,0.150137996380199,22
"Fold_8",0.776747487106855,0.692698010707939,1.25632971039277,1.78774554082841,5.44863006605882,5.97752957641305,1,0.106767886639651,22
"Fold_9",0.800743389820125,0.70730527280018,1.17814975434223,1.63428078383224,5.64207245328071,5.19357681513634,1,0.0849177743376824,25
"Fold_10",0.802942645988037,0.748953146866073,1.10583606682089,1.73863085519874,5.06580443355031,6.43234154971537,1,0.080416604906241,29
"Fold_11",0.715712953280577,0.673034605341871,1.7490367912,1.61908168325548,6.57779847025127,4.22242125634363,1,0.276768298113807,10
"Fold_12",0.784856592471508,0.724212278188658,1.21651170540559,1.68640715457618,4.65251629523575,7.70226193348939,1,0.0965672613179348,24
"Fold_13",0.751460511603996,0.762568923524462,1.41582446008179,1.50796334251006,4.59014170708522,8.52845417714295,1,0.122691095182643,23
"Fold_14",0.799753829205702,0.705899962855424,1.14973451622439,1.66175915201109,4.6409814545399,7.52096193451498,1,0.0716561006673918,33
"Fold_15",0.768495512463663,0.788719174359448,1.37634472963798,1.26091473789326,5.15643969928732,6.65965515147648,1,0.107746005345235,23
"Fold_16",0.826019648842625,0.717658000526722,1.09076207449701,1.37549719910151,5.63849864779478,4.569628022955,1,0.0625939664852966,33
"Fold_17",0.793243776408495,0.689924122010001,1.27353750664581,1.44127441307289,6.28721380892481,3.55696490795704,1,0.0847181373776259,25
"Fold_18",0.775334794163146,0.641971814036508,1.32874334466682,1.83761073811528,5.14810629459841,6.8607566346565,1,0.139167734269243,22
"Fold_19",0.793367890446282,0.721235137543032,1.27443953721281,1.36805968440014,6.06491584699948,4.207886985608,1,0.0960324101031786,26
"Fold_20",0.80205830226137,0.701075699163009,1.19462827454784,1.54004712240421,6.06982672095537,4.19748412247624,1,0.0860016741478541,27
"Fold_21",0.813541233112756,0.772447693641957,1.07017273395387,1.38778250577477,4.61438745021529,7.08806113858805,1,0.0575908820398647,34
"Fold_22",0.797425546176673,0.723238832838818,1.18534254274472,1.57638071149354,5.05932827030712,6.56151019356516,1,0.087152495110871,24
"Fold_23",0.826760653524445,0.746878136625793,1.08899832837473,1.23794843217746,5.92920750771435,4.02474711644976,1,0.0554286572668211,35
"Fold_24",0.836311654219682,0.660704495650683,0.981147579364462,1.78538833455325,5.47083229551274,4.95772490502722,1,0.0594120190786532,34
"Fold_25",0.84697533061828,0.70209253736191,0.939523487733088,1.58805042792062,4.63864395588109,6.74039191915758,1,0.0482341773969947,42
"Fold_26",0.774914156002555,0.639517429220988,1.38059286039627,1.67316065846025,6.1744717510479,4.36120196206382,1,0.137317330871792,19
"Fold_27",0.766041882633902,0.711999278948854,1.42847372162092,1.35714840970425,6.42588268139186,3.46668547940521,1,0.111273050124286,21
"Fold_28",0.75971838686913,0.776233627022573,1.37079389449029,1.33893680812047,5.20324309527856,6.54854195999297,1,0.0971139266823025,27
