"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.775740694221528,0.673195426836476,1.33274442667762,1.7851137201245,6.31326518334356,3.8310886820445,1,0.144835908847884,12
"Fold_2",0.729371621756934,0.784278560131937,1.53787379295803,1.38919783445591,5.03969969785201,7.20190110007748,1,0.1536201718457,13
"Fold_3",0.753069972674476,0.644055487678413,1.53899140418262,1.6508063557073,5.98310986819336,5.23443884711498,1,0.201972998152948,10
"Fold_4",0.737852165311357,0.770889943281093,1.52227642134995,1.50494675429955,5.37164818243632,6.5333681831276,1,0.170673822965012,15
"Fold_5",0.773893625674409,0.6923500682261,1.34667635387063,1.70780093051007,5.3428452316731,6.27504439912534,1,0.142003046319751,14
"Fold_6",0.732969260779214,0.706128318265346,1.62119651272127,1.52901002324554,6.08163544477188,4.95161009976483,1,0.216247026157816,10
"Fold_7",0.785215011572242,0.746814610879307,1.21555671650837,1.67376810844387,4.66233243202924,7.40741165567139,1,0.106677677559847,20
"Fold_8",0.736667071877927,0.655955433245074,1.47835219828179,2.01098950371957,5.67425756832054,5.83620749429978,1,0.195399522274556,11
"Fold_9",0.736580061386489,0.678713891728596,1.55596575458563,1.75524865456896,5.81275953990932,5.60880777162142,1,0.214353640993629,12
"Fold_10",0.819396416088651,0.722879148429557,1.01932907188236,1.87657532542349,4.90429636477519,6.39321616843796,1,0.0728351843248754,26
"Fold_11",0.752071279145209,0.701070380822669,1.50566449298667,1.45737860552276,6.32325002788541,4.26496315169839,1,0.159009083940111,16
"Fold_12",0.733671030976603,0.789760524064027,1.48626474573463,1.54557626701674,4.73953683438098,7.88961564653767,1,0.157820380324201,14
"Fold_13",0.754398090314859,0.738180663187994,1.42551556826108,1.57908987614726,4.43389995746545,8.76617034778406,1,0.15668703539684,13
"Fold_14",0.787238660566973,0.678080526915671,1.24687331892685,1.82331418953621,4.64444486484223,7.77380795965405,1,0.129538219542078,18
"Fold_15",0.749804196236243,0.785139881731752,1.48649945191093,1.30099853222637,5.16708834202957,6.62874512310869,1,0.142384366376835,16
