"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.809194361205829,0.714465988975676,1.1431402577829,1.65657465327897,6.16918464925253,3.97401747615833,1,0.097576926765042,17
"Fold_2",0.813700668163873,0.810937102040487,1.08471256796116,1.15653884440085,4.67133093013157,7.01012233955451,1,0.0553932227589003,34
"Fold_3",0.831485275833268,0.731633083633802,1.04974219114453,1.38777861392643,5.51078743694277,5.05450074302323,1,0.0561227658375203,27
"Fold_4",0.764568631408863,0.779601574990781,1.37828670651473,1.37536512328806,5.24211944508277,6.79581081413818,1,0.138172385174006,14
"Fold_5",0.878272716849978,0.755157463766659,0.741433908878289,1.34501812162949,4.6342985772215,6.07797673931881,1,0.019191447298714,51
"Fold_6",0.752129565351355,0.712310298775971,1.52365766781852,1.48637791555398,6.16001027884293,4.99234028165467,1,0.20126201350393,11
"Fold_7",0.795828928677706,0.77096588159806,1.15882917357708,1.57571176777748,4.68254801084463,7.52779857721855,1,0.101509294076642,16
"Fold_8",0.773041402703483,0.758689114497465,1.28234266768048,1.58007918487644,5.6331126585728,5.61976023121419,1,0.115150035954006,17
"Fold_9",0.780714382634745,0.680423133260215,1.30139850269517,1.72236759791348,5.75073967327827,5.73384200230124,1,0.145385201695684,13
"Fold_10",0.805053759778776,0.734993898472275,1.10120139605551,1.86754088091301,5.16493341623927,6.58086054676292,1,0.104591508330662,14
"Fold_11",0.786227780686403,0.732229523956138,1.3196295278405,1.33051181963327,6.20449018852047,4.16795396027979,1,0.120993387632056,16
"Fold_12",0.7654707174081,0.775789614397441,1.32158971812036,1.55728531156938,4.77556606844511,7.84467104412736,1,0.1280287494831,13
"Fold_13",0.766061726979428,0.750356305356612,1.35410019358806,1.50475769583058,4.46435480232045,8.8465972218552,1,0.133271599253225,13
"Fold_14",0.795248834181231,0.704769292323977,1.21878445378904,1.71319545633807,4.70296300019266,7.65172765102942,1,0.132672590045813,16
"Fold_15",0.766403818810664,0.808881754520437,1.39210609748067,1.18915403918623,5.16059128229055,6.63297516168784,1,0.12045379184194,17
