"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.792372043117978,0.594128823905478,1.28227872008431,2.13944529842477,6.38684132062747,4.40655578490481,1,0.163278322648415,11
"Fold_2",0.79156930782783,0.767859875172448,1.22858769141311,1.40549555064571,4.78874193182559,7.48186788169583,1,0.089917484590574,21
"Fold_3",0.812856386219367,0.723049635266324,1.17021471645575,1.33855257423716,5.78690651569205,4.93724502983382,1,0.0738020029332336,23
"Fold_4",0.74217539231152,0.708328770125691,1.53248801341999,1.77540760844248,5.45309429880425,7.00535607092378,1,0.187532378382623,15
"Fold_5",0.809947917835269,0.704789602518403,1.14138005527021,1.58773607167729,5.22047212798755,6.23418902292625,1,0.0821624517453487,25
"Fold_6",0.793131064886308,0.725061928943919,1.26701110364526,1.4098230386673,5.89774738934574,5.0734896407848,1,0.097598158384557,24
"Fold_7",0.76950620793507,0.754058918494038,1.30018609804547,1.60268190258954,4.84690033555273,7.62956950785681,1,0.110743615082688,18
"Fold_8",0.747231741884868,0.680051217601613,1.47059745650691,1.9774103639676,5.77295010899171,6.05437465925561,1,0.192612223272971,12
"Fold_9",0.796477130406923,0.73962091908216,1.20167294550444,1.45648727328183,5.61343160487293,5.4444322785911,1,0.0795252295747793,20
"Fold_10",0.776525658377687,0.735093354350922,1.28519146144841,1.85342874980688,5.37631764814053,6.2784144117039,1,0.137827393515655,14
"Fold_11",0.77240784459982,0.724976046638883,1.38775739062888,1.37400802640487,6.27506324467973,3.92236909788532,1,0.109472478628042,19
"Fold_12",0.770622638043978,0.81299798465427,1.29278067544895,1.38496663662553,4.67410016410736,7.60455610935638,1,0.0937570348479246,22
"Fold_13",0.79527064377768,0.783214613785339,1.19126697403004,1.3423446322615,4.48896483714467,8.42409325324353,1,0.0721208508096031,27
"Fold_14",0.809627182958054,0.6821632246947,1.12006245257313,1.80036907565409,4.61107060670216,7.83321487074076,1,0.0820679749738632,29
"Fold_15",0.764879364078649,0.716750994169081,1.41285117887155,1.52014832916384,5.21034671494438,6.9721554128511,1,0.128288488486727,15
"Fold_16",0.787287141730716,0.693763942248065,1.331970329705,1.48328782197053,5.84166475229989,4.7822486809817,1,0.118931552479027,20
"Fold_17",0.787574471889689,0.697083106070717,1.31928030416222,1.45218835880877,6.36380283239524,3.81682998256372,1,0.0970464154821281,23
"Fold_18",0.769073136024101,0.715367974748408,1.37410450435388,1.58571838167276,5.31502238109651,6.59818521758332,1,0.127463389138393,17
"Fold_19",0.756198002623581,0.711326773875499,1.53773370668568,1.44016614300629,6.49057375604943,4.1015961371046,1,0.173631226399323,13
"Fold_20",0.777389635300306,0.70497842843231,1.35610477559999,1.61629178760307,6.24996805795593,4.25558104762748,1,0.132812039565821,15
"Fold_21",0.828851520405679,0.735451116746395,0.984342457036398,1.56140318242779,4.82806747833836,7.39115268944029,1,0.0463954230751637,31
"Fold_22",0.758137206776824,0.691318617105213,1.4443557549322,1.77336051863192,5.3160038232068,7.00461866700308,1,0.171917626887074,11
"Fold_23",0.81178341764674,0.749820862076787,1.17648906358723,1.20226604464888,6.04147690687732,4.27294609188757,1,0.0652426463647723,28
"Fold_24",0.81985191599317,0.712837795141083,1.08137513609929,1.61775774535677,5.71305023041457,4.78218989478283,1,0.0752317238679115,22
"Fold_25",0.870508649430424,0.686400173540008,0.790589159890062,1.72072606197702,4.67189443355742,7.02437173316928,1,0.0219827733771982,46
"Fold_26",0.792797844376012,0.612675534363323,1.33344046854942,1.77658290635809,6.26835711602837,4.57382133969599,1,0.158676271822338,16
"Fold_27",0.782712015531221,0.77770024926907,1.35970364866226,1.09437839916917,6.41975253889779,3.1638994164693,1,0.0985477186017168,17
"Fold_28",0.783786548028987,0.791014476193672,1.26031401471545,1.25626205153779,5.24330772830921,6.10354787593986,1,0.0823819150579019,21
"Fold_29",0.723142340838382,0.763744973246479,1.60082446196576,1.74802182060692,6.01155097055104,5.56736847885243,1,0.203358726772899,10
"Fold_30",0.779808083392884,0.708258954509164,1.31334196166175,1.60003940420478,5.1847689733552,6.57016770726893,1,0.117762572486854,23
"Fold_31",0.807115240637372,0.664193254075794,1.21343938705378,1.64564368122956,5.49493407960861,5.80558892897543,1,0.111606663499297,16
"Fold_32",0.777687458037237,0.678277137407547,1.29012504184688,1.81946209813603,5.83445251646177,5.47431499458783,1,0.124762490502957,16
"Fold_33",0.766323994306537,0.682748546759889,1.39930765043873,1.74156943496972,6.03022214777788,5.0510473784687,1,0.139715581926894,16
"Fold_34",0.807484179220402,0.725747185195784,1.14298838348283,1.55926754725507,5.50324999774603,5.43042418032508,1,0.087360605566221,22
