"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.817539866730343,0.705605053181216,1.12057941774408,1.67155576800095,6.02044471787924,3.72474730280964,1,0.122836011905006,21
"Fold_2",0.781594074817473,0.752818854813618,1.2931036694958,1.48445470932893,4.85894054128237,7.45988569903585,1,0.143461043734873,21
"Fold_3",0.810462188262354,0.732853957067606,1.19955176115265,1.33550553126145,5.68768893666161,5.24005702968074,1,0.111333765096091,29
"Fold_4",0.794811405056472,0.766196500750508,1.21146980836635,1.40606684462678,5.07483712776727,6.48408138323975,1,0.10938769093253,26
"Fold_5",0.808715767968238,0.734109028123448,1.16285071941414,1.50254727110803,5.18030456711668,6.23740532246035,1,0.115681234443313,23
"Fold_6",0.778573796923111,0.752869834552488,1.39420004029901,1.31038205126661,5.98957486294555,4.58957913601142,1,0.171362337310934,13
"Fold_7",0.802649559415472,0.790519447749164,1.13222167292111,1.4272301508779,4.637831512693,7.26160041017099,1,0.0987807761020509,29
"Fold_8",0.803531111624158,0.74618697445212,1.13549224432566,1.5494507852485,5.27713388081652,5.7144246627679,1,0.106767886639651,27
"Fold_9",0.82966451251986,0.738767200896197,1.02847084028813,1.48597727320658,5.4059616090686,5.18291710588528,1,0.0810581304371926,33
"Fold_10",0.83944561604844,0.767761657099286,0.920964642570963,1.60931974541874,4.89337701307113,6.31560276764636,1,0.0699422619111114,38
"Fold_11",0.764086739789733,0.707321858263147,1.50672572366332,1.47250536261713,6.29416214503789,4.05098158737709,1,0.219334143061711,15
"Fold_12",0.79520389036833,0.765742729351956,1.19397348621643,1.53662086792246,4.56037986672845,7.68497898670028,1,0.12765623633085,25
"Fold_13",0.830640723486403,0.811764130408297,1.00300168847607,1.19461930968341,4.09471044093156,8.2399452667378,1,0.0610636471857729,44
"Fold_14",0.811531378522876,0.696011222534779,1.14399455156025,1.7082032653089,4.61040710349904,7.66374093816636,1,0.143973802296047,21
"Fold_15",0.772037226155995,0.798266621244361,1.39594003492195,1.2513786065417,5.10243388817257,6.70757008976289,1,0.156321005322845,19
"Fold_16",0.813152108639722,0.72827796759377,1.17593176429432,1.34523967237982,5.64380710613011,4.63874233486884,1,0.104413029119606,26
"Fold_17",0.804842710258766,0.699496652367144,1.23724681122141,1.4140266543382,6.2539720923235,3.56385975013384,1,0.122911511768032,22
"Fold_18",0.802574502587427,0.692315099436643,1.20682528234365,1.62726722550721,5.09114564433186,6.61226794135413,1,0.139167734269243,21
"Fold_19",0.776650100187193,0.74092840150869,1.40142252390532,1.30600573454097,6.1681598485119,4.05601348220443,1,0.160191714881728,20
"Fold_20",0.809198749138904,0.724342914051773,1.19810670418202,1.47413169995968,5.99952800232822,4.188391718188,1,0.136938985944155,21
"Fold_21",0.82576897340984,0.75341921107111,1.01614004193121,1.48281498695629,4.57862334776287,7.02671552085889,1,0.0797568276535607,30
"Fold_22",0.795158646963378,0.758000911648827,1.21920959275474,1.46243266143209,5.05470967942265,6.58432740654923,1,0.126443348024578,23
"Fold_23",0.833283643195538,0.742586745656492,1.05616955302302,1.2323899970736,5.84898567804064,3.78168789509119,1,0.0699430326912455,33
"Fold_24",0.826832570615823,0.6900867466566,1.06814771476508,1.69140824403939,5.5050480954016,4.91703526171791,1,0.119372589481854,25
"Fold_25",0.84249117770828,0.727681669408546,0.972665101745663,1.46724018628056,4.59865960836119,6.99589728120434,1,0.0733116608028101,38
"Fold_26",0.805342428258163,0.648868342106239,1.28754678676962,1.64280617935133,6.13081263705737,4.4275900830056,1,0.190168900080528,19
"Fold_27",0.774212087800864,0.732397874138946,1.43417694673281,1.27881506853461,6.46323452606359,3.25834005436863,1,0.16912514211788,18
"Fold_28",0.765131024772212,0.786972973413802,1.3911427032426,1.33096261602805,5.2337590896038,6.35650558485513,1,0.154632834450019,21
"Fold_29",0.763462262836448,0.731098124009354,1.36995083360102,1.63978489944736,5.65939833464894,5.65687082731925,1,0.174932507396684,17
"Fold_30",0.790092754655222,0.742724370951734,1.26467479981439,1.42373029417347,5.0979073411093,6.39309852717431,1,0.133097628927117,22
"Fold_31",0.801611744555288,0.664248710443654,1.24575225239065,1.64654088149224,5.51565476122125,5.76695844134654,1,0.147742975145902,18
"Fold_32",0.821397060355359,0.746594162504544,1.05907804439474,1.50681145898064,5.50187649775459,4.99597761266021,1,0.0964951989073836,27
"Fold_33",0.827708723046945,0.731398627312369,1.04471081454251,1.44986055787947,5.61503423172903,4.72784206876203,1,0.0826322459757146,32
"Fold_34",0.80568567144333,0.703688539645345,1.17027820501193,1.69401019085835,5.478892747305,5.64862039208543,1,0.136889606115771,20
"Fold_35",0.789758638628902,0.727343828690451,1.29894812666872,1.60415205371143,5.93678816838568,4.69516204714705,1,0.170673901231134,19
"Fold_36",0.838722535351212,0.776359732023101,0.979752527885602,1.24237562283232,4.84925947837107,6.01072058733631,1,0.0613345952605088,35
"Fold_37",0.796508747952949,0.669924498127543,1.22946976806383,1.91434288770767,4.40324530805252,8.48282220858362,1,0.180376355320542,19
"Fold_38",0.750774047636101,0.751239911359528,1.54045581804992,1.50102150558136,6.42016581807725,3.96996701593773,1,0.211289896298303,16
"Fold_39",0.781671414613431,0.702577515313222,1.30498604131274,1.77426866829541,5.40884082352181,5.93826823856489,1,0.176679751526636,17
"Fold_40",0.82017456121095,0.758523476085147,1.10391243658106,1.30327225287099,5.01549829925932,6.26828179204843,1,0.0902769136580968,32
"Fold_41",0.825639282511297,0.706728128837449,1.05700868440123,1.73053681208212,4.2933356408613,8.29491907910051,1,0.120560262057494,26
"Fold_42",0.809480864795045,0.757482559774226,1.14669925071531,1.37855118935514,5.70728422027827,4.60628959994359,1,0.0988815317713422,30
"Fold_43",0.816711108550845,0.791861771387665,1.1079011790843,1.19012968125725,5.42682927066525,4.79361763101215,1,0.07718595274744,33
"Fold_44",0.820205327798107,0.740722880904347,1.1274486345189,1.53214561300406,6.09722545584357,3.72728049362068,1,0.131673081499351,23
"Fold_45",0.798529935566226,0.781188282620243,1.26524160195872,1.11424645558103,6.14885388810042,3.36614984103898,1,0.115045652718187,24
"Fold_46",0.765784547594126,0.71252512500281,1.39344547797929,1.7115593939592,5.45735348053893,6.25845054065146,1,0.190852163383155,14
"Fold_47",0.76748708639525,0.663952504334529,1.46376727030928,1.56825709608689,6.4630453345548,3.6245575862712,1,0.188872879162487,14
"Fold_48",0.783890113546253,0.674938063936947,1.24848984266215,1.99002572370176,4.37878318397831,8.54879216883002,1,0.171408427421458,16
"Fold_49",0.835662348455139,0.711309311950847,1.02337131019506,1.57910842899391,4.09351704776979,8.32476698380384,1,0.0983951338372016,28
"Fold_50",0.72487648320445,0.621708930093313,1.68407213109591,1.82123362481874,6.18447372292288,5.02688835961967,1,0.285141634753316,8
"Fold_51",0.824629103540197,0.646374435353782,1.13749829972047,1.70466053567652,5.97095816554736,4.22624182232249,1,0.142717118291683,19
"Fold_52",0.792670290179607,0.629395717255785,1.32065929671955,1.80808255859772,5.82197517984215,5.25399624313221,1,0.192352111125113,18
"Fold_53",0.793211245807205,0.768077819957693,1.24842737472935,1.41813264682907,5.13739280994874,6.52563594366508,1,0.145606842204336,20
"Fold_54",0.801835025228996,0.716770892157631,1.19660172306921,1.60836423276017,4.70004551969583,7.30258228805784,1,0.13013214597415,22
"Fold_55",0.774702718612085,0.79663153771126,1.35644781011466,1.2198088053343,5.96544356653601,4.3780153390127,1,0.145853968689251,22
"Fold_56",0.864846509715524,0.74197154035677,0.800908820902942,1.57423677609763,4.29870918159235,7.55993829411869,1,0.0420301689204097,47
"Fold_57",0.794536503445249,0.743764408891192,1.22356878301811,1.49672863578163,5.60795315403389,5.32277711451363,1,0.136701216778071,21
"Fold_58",0.838493523263578,0.64748047101831,1.00036016698295,1.93676677081444,4.51700217269267,7.73919823351081,1,0.127230018056664,21
"Fold_59",0.832573722873888,0.790511401775914,1.03880877963967,1.09896264615276,5.54811185812035,4.55063726219744,1,0.062756811126726,40
"Fold_60",0.786494704467688,0.782137626388009,1.31812065220786,1.20231322973217,5.97132217919945,4.15492462858842,1,0.13110082716512,25
"Fold_61",0.777869585519838,0.714223173208727,1.37246972272284,1.54318631535155,5.95998599646701,4.64999069496955,1,0.17305172009168,20
"Fold_62",0.745571339230267,0.749595469119535,1.54765670602044,1.46398761751016,6.23631227081075,4.30307146355033,1,0.204048091978613,21
"Fold_63",0.814712973257514,0.745065498212141,1.07938736180557,1.57876936168359,5.62095144772342,4.80841160585318,1,0.0969861745454834,31
