"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.837593377669303,0.704566438640382,0.991905818947409,1.6518303501702,6.0095673534975,4.19046015506755,1,0.0953505958280313,34
"Fold_2",0.806806803573572,0.768917388282951,1.17220062557497,1.39776761760766,4.88931562825183,7.62529925095564,1,0.133234579928762,22
"Fold_3",0.819288218399186,0.754149722298036,1.16444695447603,1.24845392986216,5.8561881558286,5.0634418934439,1,0.127963977417952,22
"Fold_4",0.783989221204903,0.75642280045284,1.31690930225726,1.51189261387609,5.31676329222564,6.8743209124329,1,0.180937873971217,16
"Fold_5",0.835383284572193,0.715781837258135,1.01232356462613,1.55952340114006,5.14130705897043,6.38756608289669,1,0.103406035961998,25
"Fold_6",0.80936119205831,0.772134586272367,1.20657190769335,1.22710294599958,5.91416025858731,4.84946949177581,1,0.13928515949899,24
"Fold_7",0.8051559558017,0.757093319889338,1.1254711252443,1.55405417654315,4.72936703104531,7.50924859830038,1,0.122900577396042,23
"Fold_8",0.79758899572143,0.740796952101453,1.19223679969546,1.6387648686458,5.55668265725564,5.75555776316956,1,0.15410157820425,19
"Fold_9",0.790578834668413,0.734535069323116,1.2791969442376,1.49536450361348,5.81386126090524,5.61314787541849,1,0.168044518024764,17
"Fold_10",0.884010396151205,0.727477985477944,0.678930407385802,1.80923299863932,4.55367504402721,6.33429155146287,1,0.0446753872391464,58
"Fold_11",0.787803865973186,0.760439048233381,1.36851069938899,1.24487751209599,6.37559471951179,4.02262241948877,1,0.185097290291912,18
"Fold_12",0.804951540231728,0.837508422787447,1.14333731112741,1.2490356612471,4.68400192653246,7.49865068515397,1,0.117766365462834,25
"Fold_13",0.801916070117418,0.788386430891495,1.19484378024517,1.34860662906491,4.53547746466631,8.51440798200568,1,0.137523444136377,23
"Fold_14",0.839195394687337,0.716145365253884,0.980182032231108,1.66686845952449,4.54447169041349,7.78962826108737,1,0.112358752023758,26
"Fold_15",0.754817629790379,0.739010024947619,1.53622767136321,1.55546772565468,5.46313217236554,7.12146541258108,1,0.238100965188478,18
"Fold_16",0.821233924916895,0.750042346564507,1.16534551289644,1.28855428174396,5.84592337513727,4.58948443322851,1,0.136581241421237,25
"Fold_17",0.812358335138857,0.689933744800417,1.21160823705,1.45908584651901,6.42312049771298,3.88946830090549,1,0.146608164466106,25
"Fold_18",0.818226927813902,0.708484725197619,1.13457126435933,1.57713612113493,5.14881138985316,6.70202376895904,1,0.146014979392419,18
"Fold_19",0.805312696581028,0.749062214824859,1.253256991199,1.26865346895834,6.23844134235905,4.1492296150012,1,0.150452275382337,22
"Fold_20",0.810193282147542,0.72412676719872,1.21202196817641,1.49853534032343,6.2112233190908,4.37565566995555,1,0.167994858310271,18
"Fold_21",0.838533784989492,0.729797203304574,0.973478580390637,1.6151901295492,4.79784351697952,7.39077415722803,1,0.110776242891674,26
"Fold_22",0.80873798264364,0.695816023894328,1.18126084590659,1.73918046342649,5.17429104191423,6.89434429827266,1,0.158006387276242,23
"Fold_23",0.823753201953608,0.772025760272303,1.13873535580773,1.11921655787744,6.1609939012787,4.11022444378489,1,0.113733974082909,28
"Fold_24",0.838908348893506,0.738946646920762,0.995219596967919,1.53497773647349,5.68124038930511,4.89697077122376,1,0.106917241466515,29
"Fold_25",0.845301154017837,0.73351527552691,0.974941727962293,1.45701441679521,4.86592520236191,6.98375131019613,1,0.101401927073276,27
