"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.812889358219351,0.688780309491542,1.15904629015204,1.71415134960598,6.29839984367902,4.16518025335019,1,0.151825113071795,23
"Fold_2",0.793796429011822,0.764284283185337,1.24482817953502,1.41935568223456,4.98325350533664,7.73515099174774,1,0.146224786992802,20
"Fold_3",0.820796604164963,0.745614827920984,1.14262068272958,1.27377733752123,5.82720446108084,5.0928550149612,1,0.111296541730268,28
"Fold_4",0.789824822080601,0.755370264572301,1.26822400479962,1.48826983907738,5.27824396853503,6.86206043283196,1,0.157370535422248,17
"Fold_5",0.83302728686008,0.725930602138856,1.022147335759,1.53005923390147,5.16606488450367,6.3641389455882,1,0.0987060720370434,27
"Fold_6",0.789695799769403,0.766632375470664,1.31838374370342,1.27509537847263,6.07055863318318,4.8888527719354,1,0.160144086489053,21
"Fold_7",0.784538472110636,0.750019316128434,1.25167573576137,1.64037930210281,4.9175698089507,7.57893230817916,1,0.162467330430062,15
"Fold_8",0.793356136583453,0.735661304806886,1.21095909930444,1.65349157769685,5.58276088874917,5.78572387594227,1,0.15410157820425,21
"Fold_9",0.779994527210613,0.73669055333413,1.32746418929601,1.49489256964843,5.88912429716714,5.62886631654113,1,0.168044518024764,22
"Fold_10",0.82987719164188,0.720280095869785,0.978311070453647,1.87024262585374,5.10977007911337,6.31096572511502,1,0.0940374077573586,28
"Fold_11",0.786582084675347,0.759708453406087,1.36908432138797,1.24861927891611,6.39378943355163,4.00902809624509,1,0.176684332780432,19
"Fold_12",0.789146150083043,0.826210851303492,1.22454453016661,1.32022018637861,4.75985172860701,7.56559058950743,1,0.129248440712064,22
"Fold_13",0.806561878783899,0.789340490400382,1.14829469973888,1.30008523555607,4.4829961351108,8.47066793684316,1,0.108984977600809,28
"Fold_14",0.826822538955749,0.699694057934466,1.05402741144396,1.74101157269645,4.62381433161777,7.78483956112784,1,0.129185261133476,24
"Fold_15",0.725644084874807,0.709975570871111,1.70140408056679,1.70342520892933,5.60040806040908,7.30404905023738,1,0.286793455508555,15
"Fold_16",0.8143109030315,0.747661729219394,1.20890174389688,1.31027034882688,5.90017242299043,4.63255339020736,1,0.143084660048457,23
"Fold_17",0.80717012945077,0.683762745316897,1.23807903674103,1.48163072555443,6.47452517474715,3.87585072898366,1,0.146608164466106,18
"Fold_18",0.806915986515951,0.686782995872602,1.20896600433438,1.67042528025883,5.22340851338747,6.75329530096182,1,0.16788174398929,15
"Fold_19",0.792831328498294,0.757304865855101,1.32158093024658,1.246833805321,6.34566716667455,4.17362992647287,1,0.157616173733585,24
"Fold_20",0.810641216329569,0.722307174203809,1.18994417396478,1.49403117076422,6.21090568082763,4.35939422670513,1,0.146113360460274,20
"Fold_21",0.809284690017661,0.717016790136504,1.14839785536496,1.70704967330621,4.93689086545969,7.58586599493858,1,0.153412509054897,22
"Fold_22",0.793213545308721,0.652397392525293,1.28271273802799,1.91282718258616,5.27091146826386,7.03953018912897,1,0.190319252857734,19
"Fold_23",0.814819092930069,0.747303190961956,1.19348844390294,1.22052925845142,6.28512824117347,4.23029031334261,1,0.124822896150612,28
"Fold_24",0.835930373850106,0.731911958319811,1.01068884980301,1.57203789114169,5.70100774138192,4.99336138387219,1,0.106917241466515,25
"Fold_25",0.839366367096743,0.719839025151209,1.0110057861501,1.52067955082804,4.9150357706826,7.02509794260026,1,0.106230256165193,26
"Fold_26",0.81651782995786,0.643036919643852,1.20650579460315,1.6618111984728,6.17103817120153,4.51200247021647,1,0.17304113768324,18
"Fold_27",0.79966937645373,0.782967624263258,1.30574053863325,1.07469959689677,6.57727745112074,3.2807348117701,1,0.15092645686488,22
"Fold_28",0.794359424728801,0.816586184195194,1.23746334977517,1.17342615494252,5.31760384078632,6.20840626186131,1,0.128468835403287,21
"Fold_29",0.80798881232121,0.776104735234541,1.13126288008797,1.42274960634788,5.49254333291629,5.47078872517042,1,0.124242113524176,23
"Fold_30",0.780029094633805,0.70139900233732,1.34261800202412,1.64214769815868,5.38266207772454,6.7737721909481,1,0.18858110939739,16
"Fold_31",0.806306423394075,0.665096265051243,1.25385817488647,1.64000576453034,5.66405895362866,5.96054756494991,1,0.188260106338709,16
"Fold_32",0.790846375099299,0.662275733846624,1.27353449487265,1.89779434623941,5.886204650339,5.50714451903913,1,0.189487902161911,13
"Fold_33",0.815066368647965,0.754728720832527,1.14446880590846,1.39815818106598,5.81640674613353,4.95851202572912,1,0.126739694781686,25
"Fold_34",0.823953011595796,0.739121562690258,1.05593431458122,1.50916654265334,5.4570333374707,5.56739947950096,1,0.109417887294477,20
"Fold_35",0.799203405624068,0.737988275582075,1.25319376634606,1.51105786197045,6.0820151614996,4.6743116570147,1,0.168970964129173,19
"Fold_36",0.789432846015446,0.660484334827773,1.29116875428593,1.76647453227027,5.50930519196565,6.33432681629434,1,0.156961931780393,17
"Fold_37",0.801145699411216,0.681503271010752,1.23401870910326,1.88509146692979,4.52279335725371,8.55514423131217,1,0.205373764975477,16
"Fold_38",0.801152260402242,0.764264785901312,1.23789649591348,1.37187003078438,6.4642132771594,3.78690219504243,1,0.140329893759306,22
"Fold_39",0.784997822334565,0.681672778609149,1.29335368036215,1.84802895103727,5.56799853213639,6.39329569734821,1,0.193798013897995,11
"Fold_40",0.80332272163876,0.750147890399722,1.23305479145137,1.35180429556548,5.30378740148524,6.46483995438038,1,0.151516099840379,20
"Fold_41",0.845674462741843,0.69535221930706,0.936818430929277,1.7801078827373,4.34765420579875,8.24064870805075,1,0.100949358163309,22
"Fold_42",0.805355717503352,0.751705481587754,1.19186901085894,1.45631481429597,5.9413849180953,4.76079937284813,1,0.139020234555962,23
"Fold_43",0.775009241731596,0.796511202717465,1.37543251160273,1.29598220155663,5.91654411710052,5.11190203124868,1,0.1626647054022,21
"Fold_44",0.791786489637668,0.681817053289839,1.3295987043131,1.73588562160274,6.40570818484069,4.07640224859327,1,0.224555130120933,13
"Fold_45",0.806298834637905,0.765021223785315,1.22957137415617,1.18099716771612,6.38111608582655,3.55561991479449,1,0.125461282583231,24
"Fold_46",0.774011721005068,0.714656336536399,1.3678857367978,1.71570967044738,5.65841556139771,5.96162570337278,1,0.208782990386327,13
"Fold_47",0.798941336564262,0.709574221415138,1.29523143470729,1.40906278840019,6.61054249794672,3.58913643092236,1,0.16065905570119,20
"Fold_48",0.80858986385687,0.698181695823255,1.12322235018402,1.89508282732031,4.36609226297987,8.63622660856891,1,0.149215752503995,19
"Fold_49",0.821022784088643,0.704389269661236,1.13098369661824,1.59208523608595,4.52599950195226,8.60830445915924,1,0.14027882157755,28
"Fold_50",0.744686779347881,0.683834101866802,1.62029048578852,1.6557672077779,6.25564009260941,5.15454023138881,1,0.286928504907319,11
"Fold_51",0.844506451892488,0.661413206899102,1.01337841535852,1.61771227988954,5.95425898718738,4.31087382357697,1,0.118277741360897,23
"Fold_52",0.793035967316884,0.663281464481125,1.32913674241565,1.68344309908434,5.94723609418178,5.31968319660897,1,0.209244148577935,14
"Fold_53",0.811623886849426,0.785340123741865,1.12683574137556,1.29860734651119,5.22681691337924,6.30069740098551,1,0.112194442807726,26
"Fold_54",0.804671048024216,0.67657944246418,1.22012321469777,1.78595903926158,4.8404084698408,7.51355935531542,1,0.171615091659051,17
"Fold_55",0.772361317782978,0.75316544188136,1.39778437638618,1.48039208011576,6.24874350094593,4.91304705999693,1,0.195811997692642,14
"Fold_56",0.811478695160741,0.75317910557561,1.13955129705761,1.56436148340289,4.96116049788914,7.11197552993383,1,0.140508345228245,20
"Fold_57",0.771710431004367,0.753570264695059,1.37859957087505,1.55565834024832,5.88850040668678,5.36009661218374,1,0.199569599418813,12
"Fold_58",0.856180053099796,0.684117348727623,0.876560443688935,1.75300985162015,4.54860822269692,7.54631625644088,1,0.0834878296540554,30
"Fold_59",0.786561549906574,0.758396352269971,1.32452517402827,1.28063606853703,5.94865752685076,5.12815824125716,1,0.147523070207968,21
