"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.793209501458844,0.658083371071557,1.24309173673139,1.88052109822478,6.292850461631,3.83755771189995,1,0.10886283420952,17
"Fold_2",0.810148481034126,0.776572263880097,1.11383248845266,1.32344839088834,4.71739965788228,7.4167709745735,1,0.0595863643992591,29
"Fold_3",0.806970163216397,0.693750909466945,1.2047092859487,1.50064046205178,5.77041197197121,5.50024410286233,1,0.0774982960958837,24
"Fold_4",0.75779449586639,0.718540880425468,1.43841955269852,1.6887477913573,5.30918848279511,6.79634852734166,1,0.14886337360263,17
"Fold_5",0.768525007585087,0.653589345390843,1.39488502268528,1.83867808977856,5.44358248415896,6.4621362764869,1,0.148217991364703,13
"Fold_6",0.766518513633995,0.764964717282958,1.42650154638011,1.24709962037946,6.077804725331,4.62549037102613,1,0.111892518363635,20
"Fold_7",0.792785423159561,0.785520517271563,1.1682169655691,1.45977223883168,4.77228055324814,7.44351387290514,1,0.0715571083542709,25
"Fold_8",0.816824327170155,0.76564925813688,1.04229740065069,1.45063639341655,5.30605299148975,5.67157298301191,1,0.0482326542383433,27
"Fold_9",0.831976733841794,0.726107940413928,1.02057883884487,1.51934355017916,5.57544527521275,5.3821728705123,1,0.0617619829475359,29
"Fold_10",0.772881597676595,0.761895773057403,1.2835449847832,1.80538918554732,5.37079931793876,6.25580077958574,1,0.114441738714248,14
"Fold_11",0.794780082351483,0.747217240366079,1.25974970926307,1.26676925415796,6.10045964935631,3.91521493001115,1,0.0785577798214638,20
"Fold_12",0.796884199059498,0.793859595571961,1.1510826012139,1.40402863213948,4.54085346358102,7.69217703816074,1,0.0650434937723672,26
"Fold_13",0.787820490995795,0.780411489932202,1.24168119632698,1.34237498007298,4.46234292427622,8.23382617374546,1,0.0835986569236533,21
"Fold_14",0.818609945796405,0.700276844332451,1.06521570507637,1.70362224461121,4.55235743357085,7.7476530682418,1,0.0685452116261233,26
"Fold_15",0.780471147655613,0.772530009541829,1.30770645732778,1.30329844766735,5.05344086227666,6.71751006317873,1,0.0822257059747117,23
"Fold_16",0.811553845473398,0.733455419331121,1.17307547966621,1.32705034762645,5.6791295597286,4.7940022166528,1,0.0687201300037232,25
"Fold_17",0.791748351131187,0.729344403084383,1.28682412838841,1.31608746063922,6.37633943782839,3.50261847707997,1,0.0774128409715663,20
"Fold_18",0.815917306220194,0.71376314643522,1.09787891881429,1.53507846700154,4.99861477020409,6.92650163702647,1,0.0637566117583086,23
"Fold_19",0.810851801435514,0.753868646065556,1.17799040789055,1.23102098799317,6.09953374489134,4.10556412190913,1,0.0671659699361884,29
"Fold_20",0.818828550551039,0.724072269363682,1.09851221721238,1.47334711850767,5.97573570194268,4.2885501687855,1,0.0603350342108308,26
"Fold_21",0.83691903399082,0.699265662842962,0.948269767429077,1.75354077763052,4.71063963982932,7.14321744180562,1,0.0468781107581527,30
"Fold_22",0.785252275141201,0.740345272027282,1.25670241210891,1.521067233104,5.14780996162844,6.53027722164413,1,0.0923658388735452,20
"Fold_23",0.805269555544831,0.741726971610849,1.21916320591365,1.23996515824852,6.12091739683484,3.80013556300513,1,0.070495582774872,25
"Fold_24",0.824512843376366,0.706491093838881,1.05192624983402,1.58966252866755,5.53284324047546,5.26908717702454,1,0.0615788220244677,21
"Fold_25",0.833725143584523,0.728547255622234,1.01304677357208,1.48670378074573,4.69132018101986,7.142837377396,1,0.0546726014182303,29
"Fold_26",0.811662804914544,0.654940868602657,1.16944703664655,1.61719299600998,6.08947299684593,4.29288392486196,1,0.0782161803131113,20
"Fold_27",0.786286976545213,0.768497662659812,1.32461167760526,1.1228416737833,6.37786247860215,3.22045681256071,1,0.0787503779294614,21
"Fold_28",0.79071958385591,0.776182986250518,1.21623848235748,1.31169231463519,5.0876097735501,6.48839579401273,1,0.070511803380972,22
"Fold_29",0.755016005351258,0.748549662694841,1.39618075693113,1.60711380426554,5.6740987415414,5.68015722192704,1,0.128247893051966,15
"Fold_30",0.765729328386885,0.747701567791409,1.39896065809605,1.45317373205806,5.27796793208125,6.43348486850936,1,0.123174186267172,15
"Fold_31",0.80404520671076,0.684383036705807,1.20844652720078,1.56283222973308,5.5182248765653,5.77099978712232,1,0.0878394648033991,20
"Fold_32",0.808086851026457,0.700660986130781,1.1092119157625,1.70908819467839,5.66827582729312,5.29667399223201,1,0.0678830828056237,22
"Fold_33",0.78615528819479,0.679128740677079,1.31877317680536,1.75110187279784,5.88353791261939,4.9869395504065,1,0.136608494789785,14
"Fold_34",0.79850308629663,0.68189436737385,1.19331232628721,1.77116556770545,5.57159104689453,5.78986419906926,1,0.0998827133505819,16
"Fold_35",0.817359409335765,0.714832942535495,1.09296853396049,1.57537569495011,5.84493834813061,4.60433398634267,1,0.0680316414746345,25
"Fold_36",0.779695307095619,0.781193787203844,1.29751038420697,1.26470276791261,5.36014752013168,5.90035794104628,1,0.078972384771189,21
"Fold_37",0.812712385407962,0.701822742667106,1.10884901844413,1.76149095406159,4.30831413660754,8.42484662816971,1,0.0949677546059277,19
"Fold_38",0.761226739358832,0.7664807499069,1.42789385923932,1.34772268306699,6.42407830926818,3.59156236760744,1,0.105655230264269,19
"Fold_39",0.779036117439281,0.73220576287154,1.29486485630105,1.62718393355955,5.321429293114,6.13073246322006,1,0.114660085080062,17
"Fold_40",0.799311674197963,0.753087107266002,1.21647017007632,1.34807184530381,5.22072990005181,6.37253921293932,1,0.0784660418245624,23
"Fold_41",0.842853341571417,0.693387726316383,0.922951626676172,1.74938002190773,4.2442873716392,8.23903525236158,1,0.0471991915656673,31
"Fold_42",0.780525330065477,0.768158268386371,1.29513873332384,1.36514583242474,5.98060643685894,4.57764117427045,1,0.0884087914381873,20
"Fold_43",0.79701289310374,0.774089128575082,1.21599081128922,1.29221482252222,5.658998474075,4.96522400050291,1,0.071856744078771,24
"Fold_44",0.820650451894701,0.713810530277657,1.09155389314152,1.58519396606844,6.07320228489839,4.29952111834876,1,0.073766053494585,22
"Fold_45",0.805396971358694,0.765117091856078,1.21735022771681,1.18172457724989,6.29636686645065,3.39010978844034,1,0.0752049697502019,22
"Fold_46",0.780596493901235,0.710264443304972,1.28601474198855,1.71691885043283,5.43338675094292,6.09515656239682,1,0.114201802313859,16
"Fold_47",0.835150838550738,0.730734646259032,1.03868336174203,1.287342445871,6.29326861298475,3.2465431490363,1,0.0470054404610732,30
"Fold_48",0.793128776707794,0.698545421380487,1.17065331133245,1.8745180991402,4.36967737163765,8.40002136932582,1,0.0934619767830838,19
"Fold_49",0.82579159146713,0.721980242997346,1.06740109422706,1.52815119767892,4.31649708528276,8.19391352423378,1,0.0708578427651506,25
"Fold_50",0.790942166382115,0.731963297652556,1.28452854356972,1.37837531177817,5.859181387322,4.79266900188943,1,0.0940467477883551,21
"Fold_51",0.846330431891723,0.643339770109161,0.980778893529597,1.71307735720332,5.93041492050587,4.44967365576312,1,0.0639125461702345,28
"Fold_52",0.821137636882799,0.686797522577587,1.09942502028795,1.6000113851008,5.6328271502496,5.34568799982768,1,0.0713320898386121,26
"Fold_53",0.792102861853029,0.778256005935851,1.22115839760206,1.32704749720674,5.173618549623,6.48669699069544,1,0.0827548785300125,26
"Fold_54",0.804010012696463,0.778716548294455,1.15813125691975,1.30504947129411,4.74905618334737,7.14902543049202,1,0.0667403272576167,25
