"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.748648010155778,0.621726835784623,1.45197979981546,2.02454874688485,6.49909984006865,3.911380866123,1,0.10886283420952,13
"Fold_2",0.708567010921252,0.722694605983759,1.61798993892536,1.63990245822823,5.05568613102799,7.47183537011124,1,0.114281299737095,11
"Fold_3",0.739589807412456,0.594791765122942,1.56903539426793,1.82255764349273,6.01682272287805,5.39969479961006,1,0.123399203386729,11
"Fold_4",0.70162478690257,0.684132199229176,1.71882129606169,1.85727013873621,5.48243404969223,6.85062154514191,1,0.179306460519234,10
"Fold_5",0.745386606057908,0.663105824862627,1.45364024521938,1.79299488476002,5.47256585541796,6.20316315443073,1,0.0848157840319228,13
"Fold_6",0.767597445416428,0.736755398432379,1.34706172195576,1.39210863535618,6.00168021011967,4.71998347546122,1,0.0230108341226943,21
"Fold_7",0.720636308437719,0.717925747028472,1.51816565184163,1.87047966385776,4.99479150090294,7.55609732805015,1,0.11393915237375,13
"Fold_8",0.723332175640898,0.637553920002493,1.51866974036612,2.06674152217573,5.60723707649111,6.00025827961571,1,0.122287359005833,12
"Fold_9",0.721057951265141,0.692170084688046,1.61417511168346,1.73328465776501,5.87502406023744,5.49183532413457,1,0.142678191143132,13
"Fold_10",0.765654436062207,0.697079467162773,1.23731645025659,1.99105608304032,5.28391399504339,6.34988159729348,1,0.0235350844254672,19
"Fold_11",0.72731274476225,0.733876139249915,1.59549438131004,1.33936617647715,6.33551069883279,4.04609902317037,1,0.0862170663739318,13
"Fold_12",0.70554280266984,0.75037283770883,1.56366083678183,1.65158064865038,4.77808094318233,7.97123254312187,1,0.085983670857686,11
"Fold_13",0.713591179276929,0.728700490323189,1.59546604625947,1.58557234751299,4.58620374695067,8.65615937013007,1,0.110512504543872,11
"Fold_14",0.762147613251035,0.637473230061586,1.333253197048,1.99158303712672,4.70847533966487,7.92199010028553,1,0.0685452116261233,16
"Fold_15",0.709445769233575,0.692237139947876,1.660851070725,1.67367248445275,5.28025063391243,7.01734058652357,1,0.119295420560257,13
"Fold_16",0.746340866106582,0.693817030046393,1.48854140642879,1.51368244515365,5.9371277633855,4.95476188372101,1,0.0570526592134042,18
"Fold_17",0.735554275656878,0.627401445027669,1.57781383376564,1.69748875099334,6.5926327680413,3.61759687944571,1,0.10233521989997,10
"Fold_18",0.741642147733731,0.637628059252829,1.50253303710439,1.8815834952098,5.27226802651212,6.89810602075065,1,0.122279459940729,11
"Fold_19",0.720302214821888,0.721569835490042,1.61989467959118,1.3745231577554,6.44591707852867,3.82119256888061,1,0.0809016485730539,13
"Fold_20",0.740081494210457,0.659852153130592,1.51387358113398,1.75450887115668,6.23651045609306,4.53958270698578,1,0.105437185798862,12
"Fold_21",0.78099178430998,0.64572089649507,1.20391930128274,1.98974677960855,4.86149245571484,7.5130687421063,1,0.0222709004970012,23
"Fold_22",0.740283421756732,0.662098524164725,1.45022625096625,1.82681119684558,5.27380359075139,6.72260647141876,1,0.0841603123189386,13
