"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.759285398076698,0.606572392208628,1.43929564893327,2.11892924899455,6.47001421131262,3.91370027893431,1,0.141567346950144,8
"Fold_2",0.758507937878554,0.722883818203583,1.3676984939846,1.59460718822343,4.81611544950831,7.52919618002624,1,0.0756080849189978,16
"Fold_3",0.770430948314743,0.663053105055393,1.3870616818289,1.59341615135801,5.82416279042913,5.17412202554711,1,0.0745261767683298,18
"Fold_4",0.748324822805022,0.701657217550748,1.48030894953418,1.71898927916984,5.34413665704373,6.65209823068327,1,0.127487249991412,15
"Fold_5",0.754706310636041,0.658587362569086,1.44878851059214,1.81297805025498,5.35837273749974,6.34962630537561,1,0.119478398998999,13
"Fold_6",0.727405715827243,0.736021546595233,1.61889602032612,1.39662342162268,6.16178401719898,4.57362047406197,1,0.120882055216759,13
"Fold_7",0.736867261406238,0.745895940715797,1.49141819139115,1.74462158765988,4.98568544009118,7.31686187514002,1,0.130309056880476,12
"Fold_8",0.748813631796015,0.723680389333574,1.40229498824,1.74244050158193,5.51518379672383,5.78114782361272,1,0.096664994118635,17
"Fold_9",0.759568836813683,0.709054837209534,1.41617893759016,1.62435024165232,5.65585869380444,5.30248274825675,1,0.108223394615215,15
"Fold_10",0.766442901342455,0.734398703518073,1.2541075488394,1.81925956804755,5.23323491283602,6.10778684611519,1,0.0538310594451709,19
"Fold_11",0.739149335861195,0.709756276295942,1.59687311384777,1.47292925718957,6.24716196774292,3.95477925868541,1,0.135429389248708,11
"Fold_12",0.791415264650203,0.774859492999374,1.13942388368032,1.40818361694863,4.42594875802714,7.75397869674842,1,0.00990068369146976,28
"Fold_13",0.736301978501691,0.741368420308882,1.5181910928207,1.57779333944778,4.52451076996202,8.48456373870734,1,0.122198334255726,12
"Fold_14",0.777280161399527,0.647493129321169,1.279382565708,1.94115451396477,4.58504411268526,7.81319463202058,1,0.085980711905362,16
"Fold_15",0.713377018902512,0.68218034583098,1.70922891404372,1.74770677563418,5.35395680415692,7.00160151671767,1,0.172980110731526,12
"Fold_16",0.7635891296284,0.63840095153096,1.4353053452679,1.68978615513426,5.860944464606,5.03921246068401,1,0.0998958496261443,15
"Fold_17",0.75822255447922,0.666792931461516,1.4670722755913,1.54682941146893,6.45738301441812,3.38950956849891,1,0.0903522905240669,16
