"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.748259906031099,0.588382979290069,1.49572118307052,2.17260277262512,6.50929818151431,3.90874575124638,1,0.142322176935063,10
"Fold_2",0.715751153992335,0.715932737542481,1.55888876134657,1.62041439246839,5.06327114360116,7.31227009850547,1,0.0767252923288436,15
"Fold_3",0.730083524365458,0.60759739317798,1.59079326691982,1.77462233557246,6.02554389614193,5.28918829446537,1,0.0948578276645174,14
"Fold_4",0.709561319570656,0.6438319062703,1.69399945505504,1.99787337686585,5.49000755884378,7.02359360934562,1,0.177126073282068,10
"Fold_5",0.752594221023071,0.623051035126572,1.40683068660319,1.90640974655362,5.25850950620272,6.49765418008608,1,0.0656029349603849,16
"Fold_6",0.693979227340168,0.684446791638224,1.83284284334768,1.64116414040902,6.37695898222126,4.77823084667292,1,0.178777151386921,9
"Fold_7",0.712621435521699,0.705745143177902,1.59881195533076,1.94526399973518,5.0735970132418,7.61090385680705,1,0.140925892986881,12
"Fold_8",0.717013688268574,0.676063580502487,1.53942060577727,1.92166713952958,5.6122482659415,5.881346776263,1,0.103402612388701,12
"Fold_9",0.706135676614672,0.686881302055789,1.72417865176715,1.79251242054243,6.00344250917743,5.49022468811192,1,0.172393218261479,10
"Fold_10",0.721374978112098,0.722534175317299,1.46667225405031,1.92590759530678,5.47859303427482,6.06909723167212,1,0.0761095731887819,18
"Fold_11",0.703079284867845,0.702440001830438,1.7636849322702,1.49859494827288,6.45069542358416,4.13580076686069,1,0.14010255930119,12
"Fold_12",0.704040390063063,0.753114010874023,1.56123497704815,1.63583795277001,4.78078794540261,7.84214979714572,1,0.0698473661842752,13
"Fold_13",0.724605941881471,0.705359393102853,1.51639789838369,1.66168179435849,4.53006424458932,8.64335574985327,1,0.0760377228814356,13
"Fold_14",0.755307546653541,0.612964557092787,1.36586795789472,2.08429073449556,4.74482672681127,8.03366155115922,1,0.0691427050406587,15
"Fold_15",0.713225647437149,0.696160105519094,1.63156687644882,1.63814577883725,5.2407190422746,7.03448140915931,1,0.0989855791360906,16
"Fold_16",0.713092176857964,0.654883844928702,1.72092936349542,1.65551974766787,6.10109579355997,4.99893191561451,1,0.143446387612426,9
"Fold_17",0.71230092107151,0.600494741610028,1.78028581408207,1.80721217235451,6.79356970932296,3.64586055139737,1,0.179577422021282,9
"Fold_18",0.72655919601253,0.677715390995777,1.56522307046777,1.7466828499351,5.35500930160006,6.72022051070554,1,0.105362831981191,14
"Fold_19",0.719519114777747,0.706904640076891,1.6270556552104,1.43335308976537,6.38063629353,3.86946090623096,1,0.0807540682404874,14
"Fold_20",0.779999755689439,0.670135474485705,1.26946481441316,1.71965610530399,6.14118144888486,4.38638326792053,1,0.0170246381599389,23
