"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.792030918665868,0.634830857499822,1.24310622876723,1.95914736432716,6.35667126844586,4.0683351580792,1,0.0946646404284675,18
"Fold_2",0.761361957757647,0.728074293061467,1.38107525095748,1.57950788237388,5.0307307537233,7.6821460428907,1,0.0967063361777139,20
"Fold_3",0.786770897576347,0.667370277047211,1.30554332420117,1.55687710820454,6.01269603608738,5.2000946028131,1,0.0752091461966116,21
"Fold_4",0.729740012610428,0.663679004850687,1.60764117588735,1.92269770085997,5.51672340891124,7.07764807721904,1,0.178906253104759,13
"Fold_5",0.763479194192776,0.636728068641042,1.40110745774907,1.86464829986455,5.42882597191015,6.51387539655424,1,0.118633098954379,15
"Fold_6",0.731869909396052,0.714405214325105,1.64609149244058,1.50552058283957,6.2853429351202,4.87128584662674,1,0.159259437693005,16
"Fold_7",0.761760338095145,0.75977489668155,1.32290560442244,1.67185854595605,4.97968148765813,7.55932826490321,1,0.0864727421289028,18
"Fold_8",0.779956517080908,0.753118983930219,1.2425230445372,1.5434373210689,5.62107508071871,5.73211816483143,1,0.0701294301084054,22
"Fold_9",0.799628784673328,0.724685943329404,1.19014933891115,1.51966989943027,5.79511965996458,5.6839909696525,1,0.0663861131539163,22
"Fold_10",0.791921225708707,0.719282721591683,1.15740014135131,1.91078149953886,5.40150243334043,6.36375122267934,1,0.0654133924593315,26
"Fold_11",0.727947894520797,0.729266914129864,1.66013576343728,1.40757807254633,6.50823117244049,4.05198532186902,1,0.147419406217224,14
"Fold_12",0.764289979575703,0.751878236997824,1.32328396673347,1.61299692575269,4.83474285718363,7.93003288213914,1,0.084131399846711,18
"Fold_13",0.789890035216278,0.721954429956077,1.20919771400787,1.57202829531583,4.60517406124118,8.50391718113162,1,0.0610634052418774,23
"Fold_14",0.786740761827996,0.669262847316022,1.24748444918997,1.8603117833004,4.74278829899802,7.94491049543897,1,0.095358364623883,19
"Fold_15",0.763359413466965,0.714777368853133,1.39764293303924,1.5501000312853,5.21014611462717,7.01817657836569,1,0.0901919731013282,17
"Fold_16",0.75751856099939,0.667162568561565,1.49193940427301,1.60381190103726,6.09581666902378,4.99043739930428,1,0.122163650548034,16
"Fold_17",0.761697912116804,0.653426240645236,1.45986937837944,1.58802086504266,6.64955108631949,3.72039335721526,1,0.102611519810176,16
"Fold_18",0.770653873643219,0.680853658981388,1.3807029725988,1.71938149593189,5.34425433346927,6.81001704249896,1,0.117367154569734,16
"Fold_19",0.798020656476624,0.740075855705293,1.23570539985601,1.30227890104555,6.28732062969859,4.25352811968374,1,0.0582527185601825,25
"Fold_20",0.787347926130568,0.681015107767552,1.27077268272275,1.64431576065987,6.17978971464033,4.6780134833282,1,0.0754297271390266,22
"Fold_21",0.80725598341157,0.688528030367724,1.10345938786663,1.82646977613653,4.88395236136997,7.62308745767732,1,0.0538204782854663,24
"Fold_22",0.793190791167421,0.713675565969368,1.19813132476394,1.61099615471048,5.21010562255682,6.78623971497694,1,0.0625498210028569,26
"Fold_23",0.77945947769306,0.691258017291248,1.37737046014778,1.45826718297608,6.36623785349738,4.16941121926147,1,0.0948872342585425,18
"Fold_24",0.834239806829441,0.686391164421762,0.982917722842653,1.70564580256332,5.72491081074022,5.6574839440249,1,0.0330366879471548,30
"Fold_25",0.836574580303587,0.664043906187123,0.98236769671512,1.78397825539356,4.92692718381135,7.33392932256097,1,0.0324946538434261,31
"Fold_26",0.787407359058087,0.610817383533086,1.34091603314503,1.76775776383323,6.2465593533839,4.57001738899741,1,0.119112036633253,17
"Fold_27",0.761527051970897,0.747579400599345,1.49024914998963,1.22324840481947,6.66274917306965,3.35262167725405,1,0.108296509785483,17
"Fold_28",0.764439900156005,0.785419873756346,1.33880508806804,1.29938662566103,5.37049831219888,6.41515271463985,1,0.0640901527518286,25
"Fold_29",0.744822491749879,0.72380465164974,1.4643453598167,1.74940353041502,5.8293694088792,5.77451946065872,1,0.133493639890563,14
"Fold_30",0.763311735359224,0.733170527227502,1.40565937118221,1.5126103984746,5.36966303813352,6.58522748017713,1,0.106136306222601,18
"Fold_31",0.756216852505111,0.617361299364042,1.49898720867513,1.81495372853743,5.79232209008627,6.0739674770019,1,0.14154929399354,17
"Fold_32",0.792315181304363,0.653803677826399,1.18623397816131,1.92498209150737,5.71644526480374,5.72111855389754,1,0.0663017835976685,24
"Fold_33",0.777630377078974,0.673657583350508,1.33723513221744,1.78442725323167,5.95606767049232,5.13816142597857,1,0.108718242977978,16
"Fold_34",0.771189945298442,0.696518565854759,1.3502491447922,1.74074877764572,5.72964180906029,5.76508788778553,1,0.114642837420808,14
"Fold_35",0.770663729930589,0.641688806105351,1.36445160186335,1.88365549412953,6.11343084265061,4.87649342216326,1,0.116365227043707,16
"Fold_36",0.779717283342136,0.782180467948176,1.2917249588381,1.25505959412433,5.49838784598675,6.16741273222426,1,0.0620941266220694,25
"Fold_37",0.774472274387064,0.653864202157191,1.32423917360785,1.98645155382767,4.5242177877756,8.67963984775477,1,0.127681252679741,15
"Fold_38",0.737350534565941,0.744139673796081,1.56393431809779,1.45418352143969,6.64663842011092,3.56500583053203,1,0.120171824942806,16
"Fold_39",0.764307420261855,0.72360689382496,1.36406560814398,1.6488033637175,5.46532917971408,6.19698686979655,1,0.105379076503855,20
"Fold_40",0.756065332930574,0.718271055595682,1.47360266630969,1.53493530056224,5.43925144954523,6.65325315560709,1,0.12180881039967,15
"Fold_41",0.811701550284379,0.723006882903749,1.08861787733583,1.66893282926683,4.59087309654676,8.24128999890285,1,0.0531996876703375,26
"Fold_42",0.772542815764884,0.752896388366206,1.33876116099655,1.41864597219491,6.0419369611804,4.88687068307593,1,0.082646121810045,21
"Fold_43",0.780771645129835,0.77450654516936,1.29763616471044,1.31248328901717,5.90350878988885,5.15420251929593,1,0.0674440012821034,22
"Fold_44",0.803746501398687,0.695028423276578,1.16938766286771,1.66080952386693,6.24069006466974,4.31541320886017,1,0.0639431718699476,28
"Fold_45",0.74673110532701,0.716227374029312,1.58007231887733,1.40906996534351,6.56300435942547,3.74062571440468,1,0.133604970481877,17
"Fold_46",0.736440469951643,0.644382930827418,1.55019007191817,2.0405987941138,5.66444932733041,6.31631812388271,1,0.172593847166708,13
"Fold_47",0.79905653158839,0.696730994026037,1.25591572870782,1.43095790116064,6.56748490053213,3.47763781049716,1,0.0732073308553742,23
"Fold_48",0.77296903958072,0.67941359168453,1.2646578386271,1.96132828440263,4.50584806617382,8.7352206559838,1,0.0872809836677005,20
"Fold_49",0.790414001204522,0.689038412771344,1.27303249537448,1.67432217119031,4.61642741343936,8.32559952848105,1,0.0938158825367841,22
"Fold_50",0.782198066917402,0.706231874056061,1.30845237029707,1.49027919843406,6.040737119203,5.01223229439801,1,0.0740751358967193,21
"Fold_51",0.776821151592742,0.612335557080931,1.43552353413476,1.76427795129691,6.3965106231499,4.21239328139837,1,0.148717154828403,15
