"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.786637020554372,0.632252398649793,1.26105604162297,1.99635479295758,6.34875030350842,4.13459644914706,1,0.0862548946794842,19
"Fold_2",0.758654164629057,0.713424303694846,1.39286186729232,1.63978990134304,5.04038728740656,7.76763146148047,1,0.0967063361777139,19
"Fold_3",0.796357790747986,0.683114345844494,1.24880750879441,1.50007549405425,5.98224677989225,5.12883525743457,1,0.0568929609944314,27
"Fold_4",0.725569229484034,0.666436759529417,1.60716830123388,1.91015839927282,5.50855012054999,7.05812458590781,1,0.163012714665227,13
"Fold_5",0.760318142928633,0.64463606812554,1.39728530160858,1.83522393894494,5.38889725025512,6.40236696634754,1,0.0984912829138648,13
"Fold_6",0.727899554167186,0.70946536391353,1.66753684283345,1.52255357134972,6.34363273207043,4.8770543014564,1,0.159259437693005,13
"Fold_7",0.761595403062482,0.753129034853046,1.31047626688373,1.69927748013649,4.98163307871784,7.57525849973461,1,0.071791189679961,20
"Fold_8",0.755530982998945,0.727480069042073,1.36056332805164,1.70065847993308,5.65072710081832,5.85120097831366,1,0.0844711468419051,19
"Fold_9",0.786139472573626,0.747160557525522,1.25132472761914,1.42115090537091,5.80517827534348,5.43989607143806,1,0.0604885538291171,28
"Fold_10",0.801543654046886,0.692464187710016,1.09886411285181,2.0111786255656,5.35903270777412,6.31979323515141,1,0.0494828325264228,27
"Fold_11",0.713858241917303,0.721243219203342,1.71884878206491,1.45615330507491,6.524949565,4.12452497278909,1,0.147419406217224,12
"Fold_12",0.757697826225028,0.7423245230918,1.33628407625869,1.63929423557613,4.80675600295768,7.90721884415374,1,0.0698473661842752,20
"Fold_13",0.816119711475112,0.742702740185625,1.05849577688681,1.49339730083604,4.4812394379585,8.33497976634375,1,0.0290100646155712,29
"Fold_14",0.789749514428029,0.676606365429207,1.21367440863961,1.83809086119163,4.71239527287448,7.88458653285784,1,0.0721351058135501,21
"Fold_15",0.759188237767632,0.699390408006889,1.41098761896653,1.6036645218122,5.24887432896889,6.97715215981745,1,0.0821795667905003,19
"Fold_16",0.764606449303692,0.672489727665484,1.4209291082717,1.58606161879227,6.07724927471265,4.99047580805619,1,0.0842026656478929,19
"Fold_17",0.745491352628115,0.612611667636631,1.57130297672555,1.72571902258597,6.70954255254643,3.70744272912323,1,0.135646390343709,13
"Fold_18",0.766312440294669,0.704540894065142,1.3723420194145,1.59733406328667,5.30699839407189,6.65452002760912,1,0.0887839482914392,17
"Fold_19",0.792201796887737,0.729998476760936,1.27721233554998,1.34653578944411,6.29387056649598,4.10666887976555,1,0.0639322867064147,25
"Fold_20",0.76411464157455,0.669387646469565,1.40558522565553,1.71420450260654,6.23017327736884,4.62507264731336,1,0.099713660122644,17
"Fold_21",0.792113099406245,0.709825102556635,1.18363990187599,1.73458915555,4.88223611839139,7.53240015741534,1,0.059067908476545,25
"Fold_22",0.809366843643057,0.704026710648701,1.10473325882991,1.64313192666274,5.12527910927257,6.74325828159944,1,0.0431131653369198,27
"Fold_23",0.770693101281191,0.67554267899721,1.41877076955435,1.51595711342152,6.36134018640396,4.20495619089095,1,0.0948872342585425,17
"Fold_24",0.804229653943718,0.669705249744121,1.14942069149536,1.75945896693933,5.82282116485872,5.33969426757497,1,0.0526037497672336,24
"Fold_25",0.822979730078887,0.667604339932141,1.07089620250574,1.74496626198824,5.00144857196908,7.34497150581306,1,0.0471441789433063,28
"Fold_26",0.796785917974086,0.64926944124147,1.2478292096402,1.66035894427864,6.13687302296698,4.73720732383431,1,0.0681602866269468,19
"Fold_27",0.753635367889522,0.727643462760431,1.51212563479579,1.29479400050295,6.67400130806472,3.43073084166572,1,0.0986757463338287,15
"Fold_28",0.74047700423931,0.756028768296045,1.45390019999439,1.45064055206718,5.40984921057211,6.5695130363865,1,0.0771968158853037,17
"Fold_29",0.739174388287746,0.71823981560559,1.47226930359811,1.76316439797338,5.87173881681103,5.76224593947612,1,0.121634432846574,14
"Fold_30",0.756412286138657,0.717424669892706,1.43657689755982,1.57453959207594,5.35511331348672,6.63925353113684,1,0.106136306222601,15
"Fold_31",0.72998838479229,0.594037498306579,1.67200963356916,1.90341779330774,5.91319328647455,6.09044108334602,1,0.187119836266376,11
"Fold_32",0.797933984145061,0.633930259307722,1.15213905271961,2.03220979836185,5.7293711759358,5.78163543433695,1,0.0550449055412688,25
