"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.797781652725151,0.601077976693691,1.23597464874004,2.11872345594232,6.29664095896634,4.47272187009446,1,0.142011158272564,12
"Fold_2",0.79156930782783,0.767859875172448,1.22858769141311,1.40549555064571,4.78874193182559,7.48186788169583,1,0.089917484590574,21
"Fold_3",0.807442879452495,0.712773307918721,1.20336969419865,1.37941894538275,5.83358486299989,4.95383660259491,1,0.0809976071101388,24
"Fold_4",0.74217539231152,0.708328770125691,1.53248801341999,1.77540760844248,5.45309429880425,7.00535607092378,1,0.187532378382623,15
"Fold_5",0.813603240452504,0.707454905348685,1.12098283785411,1.57448805343847,5.20248421577317,6.2223720390374,1,0.078428041509075,25
"Fold_6",0.793131064886308,0.725061928943919,1.26701110364526,1.4098230386673,5.89774738934574,5.0734896407848,1,0.097598158384557,24
"Fold_7",0.76950620793507,0.754058918494038,1.30018609804547,1.60268190258954,4.84690033555273,7.62956950785681,1,0.110743615082688,18
"Fold_8",0.747231741884868,0.680051217601613,1.47059745650691,1.9774103639676,5.77295010899171,6.05437465925561,1,0.192612223272971,12
"Fold_9",0.794188464786143,0.738218015259962,1.21573132273625,1.46312946290108,5.62513214034823,5.4459713530898,1,0.0833118832467533,22
"Fold_10",0.776525658377687,0.735093354350922,1.28519146144841,1.85342874980688,5.37631764814053,6.2784144117039,1,0.137827393515655,14
"Fold_11",0.767124887680809,0.72085445350529,1.42180607306773,1.39179879899614,6.31036107618649,3.92944783937536,1,0.120145910149741,15
"Fold_12",0.770622638043978,0.81299798465427,1.29278067544895,1.38496663662553,4.67410016410736,7.60455610935638,1,0.0937570348479246,22
"Fold_13",0.801925432060833,0.764417116954714,1.15804611051956,1.41858142803043,4.46552301239428,8.4360876585581,1,0.068842846833445,30
"Fold_14",0.809627182958054,0.6821632246947,1.12006245257313,1.8003690756541,4.61107060670216,7.83321487074076,1,0.0820679749738632,29
"Fold_15",0.763483990667008,0.715888771150098,1.42625705314942,1.52749632852116,5.22514354025315,6.98588480955991,1,0.13439704144027,14
"Fold_16",0.787287141730716,0.693763942248065,1.331970329705,1.48328782197053,5.84166475229989,4.7822486809817,1,0.118931552479027,20
"Fold_17",0.782836795296024,0.693546593618807,1.3506557071877,1.46529815857805,6.40508781274601,3.81804218999784,1,0.106508321187162,19
"Fold_18",0.772551240775437,0.718984223030786,1.35356550974299,1.56714523063782,5.28770570339163,6.57754720335711,1,0.12166998138294,18
"Fold_19",0.754447817705285,0.712127756340422,1.55656725697834,1.4440887637878,6.51985428841922,4.10227458125216,1,0.181898807952119,13
"Fold_20",0.777626466328796,0.704747552209349,1.35516862769811,1.61682706912092,6.24978400477659,4.25409640768573,1,0.132812039565821,16
"Fold_21",0.827021398930312,0.73382840167173,0.995043634529769,1.56942644891284,4.83412307277652,7.40381896630539,1,0.0486045760708826,31
"Fold_22",0.758137206776824,0.691318617105213,1.4443557549322,1.77336051863192,5.3160038232068,7.00461866700308,1,0.171917626887074,11
"Fold_23",0.809421356727223,0.749571222075184,1.19118557049053,1.20351262578967,6.05464210001133,4.2689099426008,1,0.0683492240854209,28
"Fold_24",0.817933092589124,0.711224438560082,1.09392598788685,1.62636370089252,5.72229845835886,4.78204835805314,1,0.0788139390335463,21
"Fold_25",0.872981493783445,0.680045385252499,0.776404670035599,1.75760723168578,4.65611358383427,7.04114078800598,1,0.0209836224003514,49
"Fold_26",0.801224323736885,0.612354666805361,1.26415185692758,1.78945980990308,6.19639164406845,4.61081465834634,1,0.131735828512589,21
"Fold_27",0.778475599123028,0.778297855968114,1.39093742181188,1.09709504929756,6.45394487571152,3.15010434568984,1,0.108155999507541,17
"Fold_28",0.783786548028987,0.791014476193672,1.26031401471545,1.25626205153779,5.24330772830921,6.10354787593986,1,0.0823819150579019,21
"Fold_29",0.723142340838382,0.763744973246479,1.60082446196576,1.74802182060692,6.01155097055104,5.56736847885243,1,0.203358726772899,10
"Fold_30",0.782629312486699,0.711914523694431,1.29563380092402,1.5844279318949,5.16355990264862,6.56042028001851,1,0.112410081819854,21
"Fold_31",0.807115240637373,0.664193254075795,1.21343938705378,1.64564368122955,5.49493407960861,5.80558892897543,1,0.111606663499297,16
"Fold_32",0.776005470155158,0.677250154728565,1.30334996362938,1.82674247883621,5.85407400661567,5.48671611238369,1,0.130703150408168,15
"Fold_33",0.769226244116336,0.686093491242901,1.38060453870157,1.72087201539724,6.00492010927372,5.02969658506652,1,0.133365293099926,16
"Fold_34",0.816949757932506,0.726828814230519,1.08730145365772,1.54986924691028,5.45220317181417,5.39577327103566,1,0.0759817995593063,25
"Fold_35",0.782830801552309,0.612639636755903,1.32492636959248,1.98569717563631,6.07064475822056,4.80419084026789,1,0.156242725271425,12
"Fold_36",0.759730773075737,0.745194471318444,1.44879760347327,1.46219417713169,5.521813731481,6.02997210375404,1,0.143484864685861,15
"Fold_37",0.781784789391116,0.70928105271241,1.25995584417491,1.69641595024426,4.40363026753271,8.52001818965916,1,0.113359086174228,19
"Fold_38",0.787678429678393,0.727804452836115,1.28894371763614,1.51075990881665,6.39215157482407,3.512769543992,1,0.102242421691978,19
"Fold_39",0.794903543927421,0.678985481873105,1.18891694685811,1.84626964083085,5.23983952646031,6.2157480354964,1,0.0933685150619395,22
"Fold_40",0.802271820959046,0.758604751981976,1.20045448887684,1.29623198305424,5.19472469908516,6.41671547922626,1,0.0789171176929051,26
"Fold_41",0.776979624544397,0.692991155572284,1.30977929098709,1.86091581823639,4.6230343524875,8.2432247197037,1,0.137380650252561,15
"Fold_42",0.769831038737857,0.770205955580074,1.3583122360688,1.41965032257469,5.97326816787858,4.79515548836714,1,0.111769717900847,18
