"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.817944432551773,0.70454636546967,1.11871918830515,1.67924393307342,6.01657123264057,3.72739051376757,1,0.122836011905006,22
"Fold_2",0.784847144807975,0.755607913387084,1.27307912736679,1.46806512201495,4.83235252653496,7.44434879589206,1,0.136940517888219,21
"Fold_3",0.809423547670882,0.732487977340787,1.20401168119031,1.33350045324099,5.69599794666933,5.21718672935175,1,0.111333765096091,28
"Fold_4",0.794825558497806,0.766189587839658,1.21141780340345,1.40609913778242,5.0747860255878,6.48414875002763,1,0.10938769093253,26
"Fold_5",0.808715767968238,0.734109028123448,1.16285071941414,1.50254727110803,5.18030456711668,6.23740532246035,1,0.115681234443313,23
"Fold_6",0.778573796923111,0.752869834552488,1.39420004029901,1.31038205126661,5.98957486294555,4.58957913601142,1,0.171362337310934,13
"Fold_7",0.802649559415472,0.790519447749164,1.13222167292111,1.4272301508779,4.637831512693,7.26160041017099,1,0.0987807761020509,29
"Fold_8",0.803331448286121,0.745887361983218,1.13631182002509,1.55112026717142,5.27428797605819,5.71470477695481,1,0.106767886639651,29
"Fold_9",0.82966451251986,0.738767200896197,1.02847084028813,1.48597727320658,5.4059616090686,5.18291710588528,1,0.0810581304371926,33
"Fold_10",0.842284013978225,0.76660079182041,0.904825319525825,1.61184301112281,4.87897366751964,6.33073072711495,1,0.0667632781626892,39
"Fold_11",0.764086739789733,0.707321858263147,1.50672572366332,1.47250536261713,6.29416214503789,4.05098158737709,1,0.219334143061711,15
"Fold_12",0.79520389036833,0.765742729351956,1.19397348621643,1.53662086792246,4.56037986672845,7.68497898670028,1,0.12765623633085,25
"Fold_13",0.835403238838981,0.810273545761855,0.978043276944971,1.19341409896364,4.07117619017121,8.22767352058846,1,0.0582882101793222,47
"Fold_14",0.810217591572234,0.689966656539419,1.15655293626548,1.73616571621253,4.62521502247891,7.67492376802364,1,0.150829223274363,18
