"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.829828317992325,0.738508516559508,1.05614093598321,1.50216116081436,5.97609313941538,3.82677944894823,1,0.13196908589033,26
"Fold_2",0.771616459469512,0.779710585615841,1.4022926164535,1.44903230234437,4.98494837800256,7.38894177163998,1,0.233489001753413,15
"Fold_3",0.807763675675805,0.759301608809479,1.24840598052805,1.23856070905579,5.70297137363691,4.9857682466352,1,0.17566581369925,19
"Fold_4",0.776796470218605,0.783344756092253,1.38677273551974,1.4818900459136,5.27151988517926,6.653927981763,1,0.236363851377936,12
"Fold_5",0.829784754697382,0.759544431771937,1.04859097290173,1.39474830539399,5.04134116071275,6.07249524908631,1,0.117893423782915,32
"Fold_6",0.786980363071202,0.778395943022488,1.35686412194378,1.24384807155075,5.92513868057091,4.72307814682027,1,0.206418265076654,14
"Fold_7",0.77247410845034,0.796244796135733,1.34159695506166,1.51584281627307,4.9118987105341,7.357136686748,1,0.214340310390237,14
"Fold_8",0.782291595483645,0.76672399363148,1.27632581161064,1.53539157614856,5.5206631717933,5.61110760106182,1,0.186518312419637,18
"Fold_9",0.802992529478004,0.726200532521672,1.22657228496564,1.54237788751512,5.70426426373032,5.40849635058022,1,0.192190680499558,17
"Fold_10",0.800142951464108,0.787818281443626,1.18151280868579,1.68583302461408,5.28924651042013,6.36532492531652,1,0.184663740249057,15
"Fold_11",0.793362752649168,0.735086589294307,1.35336849257846,1.33654555168845,6.27742207701194,4.18608048174434,1,0.22150722640062,19
"Fold_12",0.784964554967793,0.78868540091238,1.2787856799198,1.57687313295656,4.68680207716361,7.71788180847882,1,0.19914673320019,15
"Fold_13",0.782498040077087,0.784055082001239,1.32996739553995,1.44615909237432,4.45065447389553,8.60278513487319,1,0.207131039522236,16
"Fold_14",0.825534098790174,0.707726271961499,1.07625770006932,1.6612622183458,4.57374533816729,7.58906634800967,1,0.163458693949288,21
"Fold_15",0.780769429261752,0.818699703106282,1.38018285955453,1.18971064030792,5.17821714815008,6.6148898831572,1,0.200929034879325,15
"Fold_16",0.803058037199965,0.753006915234344,1.31235950091708,1.31877427413152,5.89777329122995,4.69432071322197,1,0.214563746967542,19
"Fold_17",0.8086046943791,0.71877689780292,1.23795135173137,1.37164703627648,6.3274020437141,3.61008130801982,1,0.172673055810167,17
"Fold_18",0.826507375045016,0.709671236239797,1.08755399541299,1.55490168663419,5.01366494568206,6.62505110545622,1,0.155291342091605,19
"Fold_19",0.798514572233283,0.758273124702064,1.3217023867346,1.25410718137151,6.1879071500301,3.98962252978637,1,0.207670198203958,16
"Fold_20",0.836829140999315,0.743926446266967,1.04236261103667,1.36518316826414,5.86955130696326,4.20475492098548,1,0.137351449146869,22
"Fold_21",0.845791521871719,0.74811010584674,0.924002541939461,1.50697748893726,4.65845668416601,7.04531038501937,1,0.101989400150642,28
"Fold_22",0.782378970535962,0.729081220507318,1.3515767955829,1.64907258816516,5.1958576509772,6.74449167360012,1,0.239735476440909,13
"Fold_23",0.806748660619635,0.768815601744646,1.25534105768026,1.12901017915285,6.13524452750149,3.72845559878586,1,0.167774187641368,18
"Fold_24",0.834713523943151,0.708929966070395,1.02758988069665,1.61559715273374,5.489280254887,4.98087467010226,1,0.137340135371643,24
"Fold_25",0.846813991365012,0.75366328722555,0.959345432614791,1.35319894708804,4.63736242980615,6.9634423212857,1,0.0997644416061155,35
