"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.628380934332087,0.520861260425509,2.17596162673076,2.40270867830487,7.35281789597874,4.31910267072783,1,0.222319421264528,26
"Fold_2",0.453832153966273,0.481892713596156,2.74932639613299,2.82491587812612,6.03751419981743,8.34369752117143,1,0.429575377282433,4
"Fold_3",0.620975964538501,0.5113006132071,2.36835978346268,2.18059250093952,6.84022562620305,5.69414366741929,1,0.269795666714449,14
"Fold_4",0.719269317414701,0.299978816400308,1.76290231795096,2.93811515386476,5.79186524707852,7.90331309900012,1,0.189140910214406,27
"Fold_5",0.65342298324617,0.471112182217892,2.0603215613244,2.46473092345034,6.19158987562449,7.0347855182745,1,0.214191320239489,23
"Fold_6",0.514521972820441,0.578853520165842,2.70117148999863,2.2804692391646,7.13936653812969,5.42059778243678,1,0.336543586675985,9
"Fold_7",0.483514785916553,0.394772535951469,2.49321019392676,3.09789471883313,5.94394905644351,8.4297637445106,1,0.354469096201208,3
"Fold_8",0.606279344021648,0.441285569374195,2.14380631133123,2.80495953178492,6.47656272398205,6.605840028671,1,0.232510694806806,17
"Fold_9",0.515890870978509,0.368191385923217,2.66440593080361,2.80815107015767,6.7924026541955,6.45364988404705,1,0.44424025461001,6
"Fold_10",0.683588137477681,0.452962047956744,1.88317776030094,2.90031059707655,5.99303191278963,7.38859799981872,1,0.206085457227369,26
"Fold_11",0.636681744644966,0.447571641201399,2.25599366029752,2.37140274960799,7.16606129491652,4.94171575391917,1,0.254194907850132,19
"Fold_12",0.687180706773289,0.492920019719379,1.87715598609216,2.67026891596815,5.45879880567585,8.69371784497361,1,0.210292547271635,21
"Fold_13",0.515201668327616,0.351315907928216,2.56105814392168,2.92647444535388,5.50574350162573,9.52228297069215,1,0.415987068250133,4
"Fold_14",0.447442084511686,0.488353908316118,2.729651621578,2.871964045329,5.92712643008346,8.63740021131524,1,0.388636394772935,4
"Fold_15",0.566793735663659,0.289631016076713,2.40905215455209,2.80354302766942,6.07327792661933,7.91934498067763,1,0.303236750138007,10
"Fold_16",0.661753413890307,0.482443733814366,2.16232813637712,2.18916631064259,6.81756023018895,5.43970343487705,1,0.242159613483536,23
