"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.84416087365539,0.555828646667868,1.06432939682185,2.16301793902893,6.18972329615979,4.02985041118145,1,0.0949700115380435,39
"Fold_2",0.835286568056377,0.666256666511052,1.1414965490642,1.86482300590018,4.8585048882074,7.54471771966783,1,0.110382308744066,47
"Fold_3",0.756001967594632,0.605118332142099,1.63590649257237,1.81112022609625,6.29325660572537,5.48890602577988,1,0.152525050334552,32
"Fold_4",0.751071388665561,0.557517731941114,1.53626556375319,2.30951994929381,5.5952546382415,7.39940674817894,1,0.146403469377892,31
"Fold_5",0.810456324212264,0.611067586680107,1.24836209357536,1.97294971747298,5.43700465321402,6.56812551919142,1,0.107087247558522,41
"Fold_6",0.715266159256422,0.681252909207654,1.83224005409036,1.83289587022823,6.5977974123169,5.14937664402956,1,0.181740489162012,24
"Fold_7",0.773808383537433,0.67616157430543,1.43398072549294,1.98615621279368,5.1336510810759,7.81179906736171,1,0.13611296689546,38
"Fold_8",0.659708940407003,0.596460968254639,1.94420848785765,2.40492478566713,6.27841684706012,6.48838869853398,1,0.216833253758319,15
"Fold_9",0.771315601687558,0.622016476454382,1.45075919241246,1.96422348710207,5.8959568505456,5.89523070216911,1,0.141667627097955,32
"Fold_10",0.80453185841725,0.56800459708746,1.21678059269715,2.48002135976144,5.35351156635281,7.25475738247437,1,0.11398299198532,41
"Fold_11",0.724508099535305,0.536439738927741,1.7969998736618,2.06678109251949,6.82190213880642,4.6589384176856,1,0.197525711870195,20
"Fold_12",0.72607411316949,0.608306214306516,1.66619781870469,2.3746622944281,5.25840118807256,8.5064578289021,1,0.189521532090444,18
"Fold_13",0.805327632776857,0.626251068156293,1.24562754134832,2.12981991734627,4.53337808845751,9.06808674758598,1,0.115700823811544,41
"Fold_14",0.790763649173754,0.594028123773472,1.32305658987016,2.17852525895924,4.88851346704865,8.15263058920656,1,0.122150544170274,35
"Fold_15",0.715282842409669,0.594364053306961,1.77811708661875,2.11796964417336,5.68513055886752,7.54625232731081,1,0.185474718370799,25
