"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.798386327772687,0.47851896127235,1.35811274717456,2.48767777795191,6.7187716946873,4.31541726477266,1,0.131755017502418,53
"Fold_2",0.637206518004105,0.552146472333531,2.18301629959365,2.44827916189275,5.77866492819907,8.31000373215619,1,0.275642736969635,18
"Fold_3",0.786160321629708,0.526035408823153,1.48831386669635,2.04169275995096,6.24022469449979,5.72100543389519,1,0.143790437458464,46
"Fold_4",0.619424515561274,0.313939035755863,2.23658137082359,2.90485250080008,6.04195954131291,7.8312626523229,1,0.359944053322182,9
"Fold_5",0.711533268355078,0.482451427717719,1.83512770025645,2.4290774138202,6.07268220177908,7.0369756768459,1,0.208784102781382,28
"Fold_6",0.600787102196098,0.516480198902917,2.44573249630644,2.38108971029585,7.02042718004878,5.4694067193003,1,0.33291168689478,12
"Fold_7",0.795626831256128,0.558810338793398,1.33584199374909,2.48135495210837,5.23894692223633,8.10890867034108,1,0.130757804434769,47
"Fold_8",0.70329294088934,0.581444992671992,1.82844235813371,2.46836365002496,6.256002671634,6.46251726810626,1,0.200542506087499,29
"Fold_9",0.76749243038461,0.591836310209823,1.50234262689245,2.08423659492379,6.10757183194925,6.00120849431666,1,0.149867972468371,40
"Fold_10",0.731291552893303,0.49968421164012,1.63343387675378,2.81576090519329,5.88225760131538,7.42252228739789,1,0.185104079266153,30
"Fold_11",0.74221119103403,0.492703115971353,1.73863258204026,2.18195027676162,6.85854403720452,4.79025720225745,1,0.191423142993899,26
"Fold_12",0.707575407133771,0.546026952034222,1.77317602404973,2.52317770545473,5.37487036839761,8.75852177499724,1,0.200873194021663,28
"Fold_13",0.739155636711209,0.489129016467529,1.65415843519859,2.52342876360181,5.01391695380419,9.33047312429892,1,0.193051028025933,32
"Fold_14",0.807516216271389,0.518670166507797,1.26814105431358,2.41417383433061,5.01651590024205,8.42180887180471,1,0.13098971218854,47
"Fold_15",0.786964132652919,0.498366779160317,1.42372657493122,2.34040378076421,5.5248983466495,7.66382523661493,1,0.148873650072901,47
"Fold_16",0.589033587393889,0.458032312195977,2.5505493792868,2.28834974831847,6.99754043232418,5.56945699700979,1,0.388938880089958,9
