"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.867024815650117,0.613134774729434,0.991696434444343,2.1198171513457,6.13838419831979,4.27657621751918,1,0.153085445575192,53
"Fold_2",0.837677833244226,0.639113727947639,1.25450358266808,2.02151927270449,4.9983491370427,7.91073228052037,1,0.191253362744625,37
"Fold_3",0.900501719393419,0.664539273103141,0.837780324672432,1.59011153934949,5.39122935241277,5.38084076051888,1,0.131395519965285,71
"Fold_4",0.870773939534204,0.633023606026226,1.00017456615133,1.9519913120337,4.96225156505563,7.20004169923519,1,0.159227125528222,56
"Fold_5",0.894127521059384,0.612089868900743,0.84390642702506,1.95676388379819,4.9920975067278,6.99266300666157,1,0.131673483087647,68
"Fold_6",0.886622882745706,0.729097133416848,0.966957274405444,1.46089033746958,5.74142195295835,4.81693082533274,1,0.144315130197745,58
"Fold_7",0.713903635779101,0.56966895527869,1.82801055095311,2.61449149320028,5.45103828290914,8.07651342438642,1,0.29101482820151,19
"Fold_8",0.889117127860975,0.662966961322309,0.858925593904079,1.9918873745904,5.19638420644568,5.99973180794839,1,0.133168894425528,66
"Fold_9",0.747352048760483,0.637551397089476,1.71521787462069,2.05837949136582,6.13463938118383,5.95724456454503,1,0.249461408734198,26
"Fold_10",0.891054009678278,0.638765089829065,0.837409386594494,2.25965290540377,4.81168897078613,7.10868166134866,1,0.136146397829386,66
"Fold_11",0.875556613800077,0.668125582778464,1.04200448777611,1.66477325959077,6.0950631507966,4.32656014573003,1,0.158077775262237,50
"Fold_12",0.772390415468933,0.673148765672337,1.57983068177397,2.15609453603524,5.0982361098532,8.32950743395062,1,0.23292225285125,32
"Fold_13",0.796002443518111,0.631341115301189,1.48986235552595,2.18452737236713,4.73695051031346,9.1367183775795,1,0.238650172094427,26
"Fold_14",0.831425890169278,0.59395681225749,1.21589621771615,2.20032895580237,4.82509912648168,8.21894223055628,1,0.195716803175903,45
"Fold_15",0.932702946335587,0.611523716903883,0.575407688459033,1.91693991524149,4.1410964082533,7.40926870619088,1,0.100363242974827,91
"Fold_16",0.816620156536937,0.627981210141968,1.43242570062992,1.76829917637014,6.18197090652323,5.17648818233623,1,0.218664613537561,33
"Fold_17",0.804745501479947,0.66032149795582,1.51255402169253,1.62254671716667,6.70385115612737,3.59369358171044,1,0.213751988783449,37
"Fold_18",0.82393563452882,0.640294778143747,1.35120224998429,1.91214267905466,5.43136993892945,6.77518833404418,1,0.211318896014995,39
"Fold_19",0.835380195622023,0.720272492856403,1.32198968458053,1.45418088026499,6.45698072340164,4.06310635008665,1,0.182201991054691,62
"Fold_20",0.91148894261361,0.601455574450967,0.743768491560765,1.95818017118741,5.57758718302609,4.83872941736724,1,0.122678023570103,79
"Fold_21",0.800022711999626,0.586730393343745,1.46513243435807,2.3144266743361,5.10468278595223,8.07780404125763,1,0.242581669272481,26
"Fold_22",0.883312051831755,0.625107049614837,0.954640301491892,2.01275393078591,4.94282290196318,7.08998661270257,1,0.160424132782072,55
"Fold_23",0.752453222176118,0.554525495162252,1.8831653220493,1.94029077285648,6.8113502385176,4.41656343128867,1,0.304619555035444,20
"Fold_24",0.899152755593287,0.59851169446882,0.835124414718145,2.04083869234521,5.37158750363676,5.44099921020804,1,0.134332882609082,66
"Fold_25",0.918785306360959,0.63822841180404,0.679302064387498,1.84383405805917,4.45201422549139,7.36082883630083,1,0.116003167252679,78
"Fold_26",0.85910306943787,0.560067186162022,1.13626532574167,1.93761683957446,6.16915202741096,4.73787620582239,1,0.180236722588923,45
"Fold_27",0.800870823181164,0.635923593790091,1.49922726921582,1.70663741873837,6.71598165141889,3.88801520226499,1,0.210715669072915,36
"Fold_28",0.96374180308209,0.680182240618011,0.318171935930656,1.75014360165938,3.75489745605205,6.47936728919726,1,0.0619370580403494,134
"Fold_29",0.824000557099941,0.634254455143762,1.25064185352631,2.24418897977643,5.73919537526567,6.02848025799225,1,0.189890445878938,36
"Fold_30",0.837443969186674,0.655375527102969,1.25732809600516,1.86055207215254,5.29487780782029,6.90841835038725,1,0.18928646559206,46
"Fold_31",0.834799579020765,0.584921430170452,1.26266971394216,1.94508059555487,5.58266913827941,6.31477323929952,1,0.193020615423095,44
"Fold_32",0.905273648188527,0.638488022031464,0.756035282495109,1.9781645702686,5.2977919844216,5.5536200854721,1,0.121540022610843,70
"Fold_33",0.855289746800893,0.569001935528826,1.12434389427911,2.16289191616683,5.90029303110948,5.26081225575078,1,0.184856889220899,39
"Fold_34",0.839366383234122,0.637039258492005,1.17247266529355,2.02239959943111,5.69938869272425,5.94058192076912,1,0.174793902998942,50
"Fold_35",0.82381425945468,0.682685832449382,1.37429244147437,1.76607505336067,6.19877897038969,4.97427786881279,1,0.204018819429079,43
"Fold_36",0.801005037112607,0.609641853197168,1.47876540216006,2.0544288797014,5.63617504339131,6.77012422797266,1,0.229097687093791,32
"Fold_37",0.875356271448478,0.65326573613159,0.939508114432051,2.03721844230011,4.32909722667309,8.66827765071292,1,0.145893079514099,72
"Fold_38",0.914643403581112,0.679078768715824,0.729262770947097,1.73977758558459,5.57492368617623,4.43525024884799,1,0.116226656115648,86
"Fold_39",0.865879665470585,0.646007078835171,1.00823675856752,2.04301789072064,5.32112198401151,6.38149434308158,1,0.157852986479202,53
"Fold_40",0.838577011174127,0.597065121948803,1.25334381057879,1.98338251365197,5.34697616140045,6.9475022019199,1,0.195258356569747,37
"Fold_41",0.899377828901378,0.636645527738804,0.79824505575664,2.01090169110406,4.10511828722965,8.69552016876129,1,0.134920509507909,61
"Fold_42",0.935474665319716,0.72648709652913,0.55391452907108,1.51348362253043,4.98719858968122,4.99288911469075,1,0.0909237522247561,108
"Fold_43",0.803020045273634,0.668767566286137,1.43309023644714,1.84558793519921,5.94078492299002,5.80970832897969,1,0.213292529174309,40
"Fold_44",0.892894119464943,0.646970112867378,0.866730527876588,1.88351952222445,5.93709073354049,4.15223357109811,1,0.135261859892562,69
"Fold_45",0.834024790895101,0.713912245236714,1.30567797957698,1.50311621050284,6.41010176482777,4.07968989835054,1,0.18657756756625,52
"Fold_46",0.746842908071216,0.527141903555591,1.65027118551018,2.45429074705364,5.86580945412473,6.79935324914984,1,0.258565557624995,22
"Fold_47",0.966632140437819,0.64262706127261,0.31288311347367,1.63804453266357,4.57988193616497,4.02008030537436,1,0.063307291309637,133
"Fold_48",0.767919425355818,0.610829159115967,1.53104873952181,2.41379525165134,4.84258499815689,9.0846255828179,1,0.235681726860264,29
"Fold_49",0.840918477762704,0.585322620210573,1.22844306677238,2.10090723192103,4.57105649229211,9.06131527631159,1,0.198122127507004,40
"Fold_50",0.853152070004965,0.679299157170429,1.17622727932445,1.69955709093924,5.87909617640181,5.0930006773756,1,0.170978480900423,56
"Fold_51",0.925730493198913,0.6080704084673,0.629641543676537,1.79096668942667,5.33279638939959,4.618245194206,1,0.104108333612303,86
"Fold_52",0.882958203615384,0.575267644963341,0.917628866245212,2.01856199047836,5.51101991173923,6.16728696472933,1,0.146511785116986,52
"Fold_53",0.816841374552197,0.677993152663494,1.31474337724286,2.00486247297041,5.32369266537442,7.11357272872058,1,0.194860052329136,40
"Fold_54",0.923299972708768,0.666397516599841,0.679233630652291,1.81280828031096,4.26206822314933,7.92870514086621,1,0.115457995807461,76
"Fold_55",0.787928606682663,0.691004185745038,1.57203173212419,1.85627862147352,6.37412913434706,4.94953361587734,1,0.230279752926933,32
"Fold_56",0.750808910883399,0.618114072676502,1.69339806891801,2.30377392512117,5.38492244592892,7.8434691299314,1,0.267434366047357,23
"Fold_57",0.785006244800092,0.641452570268786,1.49875341142409,2.10966907409227,6.02626853092148,5.74436671548575,1,0.223580925015281,31
"Fold_58",0.951818039768698,0.613023562843705,0.410725829123205,2.01531594159674,3.543484971714,8.07367618479934,1,0.0832931562378385,92
"Fold_59",0.869907703731972,0.724182077632014,1.0740525982301,1.48017251132889,5.76902026410477,5.08434214784708,1,0.155754465494841,52
"Fold_60",0.8574159381295,0.606766549616334,1.12741577791943,1.90363191843842,6.02604356029622,4.60983268699092,1,0.163695154431356,58
"Fold_61",0.854035140020541,0.720163650705266,1.15070283340638,1.67679476246988,5.8956634727334,4.6685034696294,1,0.168917304638733,52
"Fold_62",0.866863571435208,0.727955048248907,1.06364436331608,1.60941292227555,5.90960517848378,4.74375956091151,1,0.153123699784502,53
"Fold_63",0.87350752946659,0.652232361850549,0.958058272528468,2.11064511608252,5.67638300760472,5.19158974442552,1,0.149311927377336,67
"Fold_64",0.846066188724492,0.613913375239323,1.12780043364401,2.09712310358172,5.22577192980051,6.81291034002812,1,0.171671804191224,47
"Fold_65",0.83090460521589,0.65197503744392,1.26642118567325,1.88983038155275,5.60588944622956,6.20162779202316,1,0.18672813676232,43
"Fold_66",0.939574682903216,0.67485743874739,0.530168055910253,1.73354067032645,3.41383644874012,8.82134152607575,1,0.093379558635258,99
"Fold_67",0.770386615129308,0.64024131281554,1.6704499814099,1.80229571060264,6.4652172273151,4.93436409150185,1,0.251940113483345,32
"Fold_68",0.798218309038103,0.621173001927485,1.53429719589972,1.87035753867968,6.53515595442422,4.38376221959975,1,0.230848477145399,33
"Fold_69",0.872137040814905,0.638870584425842,1.03367889365336,1.75658443018681,5.77794741737767,5.02526288958131,1,0.157761598913905,55
"Fold_70",0.846304456749976,0.583342379565708,1.12323746836939,2.24733597762771,5.063478720856,7.47622047055207,1,0.18184967834827,43
"Fold_71",0.872840961237826,0.686338122093259,1.04785444479271,1.67736533980096,6.05742644923752,4.28902882191195,1,0.161498443167715,54
"Fold_72",0.885410921525472,0.627461839134175,0.882616108427569,2.02935821181197,5.25879433442814,6.13449661585312,1,0.140407886245939,62
"Fold_73",0.833583439450841,0.683603803075386,1.3030384327968,1.88871937192062,6.15709821847823,4.83099161098526,1,0.197600397374949,46
"Fold_74",0.72639023434577,0.487392218164676,1.81949580766921,2.40155595129489,6.34815074706339,5.65208783619905,1,0.28869709620687,18
"Fold_75",0.888171934725483,0.708166398278078,0.878309062384937,1.78747621926718,5.31395814487414,5.62965415920347,1,0.130284354408157,74
"Fold_76",0.926279484018538,0.626668679085103,0.626293360704311,1.89817540692063,4.20018843658075,7.98642588576838,1,0.10430541797426,99
"Fold_77",0.811347094729921,0.696240819030506,1.45730695380023,1.61269673685436,6.12233908005658,5.23929855342449,1,0.209096828498165,41
"Fold_78",0.847894092565656,0.608832557537047,1.18878228213699,1.82838632547994,6.03763783528361,4.87440834506691,1,0.174057782101584,49
"Fold_79",0.830458448280711,0.631339951697253,1.26123039310514,2.20808437911647,4.90441443463976,7.98788464998504,1,0.201738303173242,40
"Fold_80",0.879230810760805,0.621088787263427,0.986989906355892,1.75292734988192,6.16734741899697,3.83318622035533,1,0.150638588706569,56
"Fold_81",0.888928309494957,0.672100506320453,0.936972835965644,1.50563966685708,5.93680554566135,4.11569302792201,1,0.138669948883425,62
"Fold_82",0.898247248869357,0.652036005965304,0.847252096250313,1.75096546477728,5.15549331842532,6.09669756024908,1,0.134092338905273,64
"Fold_83",0.842407656283052,0.595858985531388,1.17885209361708,2.04165870128643,5.86303177836415,5.53766676057697,1,0.181179058898236,43
"Fold_84",0.83881228201754,0.714938810776408,1.27578280560409,1.70699645786787,5.32731888105288,6.80026199470632,1,0.189826148889846,54
"Fold_85",0.875594408965662,0.694702239244807,0.948104863806941,1.91434583500023,5.05532381210303,6.63090940318017,1,0.141693005267057,66
"Fold_86",0.793006662824563,0.6153395080459,1.48729698951268,2.25352695704768,4.84985881609152,9.25652561074172,1,0.233763027677339,31
"Fold_87",0.871500787175378,0.628537602748486,1.06951776392428,1.83207432390545,5.30723262670332,6.56772062090966,1,0.174033948993944,52
"Fold_88",0.724235726254438,0.601287442438007,1.8753697342369,2.19579225263635,5.75114055381881,7.22714338747059,1,0.288741355000509,24
"Fold_89",0.852897060063235,0.628460586698261,1.11712695969296,2.14108230247322,5.48410431907806,6.25496990918597,1,0.170993182046756,52
"Fold_90",0.817882228579265,0.65894829156872,1.41187665204055,1.80324432742221,6.4084405766821,4.34159935449195,1,0.209320748956611,43
"Fold_91",0.8339499055777,0.587158597270232,1.24936474652301,1.94856605247731,6.56686673622612,3.9351535112575,1,0.190383931424892,44
"Fold_92",0.855377117782988,0.666429992760267,1.15853810073169,1.65168780081792,5.99694244685289,4.7916410775197,1,0.169817365143214,48
"Fold_93",0.85410989384497,0.668317352329799,1.12717694408892,1.91227122341254,5.68618498553091,5.77033635501247,1,0.171982206034576,49
"Fold_94",0.881806796362073,0.672027745633477,0.937845775136497,1.84280404634373,5.28680194168599,6.11652176127227,1,0.137713960177696,76
"Fold_95",0.911585450787872,0.699883176675414,0.744787554780949,1.69602471732299,4.4673961060701,7.18248003901477,1,0.121933589695717,75
"Fold_96",0.791744678664042,0.563747671567706,1.46691737204423,2.24632928362618,5.80487122462926,6.41205303302637,1,0.232637712966066,33
"Fold_97",0.936911477244707,0.627938421818216,0.552786854425858,1.77591031414557,3.87903566178331,7.75587974018785,1,0.0933851371762021,93
"Fold_98",0.766854681735437,0.564957011610225,1.51120828912413,2.29858326688155,5.46342367533648,7.12121934395471,1,0.217298906284509,28
