"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.78941093214125,0.362046725397349,1.51532943896924,2.81149061429572,6.67786097626594,4.68569144705049,1,0.17363151157492,35
"Fold_2",0.749180616749131,0.534549354165258,1.744499174336,2.43876837347307,5.40072403808866,8.20870404369974,1,0.174631924734513,42
"Fold_3",0.9175386283787,0.53707792132067,0.746101448616937,2.07263026370474,5.02744425398955,5.3937839542639,1,0.0843799607257208,104
"Fold_4",0.789603971038269,0.46184160289409,1.64450236921819,2.57113597460177,5.56593960023895,7.74855945637033,1,0.189368903807702,38
"Fold_5",0.834097207614591,0.479178455278025,1.33205351831326,2.40380311328788,5.4591483335571,7.06961814642808,1,0.143877920622126,57
"Fold_6",0.744848288418904,0.567270730722196,1.97844795925797,2.16509031582905,6.66765141683259,5.28681313215753,1,0.205876181746548,32
"Fold_7",0.762650030842194,0.48881030201321,1.65155010743534,2.75982967200979,5.27346603059148,8.32292883771035,1,0.177403010878889,40
"Fold_8",0.725892359833952,0.530515410531648,1.83057437645458,2.65058494501505,6.171579423671,6.40706657641092,1,0.198118673295402,33
"Fold_9",0.64494677225026,0.554639636574794,2.2130417682551,2.45773891829409,6.44345599881925,6.23691164977125,1,0.224632252244852,23
"Fold_10",0.850194259664267,0.314122286728677,1.14441290900542,3.35461038770919,5.20779231042009,7.97107698938612,1,0.134539221713706,49
"Fold_11",0.712838635730759,0.523603351096903,2.16041538423734,2.24124111436595,7.00274225826972,4.79437425075916,1,0.241498282296844,21
"Fold_12",0.8907390782699,0.637900888654172,0.913450841423218,2.11633615370626,4.39472631890813,8.21056144246473,1,0.0991702734373681,85
"Fold_13",0.840369825639304,0.549200068753824,1.28423732533718,2.34005627892682,4.51126146920807,9.23811619138631,1,0.139067351670662,60
"Fold_14",0.859443723934424,0.452567881910961,1.11936840158332,2.61767755824333,4.67610064040792,8.22789864807501,1,0.128862236303977,62
"Fold_15",0.740343622516927,0.39568271360487,1.81440228086915,2.60026405279512,5.59296338746083,7.74630073875119,1,0.199729782604001,34
"Fold_16",0.829548318044021,0.470997120712939,1.45075207006691,2.19138678639306,6.19265634809861,5.44592113082724,1,0.156778727629679,51
"Fold_17",0.753765737659026,0.49603944851753,1.85921701939145,2.12061056287615,6.98396937984952,4.10070880975483,1,0.194286262928324,29
"Fold_18",0.824369630092236,0.5788244044508,1.45154365461581,2.14802627554926,5.50801469251545,6.99300728275027,1,0.159204107540701,52
"Fold_19",0.780223600393635,0.584087282580225,1.6932844735592,1.99528121867063,6.74380940892464,4.4840701397872,1,0.172056083345149,45
