"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.898092022338315,0.457615397910129,0.761127968542327,2.62356601975841,5.52363228007227,4.83568559594015,1,0.0752734800736104,77
"Fold_2",0.805575344668521,0.563644701426429,1.43588380046515,2.31301082166957,5.18372666468092,8.04726828367029,1,0.146237089034757,47
"Fold_3",0.829738772089167,0.583814317118234,1.2883057620863,1.86219090692611,5.81889663342194,5.64076855539888,1,0.122896375213403,56
"Fold_4",0.798992050181134,0.548612324031885,1.48139017422499,2.29078878442555,5.43070657852894,7.58847660781989,1,0.150818748579764,47
"Fold_5",0.936213300019697,0.53499329428538,0.50636850348027,2.33159772918515,4.11884672565207,7.60053149464121,1,0.0523855477337623,97
"Fold_6",0.881970717255141,0.610011059308182,0.901927470211179,1.87413736643196,5.51438231340406,5.15295030714834,1,0.0802856824708801,83
"Fold_7",0.835048278428756,0.608299378819443,1.17092951481281,2.3356494117672,4.82519009974325,8.19993755485245,1,0.118883598524006,65
"Fold_8",0.823753026602826,0.635964544404956,1.24068099228032,2.16739221974197,5.65566244093954,6.3390431324272,1,0.117270248012082,62
"Fold_9",0.854409517837522,0.612239087980345,1.10597843166257,1.99245713396773,5.51669751161045,6.34054017160932,1,0.109033691207295,68
"Fold_10",0.943852757017599,0.445196588487647,0.414726982866357,3.12838647895494,3.9365900916453,8.0999888705137,1,0.0448969529374489,118
"Fold_11",0.771931147453828,0.523705554429628,1.62592337747955,2.15772892807115,6.5970528935819,4.7682390679755,1,0.160193557674386,44
"Fold_12",0.871366507728181,0.677048329130812,0.95530511967847,1.96390003602992,4.47471698002733,7.97697389166025,1,0.0931151885479878,77
"Fold_13",0.740133076569824,0.473552896031906,1.78268041745731,2.60192278598883,4.93137075018807,9.42459816424166,1,0.205327622659865,30
"Fold_14",0.800846052414167,0.5276577020088,1.42310528435462,2.4072739153758,4.96446455706874,8.63085213093464,1,0.152938136369326,50
"Fold_15",0.746351035774251,0.488631454610135,1.75405204544877,2.35817588631868,5.60971530823298,7.71726556320377,1,0.193597596030699,26
"Fold_16",0.82649974204664,0.567781290959691,1.33182701587407,1.90981682211408,5.98354975223812,5.12710934394901,1,0.129094791465254,57
"Fold_17",0.745678783866521,0.495825358353957,1.81954501504958,2.09768037008161,6.98131637626328,4.03451058228722,1,0.187517453792251,30
"Fold_18",0.808161371752866,0.55227740860452,1.40092546151874,2.18220043709072,5.44014364728364,7.13314380027459,1,0.144729932186729,49
"Fold_19",0.695613493217979,0.5246862329953,2.05933814752814,2.15217407777458,7.05113274427183,4.56449434971833,1,0.216108794269906,26
"Fold_20",0.87856161724685,0.492998745035486,0.906830121866633,2.3530317167937,5.78537373067204,4.83293623604195,1,0.0891516084641933,67
"Fold_21",0.749516908172248,0.46994196097439,1.67301248284072,2.65433477831089,5.29083999865986,8.47383086034891,1,0.183712033295732,34
"Fold_22",0.792436406706049,0.407127269117305,1.46474451446852,2.71505692288415,5.42928619074889,7.69286716890727,1,0.174854595161407,27
"Fold_23",0.789621271582986,0.563615879745193,1.52044046785249,1.88055881657504,6.49323707751213,4.466565713492,1,0.143171494377579,46
"Fold_24",0.7050060991682,0.540808505896369,2.03210755429363,2.43047909148027,6.61956451436945,5.70989993637635,1,0.219435860349762,24
"Fold_25",0.794130760828857,0.437103767783707,1.53226667579509,2.5454334350894,5.40780124836293,7.68872333684014,1,0.172546752882474,36
"Fold_26",0.768040462249628,0.454909988613136,1.64746353235499,2.23142806078619,6.59379145237359,4.99587911829323,1,0.166382482811075,44
"Fold_27",0.89081086214214,0.700323290001169,0.859073846166326,1.41286125487288,5.83619167233608,3.54367880093246,1,0.0733748580151842,89
"Fold_28",0.875976754075562,0.636902952610712,0.946433094936902,1.96478651849227,4.89353250827018,6.95020397664225,1,0.0878387032056954,74
"Fold_29",0.791485223100521,0.624409860263916,1.41005763528617,2.31227220031219,5.9711124033989,6.08390827383194,1,0.135683292574427,45
"Fold_30",0.807247951080578,0.596082574673261,1.46775449989945,2.09053761542161,5.55442924052631,7.12006896105952,1,0.153978976601601,43
"Fold_31",0.791689706163739,0.476837806615571,1.5034693338092,2.28014157862583,5.79810239767823,6.41996487327113,1,0.149132190591838,46
"Fold_32",0.736708183910006,0.530859262720431,1.74352642434589,2.43813215992904,6.38227918183388,5.71401763908397,1,0.185092361853247,28
"Fold_33",0.739387851260136,0.408258027719631,1.76696767199669,2.61160692175613,6.45207080104115,5.89734497138751,1,0.201354512813051,27
"Fold_34",0.671962905423304,0.478094676289999,1.98242759910763,2.6785759039705,6.28544103237924,6.49615738561654,1,0.207635725161274,26
"Fold_35",0.829302015964827,0.647218946272,1.26808454510397,1.85928476892256,5.96533878643827,5.11267886285862,1,0.122206235355857,51
"Fold_36",0.878278606170793,0.506760167174158,0.9233975340112,2.33789984027385,5.08570564922065,7.1130610494665,1,0.0897049473735546,76
"Fold_37",0.801889962199225,0.492578477018734,1.3483371685435,2.57096800359691,4.7262153615747,9.13221469386395,1,0.142967503612291,52
"Fold_38",0.764324560861119,0.59991941563935,1.64949325436779,2.05888792275584,6.65532271460226,4.61588196206702,1,0.154996259746795,42
"Fold_39",0.659896769457817,0.422010615283657,2.05888913012059,2.79424576560892,6.12519476961933,7.04900668921364,1,0.233422324000492,19
"Fold_40",0.724141786471604,0.509982021912101,1.94762304862019,2.31503655232472,5.89275828610902,7.38879071408925,1,0.213531824712818,27
"Fold_41",0.855525750334091,0.590007119434569,1.04685873093095,2.2139860835672,4.35084824646542,8.87641470133956,1,0.104510746586828,68
"Fold_42",0.849834423738103,0.60389978837603,1.12866485759455,2.02223495141838,5.83422414525974,5.40070861460725,1,0.10914524590451,57
"Fold_43",0.7387328316365,0.519499043930945,1.75463164101844,2.30436066320676,6.23195796379909,5.99871248845962,1,0.181009033187339,31
"Fold_44",0.787538223183712,0.519301045573253,1.52136396549544,2.32649413632879,6.64143983528925,4.61753506767683,1,0.164797028658187,39
"Fold_45",0.819996807570734,0.640872108821183,1.36403108953833,1.72245230289626,6.3546111861698,4.37122727232778,1,0.127978547147708,54
"Fold_46",0.72026427994153,0.594821301378727,1.83411874857565,2.30529995398874,6.02859466250793,6.63293030635378,1,0.182125543173912,33
"Fold_47",0.921970369622994,0.584476048234735,0.619538989613088,1.86574469541988,5.30790912378784,4.20238490828034,1,0.058971508182916,104
"Fold_48",0.578104995382652,0.290208935612161,2.31982627407978,3.25751615925193,5.38893585344347,9.52438852174783,1,0.307083339660197,10
"Fold_49",0.755124866283464,0.527149396481515,1.78349029818356,2.29936237573191,4.99194337392463,9.30166902157316,1,0.199351691879548,31
"Fold_50",0.786363202239064,0.534544217864852,1.58882129209775,2.16044419045592,6.3220860116521,5.55337230100058,1,0.163974233886432,45
"Fold_51",0.817518172122103,0.506725885180274,1.44204421615502,2.07095503669543,6.38050904307327,4.62347068218252,1,0.151098333844855,40
"Fold_52",0.851499712322118,0.539796864171029,1.13584240648735,2.13865220696329,5.66092372252683,5.8883372166794,1,0.110313773804426,57
"Fold_53",0.728361175269676,0.539084113647536,1.83441989863405,2.45455298113892,5.72686347763187,7.57725310252464,1,0.202918096630995,31
"Fold_54",0.825245023765672,0.534869163489026,1.28960155593141,2.30146283952983,4.9246480556581,8.2836437479527,1,0.138441663742746,39
"Fold_55",0.772755217294742,0.557691284514055,1.58408851077235,2.23136126658145,6.39367990987841,5.03046578837738,1,0.155971639315043,40
"Fold_56",0.748117519510283,0.585041714027174,1.65432484785877,2.36485963025167,5.32347657403193,8.17883492117431,1,0.165876740468421,36
"Fold_57",0.887269785339469,0.641246436430292,0.83798811354421,1.95658930040789,5.15660091189658,6.31494585099683,1,0.0778440519225322,86
"Fold_58",0.756343576411947,0.406185392822337,1.63499020173765,2.72231952563869,5.21867108824417,8.47847035097245,1,0.177035565493501,33
"Fold_59",0.666932183265977,0.584680209794193,2.27130246456889,2.20529011682577,6.75518138185774,5.63095202934941,1,0.243871870600622,17
"Fold_60",0.779065601011657,0.504946657222632,1.58344576443945,2.2466735530463,6.50929359679599,4.92782671181384,1,0.15597671915134,42
"Fold_61",0.805543508684247,0.628936665160719,1.41326435622955,2.05833295422288,6.19167300326796,4.94618583535768,1,0.144054673755551,61
"Fold_62",0.756882393085485,0.546524587347903,1.69561996831588,2.18204027371122,6.5139860897601,5.21941401369989,1,0.162398490342519,31
"Fold_63",0.778044687862698,0.48303172243825,1.52463086581479,2.62116143994179,6.32193390217216,5.45789155763009,1,0.170921491783452,35
"Fold_64",0.821255756530341,0.539211264650181,1.26265154257797,2.352978925714,5.3676871397845,7.15923496160767,1,0.122830638358035,60
"Fold_65",0.895338820361471,0.556067844521422,0.790687488853843,2.19420692685142,4.8114032934019,6.52775549838233,1,0.0770128025830284,76
"Fold_66",0.757087602516523,0.479629272498826,1.71952535812118,2.44069596178898,4.79724091948269,9.55075404849039,1,0.185794025509004,32
"Fold_67",0.75288035984392,0.508488003019852,1.75738918947762,2.1030608613269,6.50384538176099,5.10719392192753,1,0.184060896649788,35
"Fold_68",0.725684705504146,0.462542054607352,1.87741610888094,2.29090497514809,6.8138876073275,4.86563018321925,1,0.202499756932329,29
"Fold_69",0.835635464332785,0.543359202659478,1.23506671259833,2.04363130442931,6.00559202867002,5.17655926657119,1,0.115413245840277,61
"Fold_70",0.696835821566301,0.384542122969482,1.91793980267703,2.88155745523517,5.76519967771753,7.78232251280834,1,0.230092538379341,22
"Fold_71",0.839662886795395,0.586893075385877,1.19064475535485,2.00750997811298,6.1385963311529,4.65370680537693,1,0.117982755780881,62
"Fold_72",0.808658515284053,0.603732407472879,1.39471012794339,2.15241849628424,5.73518680479196,6.46203360525283,1,0.141543397414391,44
"Fold_73",0.792629201674004,0.560497587068479,1.46197549392578,2.23306106383825,6.32909054651709,5.07813076339537,1,0.146608490399692,40
"Fold_74",0.845651279697726,0.559170461611354,1.15666590254342,2.21275555943892,5.8144717438579,5.67388703603961,1,0.120482962302414,54
"Fold_75",0.761084744608841,0.604607412448918,1.66891470662103,2.32371939695763,6.17966715438703,6.08918376351515,1,0.173588844562636,39
"Fold_76",0.92852755587069,0.561200515551029,0.59383690688051,2.19875735151835,4.00898790563795,8.2380305166869,1,0.0656692829640862,94
"Fold_77",0.721376563808198,0.522073463721433,1.96677889890114,2.16467664078261,6.53820090628788,5.76444607236462,1,0.209520766498424,25
"Fold_78",0.825798390653606,0.586741360672818,1.3383326554081,1.92603699807511,6.21313041806594,5.03329782624948,1,0.130549005547877,51
"Fold_79",0.792256276160718,0.560153607043206,1.47154010696335,2.49867193185299,5.09167425994936,8.24988054428516,1,0.164782778797088,40
"Fold_80",0.7532866008382,0.578213557720133,1.85526363063252,1.92625037818298,7.02227124723231,4.04915016472019,1,0.192328377059007,34
"Fold_81",0.891305896508458,0.655661628523214,0.882837441380431,1.55743547661341,5.73957136283427,4.28338103897773,1,0.0809482706748717,87
"Fold_82",0.900061852831718,0.625192999774977,0.804380783516488,1.83728753320652,4.94970408817694,6.15811638778537,1,0.0808888713993362,83
"Fold_83",0.757290878141917,0.430372071557132,1.73068137397841,2.56052542247298,6.4081565477576,5.891302251256,1,0.207982330061049,28
"Fold_84",0.781701463508265,0.570345708866847,1.57990358722912,2.16872658145707,5.57366140956469,7.12060088521522,1,0.166130163985303,41
"Fold_85",0.783357560304638,0.550823686775856,1.47395086853484,2.48764592628312,5.62364606629472,7.20977216559284,1,0.152367774080182,44
"Fold_86",0.869752039637191,0.647696094078666,1.0031565587536,2.02453159043714,4.27904751995713,8.80967935409505,1,0.100408539437917,72
"Fold_87",0.891449830793106,0.555603360599181,0.847584321230301,2.10947689592537,4.79708710958947,6.79425797802211,1,0.0813935021683732,73
"Fold_88",0.745880194278246,0.61650663449872,1.77249365246759,2.15128312809277,5.73155362400147,7.14803917037174,1,0.174676483520897,40
"Fold_89",0.909471347011523,0.623305926009716,0.655480644008897,2.10352739583774,4.72451133159594,6.37447326787194,1,0.0616226376285851,95
"Fold_90",0.750476273800411,0.495821699769192,1.72201963377875,2.31934938278352,6.70724418521056,4.7033971449995,1,0.181341871371149,36
"Fold_91",0.834179864590547,0.528553709408244,1.22647653256041,2.14836050003447,6.4371025581539,3.96550240818651,1,0.126370911537162,56
"Fold_92",0.779919386904771,0.469654556282812,1.64402277152991,2.28062119223402,6.52036081035056,5.35176034608649,1,0.171112170275818,39
"Fold_93",0.833738649650694,0.525149250621967,1.18450055585272,2.41040721051703,5.74349133664105,6.0354344224953,1,0.116080575481082,60
"Fold_94",0.837834449223383,0.634240315167759,1.19139019814081,2.04963014344372,5.52505238148606,6.16329456833965,1,0.116033538069189,57
"Fold_95",0.723056321200976,0.43529348393463,1.87555882847355,2.62538195761557,5.6534266073155,7.707419306133,1,0.213975317239183,25
"Fold_96",0.81396489991684,0.560367214949571,1.35339998927755,2.2191685132935,5.6108127882735,6.58697469433974,1,0.144471671651101,51
"Fold_97",0.792533325326193,0.478987663750995,1.51310852464452,2.24038649990782,5.20148828873985,7.89009647537547,1,0.160227538986289,35
"Fold_98",0.800002406215596,0.571035678737468,1.39035439394766,2.24585403394703,5.39979550284919,7.04811949583658,1,0.133071310774316,45
"Fold_99",0.761078458122621,0.575261689927299,1.76645693870536,1.88746545708463,6.95672067392089,3.89900866938964,1,0.178415617814201,40
"Fold_100",0.721794332054197,0.53047886263414,1.82795244696486,2.61311478328151,6.16417035188523,6.49142664703079,1,0.199659911772783,28
"Fold_101",0.823007114524186,0.577603904599568,1.33511362197659,1.96848337598156,5.95748234740746,5.35138586709857,1,0.12368484570888,55
"Fold_102",0.733167696532953,0.467207729806208,1.706630258786,2.75134468014312,5.64841828509004,7.43958717181151,1,0.179932554696206,33
"Fold_103",0.763509443944235,0.636429503767357,1.71625581503051,1.97021767587876,6.92014043970467,4.03595933020887,1,0.165880614421766,38
"Fold_104",0.742273580202614,0.50778813388507,1.70798715778484,2.80816173127202,4.81238786613017,9.91674777681248,1,0.188682700204306,32
"Fold_105",0.781604437762364,0.484365178932113,1.5345667960951,2.42977175728144,6.1615488493133,5.97622843830846,1,0.157151071892628,38
"Fold_106",0.850524888498315,0.635054540923209,1.08690916898598,2.04759808248168,5.81366326968174,5.38645249467976,1,0.105693751304853,68
"Fold_107",0.864257504618369,0.530146168427503,1.05091773991678,2.28244529398051,4.21878895574218,9.30166881013103,1,0.11335013305767,66
"Fold_108",0.775410637301056,0.667508803446064,1.6341427415443,1.93847414958744,6.79484996004828,4.02169722038251,1,0.156773623728033,43
"Fold_109",0.918316763563647,0.558700951205557,0.637555232003231,2.20294197013876,4.30180466915514,7.34594557849355,1,0.0649753287755626,98
"Fold_110",0.836153216098917,0.634206711941385,1.2024496846628,2.0803058391537,5.36388644217134,6.61884141837378,1,0.118610454581023,62
"Fold_111",0.63891481746315,0.470953679126995,2.29989676917162,2.53174262577405,6.6465396879012,5.92055139324218,1,0.256264371241246,17
"Fold_112",0.832644885467754,0.60586356280383,1.24245916774131,1.93709219568013,6.15431619062022,4.65933770411213,1,0.117835843309701,62
"Fold_113",0.830293248561006,0.530057649017373,1.33596622278618,2.0957520169968,5.48589755896785,6.92215500060198,1,0.136715608545495,47
"Fold_114",0.892481142074796,0.557130565874532,0.806343783094767,2.41465242755996,3.99920149381136,9.66778933616035,1,0.0831762460904944,80
"Fold_115",0.876870135115957,0.490293144807191,0.960163622412257,2.22584721503068,5.28014097563652,6.59781824705233,1,0.102472055854985,69
"Fold_116",0.71491564508567,0.489553823254132,1.93637893432951,2.20616421930725,6.81018120298758,4.87758102651027,1,0.196056302195937,27
"Fold_117",0.904864349779646,0.445918745468687,0.734046011937412,2.5511760595072,5.1114306058447,6.17720048034465,1,0.0780463713985183,73
"Fold_118",0.759933195424676,0.567782013521743,1.70120921934085,2.25030979613248,5.38604188900941,7.93793472677881,1,0.173043208200651,34
"Fold_119",0.87207837661054,0.575170389814997,1.01645004429166,1.88420239066064,5.98667140601399,4.33731014371706,1,0.0978188125620765,63
"Fold_120",0.89875545300423,0.665210406179599,0.804636820642112,2.00272617967111,4.82782080617852,6.70193504772702,1,0.0839146436377177,83
"Fold_121",0.761808166225912,0.576554517983264,1.62693476669413,2.41370641612798,5.35297209682494,7.8552615174544,1,0.177592052860019,37
"Fold_122",0.773087997106175,0.599047081610414,1.64032399766229,1.96357397253196,6.31151355311731,5.37288729856371,1,0.15531274962971,38
"Fold_123",0.790236871800038,0.612983262298053,1.52778856607452,2.191848054766,6.06488261036681,5.88641732596353,1,0.15280166527852,45
"Fold_124",0.807752217680417,0.501534132656425,1.40372022608645,2.21027092232428,6.46489970147512,4.57560006050886,1,0.140960961494421,50
"Fold_125",0.839383486978424,0.411689896697725,1.18999497821753,2.77453583048507,4.58321902481406,9.06443761761904,1,0.135755964481439,52
"Fold_126",0.843161716411058,0.534683054416541,1.17826063945435,2.07988570533895,6.19026777493936,4.43995866702691,1,0.117356550618002,61
"Fold_127",0.715468230626662,0.493004624984455,1.83625909351662,2.57929568933416,5.66340648965749,7.48055035859182,1,0.198268130326899,30
"Fold_128",0.820639339757978,0.598359107895111,1.32014803840618,2.21499274238794,5.17211626529352,7.52806989323731,1,0.134570816921213,52
"Fold_129",0.798356346183735,0.569441928223183,1.45384395488744,2.04303592679914,6.10390207217667,5.48112589281026,1,0.142494704847799,48
"Fold_130",0.740740365797281,0.675892764624308,1.80556691659666,2.12494130708453,5.75908546947474,7.14434700022858,1,0.173480499189548,33
"Fold_131",0.832885289972792,0.543540080671979,1.30516057966894,2.0498119149856,5.84995222284434,5.74784815518248,1,0.132225570542567,56
"Fold_132",0.596828319436423,0.481841756282902,2.36873478809411,2.75982144573509,5.87667995092666,8.12480312962123,1,0.287380801430516,10
"Fold_133",0.743038205828,0.415533038748854,1.75875501301725,2.49901223279707,6.0361370158762,6.72902443559834,1,0.19200620479336,34
"Fold_134",0.849534739833752,0.539203843011974,1.17483819040961,2.18549057498092,5.66482947276909,6.01826851769942,1,0.120423032817546,59
"Fold_135",0.742848088774637,0.498577121413152,1.75841070475142,2.3166908516957,5.84545266572587,7.13164637004994,1,0.179983291708317,30
"Fold_136",0.854328049184765,0.645634515948812,1.08152687639517,1.99712406394394,5.38864639411951,6.508956282184,1,0.10824532071616,64
"Fold_137",0.682008543266575,0.514108532607923,2.00147351962505,2.58258529089187,6.13842586655995,6.9422788407121,1,0.218529821985339,24
"Fold_138",0.766171172238868,0.594357086760438,1.61539555833646,2.17747134045422,6.0931259217014,5.93320990896647,1,0.152564261916731,40
"Fold_139",0.880041847181147,0.545261571209458,0.938963412805336,2.16696079579473,5.77278343356547,5.316106273674,1,0.0901490227669113,76
"Fold_140",0.91543747216545,0.611349344213288,0.672898777577479,1.90603515356548,4.76217252313495,6.37337515687839,1,0.0646610086433445,90
"Fold_141",0.860874030532087,0.565438835475258,1.07309345630035,2.08394424738937,6.08936426224857,4.42729124546198,1,0.107220664340722,60
"Fold_142",0.864712907408208,0.508774209563826,1.02279077605828,2.32435347787037,5.53025559077374,5.82360568641351,1,0.102388422662845,61
"Fold_143",0.883531535185927,0.634334233541137,0.88522723372136,1.99276784880855,4.35530722373718,8.12797274214514,1,0.0858649087524962,76
"Fold_144",0.802026039478731,0.703411876308144,1.44088970206682,1.99365964332664,6.0810448456749,5.46238135943833,1,0.136426649723282,56
"Fold_145",0.769541266177601,0.510458282104078,1.5858602251683,2.7138741075255,4.7350103967795,9.80323918012986,1,0.186235537081164,36
"Fold_146",0.938198263224605,0.432439091878946,0.468432481336302,2.78506891823332,4.14563665222578,7.0752243385538,1,0.0479817362376934,105
"Fold_147",0.743832102757455,0.413282777748376,1.73638193074724,2.55395572059908,6.6336928898199,5.02969982205875,1,0.188152331125388,29
"Fold_148",0.883636176257387,0.491436191763835,0.876392373826591,2.44230174952465,4.44610823567515,7.81700690680252,1,0.0869489982087169,62
"Fold_149",0.709579509089906,0.495479544268045,1.97009194737088,2.47116087481068,6.34693190085375,6.19393676921029,1,0.216707121302482,29
"Fold_150",0.82459566558015,0.569466712901114,1.36006945525802,2.01032560251907,6.27101463517581,4.87348102414149,1,0.138931910951031,46
"Fold_151",0.884848907062276,0.569896572798507,0.913739501136135,1.95371780076876,5.8322612319194,5.30045136841446,1,0.0855590402901071,76
"Fold_152",0.785081491476322,0.558960211113464,1.48751103550877,2.31942190495013,5.92805038620073,5.92379397326394,1,0.15119704499535,37
"Fold_153",0.844506095044879,0.60000439329207,1.19772445987973,2.09365972636608,5.39687970727882,6.93825541710435,1,0.122776329121516,57
"Fold_154",0.841797880292646,0.56770080217578,1.11970176697405,2.59224381412546,4.66415230184788,8.50998853901023,1,0.120136987651158,59
"Fold_155",0.76470159328656,0.580399064690117,1.66508363337662,2.07143930612202,6.49567699361701,5.15292553918074,1,0.161295741104838,39
