"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.841152850847567,0.59577178659053,1.09221949019331,2.13497702198032,6.41120131131278,4.04981227037044,1,0.133145913604323,42
"Fold_2",0.822815367222086,0.683427248835688,1.22716885592794,1.88503370532878,5.03105927132908,7.76057344457377,1,0.151565019227794,30
"Fold_3",0.835105013256702,0.645169974199437,1.19206023745224,1.65666803162833,5.94471290116358,5.49119282895397,1,0.144206420953218,37
"Fold_4",0.822563708133335,0.631393985176165,1.21959274261505,1.97134586759486,5.1927401013064,7.26687237866284,1,0.159227125528222,34
"Fold_5",0.839193022335257,0.634034128002668,1.11281541830343,1.86876782848813,5.35539510384791,6.65872810032967,1,0.131673483087647,44
"Fold_6",0.738042609497397,0.723196517848661,1.79945122318189,1.63776709735712,6.51781031647364,4.96207874760956,1,0.229790498632649,21
"Fold_7",0.823557754647132,0.691413408654676,1.1773506943605,2.05043431044772,4.86719857742185,7.74525163163136,1,0.144838765752898,40
"Fold_8",0.834302709356237,0.704256521761248,1.11145185403268,1.90910659249126,5.57338405981568,6.05824858577464,1,0.133168894425528,50
"Fold_9",0.786528450287947,0.688089218896563,1.42985912502762,1.80232747029809,5.96811871055933,5.77191172988733,1,0.171944072540946,36
"Fold_10",0.880331846156673,0.661890746956708,0.80969459330189,2.12998931667785,4.88067764130637,7.20385229755388,1,0.0983087137267126,61
"Fold_11",0.796376691276036,0.662085054373036,1.43613366055552,1.70829187788432,6.51974984805869,4.40329876546816,1,0.173490163202194,34
"Fold_12",0.836953689362507,0.714727415970469,1.10937738667819,1.79018957406798,4.74748609157992,8.13467145452977,1,0.133286676685899,37
"Fold_13",0.854549981555032,0.625809941852745,1.02416605041578,2.04785563578511,4.33666318521811,9.22158476904006,1,0.130357339802784,40
"Fold_14",0.77855502729094,0.607443870159853,1.4293968478455,2.18845555373218,5.06672091633046,8.20378859787799,1,0.195716803175903,25
"Fold_15",0.830580683371671,0.645002155399513,1.1994856340345,1.82280494485786,5.14581253927149,7.32439469907565,1,0.145609881211059,39
"Fold_16",0.773968641414203,0.620466011734904,1.58854513241661,1.77122241876083,6.30792105647773,5.19241110093514,1,0.208725969378835,24
"Fold_17",0.813618608699233,0.721867365214573,1.34174252780162,1.36145274673377,6.67895991269899,3.372895608702,1,0.147330954521762,44
"Fold_18",0.870490641300987,0.665811803962183,0.940414547664847,1.74165150925173,5.05949146816497,6.71733410200724,1,0.115428239136891,56
"Fold_19",0.884811326757919,0.707079103266116,0.879298792706347,1.43173555925502,5.95278766561354,4.21843155326663,1,0.0995237784754766,62
"Fold_20",0.874364848739432,0.644537748497486,0.919542572832992,1.83669368220419,5.98633286732267,4.51809021794493,1,0.111779646070936,60
"Fold_21",0.865761345106247,0.669409955498711,0.933458824108326,1.8974011551656,4.64243850389071,7.78291021357675,1,0.115245945951956,53
"Fold_22",0.873612626859183,0.619981674398237,0.919625740302643,2.0056853256608,4.98091298563768,7.16588847465151,1,0.121354973304392,52
"Fold_23",0.856757640885287,0.657382194664347,1.06290523882492,1.55965130792315,6.13297043988842,4.57802385990065,1,0.1201482294794,57
"Fold_24",0.834746908802796,0.687019964116092,1.15356163523279,1.72927126259253,5.82151480126674,5.31785762971632,1,0.134332882609082,50
"Fold_25",0.833882721102736,0.614356321052049,1.18437010292946,1.97144960900492,5.14355763325384,7.4487642172134,1,0.160651205366759,32
"Fold_26",0.88880758275441,0.589755816868973,0.821682153300774,1.86350536658521,5.7910797101533,4.80243421182147,1,0.0939755765380546,64
"Fold_27",0.74950331957743,0.621702534893619,1.72439851089645,1.74815645522039,6.87527378483331,3.94394186088761,1,0.2207490542804,19
"Fold_28",0.741044967369609,0.631780898697652,1.65908173812148,2.06660499971053,5.75977219230041,6.82411001933172,1,0.217472886232877,17
