"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.754902441840901,0.519102911373185,1.57243050154778,2.33082847044003,6.67273480132116,4.35307782639073,0.5,0.266662320378453,45
"Fold_2",0.688145200763469,0.60785784149067,1.98262824919126,2.33327134088448,5.58032727703809,8.12292431723224,0.5,0.400390593320015,26
"Fold_3",0.784528845973948,0.584295702136206,1.49847649714276,1.87099784583118,5.98114910868239,5.79138439050337,0.5,0.234964342676661,48
"Fold_4",0.651581754093596,0.506492901541128,2.15909975611118,2.54564588960235,5.94276239720478,7.59060758953625,0.5,0.506207503496313,15
"Fold_5",0.758607308400237,0.51584641754243,1.60280410528046,2.31169236164486,5.72217326287976,6.92239953133138,0.5,0.31284507778605,31
"Fold_6",0.665901607702356,0.630909145226422,2.08265249726936,1.95754493915938,6.74906245922822,5.17991918477553,0.5,0.375631443538026,34
"Fold_7",0.733609673594032,0.562525995218977,1.69024883270788,2.49431325056272,5.31913861621908,8.19213818900984,0.5,0.335339649724632,33
"Fold_8",0.763792861890183,0.659687755286642,1.47986364532207,2.16790111092083,5.85358391792001,6.31639143442636,0.5,0.236005257256158,58
"Fold_9",0.745963463783535,0.550975111165323,1.67779685981373,2.23379510482364,6.12464655623324,6.11440955064041,0.5,0.322356484900756,37
"Fold_10",0.788070215346307,0.477272369126204,1.38915275295918,2.83409857859027,5.4279321446779,7.48649391646205,0.5,0.278930187929682,43
"Fold_11",0.727213154955169,0.537330615807434,1.85663431583117,2.12450959285113,6.72312456793047,4.75338186850822,0.5,0.373822547313774,31
"Fold_12",0.66916860178316,0.532109610195908,1.98469568143056,2.66247582697599,5.45134689309979,8.68840071910956,0.5,0.434933347347518,16
"Fold_13",0.718213859045068,0.501942169507471,1.78878424076093,2.55079985598613,4.99559540928317,9.39728490505177,0.5,0.377006711271677,26
"Fold_14",0.738680216194188,0.51511253754836,1.68465576460489,2.43779574387272,5.22668364740328,8.4823114190108,0.5,0.345601404023829,36
"Fold_15",0.59196847052195,0.396228679981901,2.41810203646254,2.68291181259486,6.02901647450633,7.81901987126519,0.5,0.654058004040075,9
"Fold_16",0.689973949109805,0.563482359264668,2.04813252034909,2.00940943221673,6.63766851557488,5.31036072106332,0.5,0.398172599393593,26
"Fold_17",0.759419762408382,0.483848887051855,1.63393652584383,2.1143343315569,6.82488260507794,4.02619686390569,0.5,0.292043309762826,39
"Fold_18",0.664114301124725,0.556383718818916,2.06384367354303,2.34098007397599,6.03766544295777,7.09699270664486,0.5,0.439025456639272,17
"Fold_19",0.674519233200994,0.491587636475553,2.10754198304711,2.22302842972946,7.11824794655058,4.58481337327761,0.5,0.454203352057055,20
"Fold_20",0.682695815801683,0.475408576833131,2.03294758040779,2.40039056272512,6.90758482960801,4.9245067543545,0.5,0.461146998524985,16
"Fold_21",0.67753718148278,0.494930384989532,2.03535057362901,2.68185829786149,5.58765812614893,8.34087518993534,0.5,0.499688006205529,18
"Fold_22",0.783468084806524,0.409350108243033,1.45963627002111,2.73959136356083,5.49196188450733,7.60820351870312,0.5,0.308524620772085,40
"Fold_23",0.817054136131465,0.531309073433033,1.33936568724991,1.96622252834069,6.29543601137109,4.73818450968841,0.5,0.229298370068178,63
"Fold_24",0.628363839018287,0.522759385738579,2.18445061314528,2.562224762008,6.76189421395729,5.74116341198848,0.5,0.473909338086893,21
"Fold_25",0.712065567629233,0.48068919801022,1.85792169499649,2.43712182170282,5.64847353215538,7.52665235995214,0.5,0.408208464080202,21
"Fold_26",0.704791362131797,0.421220770427352,1.99345731126259,2.32827052917332,6.86792495038349,5.01717585708672,0.5,0.457035661261985,20
"Fold_27",0.708756613962161,0.524885252495951,1.95425226429268,2.03939806836086,7.09928261560745,4.0859577482529,0.5,0.382550431139887,26
"Fold_28",0.678692351662764,0.611630172320821,2.03550280236179,2.28505152564255,6.00497957251783,7.02648714737799,0.5,0.410210644654311,26
"Fold_29",0.698325221252543,0.536909448770236,1.83997317940012,2.63578819749516,6.30043031872601,6.29248006717378,0.5,0.397097139545159,20
"Fold_30",0.619669180652647,0.518435356841035,2.34847301516173,2.52078833028191,6.20839492973727,7.27558161582607,0.5,0.577917456533078,13
"Fold_31",0.671531245440007,0.452085394852558,2.15591715141358,2.38863935343721,6.36792047185838,6.52158927545163,0.5,0.513188655547632,16
"Fold_32",0.684583881924489,0.579394670629584,1.93754646640371,2.40216913311953,6.5296109531969,5.76498672587525,0.5,0.391333393798133,23
"Fold_33",0.717969544636284,0.457578757722832,1.85969172225873,2.4662723120981,6.53536932559476,5.56081237252271,0.5,0.422862080786263,22
"Fold_34",0.719557277481503,0.58467832710078,1.77238439594096,2.30740729103389,6.13852266021069,6.16904327126955,0.5,0.331586630013669,29
"Fold_35",0.61985734522945,0.604760941771942,2.37128903395337,2.43168589127971,6.91675412295385,5.54607611419842,0.5,0.570864376650969,13
"Fold_36",0.712201409538216,0.456362113962319,1.86313596478327,2.51861179783147,6.02354291197309,7.01701181522061,0.5,0.400117932266758,26
"Fold_37",0.701848468351963,0.420799629044478,1.821135217932,2.80598357182267,5.1263076961519,9.22551566422969,0.5,0.411074151247806,21
"Fold_38",0.777090108807676,0.575019253928739,1.50360427461318,2.06449275777494,6.49216078777446,4.66537537351201,0.5,0.256082166660012,50
"Fold_39",0.638549993426641,0.455230119171997,2.10105426330024,2.68854224902497,6.16051944862285,7.03866397698307,0.5,0.452753955629317,18
"Fold_40",0.655931593928856,0.491678243926867,2.18552311647506,2.42472758907884,6.0390486911365,7.33447170988025,0.5,0.509950372995865,16
"Fold_41",0.709569577000001,0.470694137576056,1.80215288823761,2.69282161856884,5.11191532003596,9.08166585798186,0.5,0.399487041399336,24
"Fold_42",0.653056941650005,0.565838597892233,2.16109937711175,2.3136391233383,6.75460018369845,5.47560976783027,0.5,0.469265598184493,20
"Fold_43",0.699520686598285,0.593183087641143,1.94524689311727,2.1316571527931,6.37751359036058,5.80877659769093,0.5,0.381179164389148,35
"Fold_44",0.711832838266043,0.451941057469846,1.80966480991023,2.51547273423249,6.9009777276967,4.62739030181484,0.5,0.359575364125461,31
"Fold_45",0.720902563446464,0.599084666531371,1.94112494352295,1.89491713030071,6.88183737265302,4.56287946824004,0.5,0.373697044011934,38
"Fold_46",0.631895119296611,0.643821091242217,2.2516341755946,2.32406431844815,6.33189304082013,6.67688848569651,0.5,0.486351187219564,18
"Fold_47",0.62031413924682,0.568785062702023,2.43491974636304,2.09027469944011,7.31602398767519,4.27222369922006,0.5,0.54955076374836,16
"Fold_48",0.636214186663364,0.516858521092741,2.14665499359237,2.80396804764669,5.31049014237602,9.32624582899085,0.5,0.533575203484026,13
"Fold_49",0.664044635858451,0.491180312904047,2.12484163392622,2.47743240319956,5.22572988614694,9.25029381123385,0.5,0.491006478997237,17
"Fold_50",0.729727642016404,0.537215014771186,1.78768925094833,2.1397875802728,6.44224512811014,5.52954994269299,0.5,0.329284888688813,33
"Fold_51",0.680384431685463,0.511859312085203,2.10377904323575,2.06753209471254,6.93620005687073,4.79666344227292,0.5,0.423782318609338,21
"Fold_52",0.693796764241227,0.497586311601283,1.96380747788268,2.27565117469911,6.44282516805623,5.8496535559579,0.5,0.40477902737051,27
"Fold_53",0.657796460155813,0.59884583972108,2.09617071475794,2.3951389844089,5.93365281819237,7.44495379028558,0.5,0.466711625479712,21
"Fold_54",0.659952589367449,0.567361795637833,2.13171088060325,2.33495198624781,5.71294597073635,8.08877766128539,0.5,0.457819631548384,18
"Fold_55",0.665257164619036,0.569898578343533,2.10715185304632,2.28800155801275,6.77959012986368,5.19530459790625,0.5,0.442346806794195,21
"Fold_56",0.749513050914434,0.565362047591803,1.62638218152408,2.40957008369837,5.32435474926699,8.13021688421967,0.5,0.330985701003039,31
"Fold_57",0.818973477537574,0.605152504716719,1.23431893865288,2.13274440526729,5.60645404864114,6.1930028998322,0.5,0.204379234494079,53
"Fold_58",0.653728818716065,0.438512289798266,2.20351890482547,2.70400290467855,5.64194360992536,8.48268405403786,0.5,0.587499384028751,12
"Fold_59",0.591010423245014,0.599186352750082,2.52310469740718,2.21593176965119,6.89548456923596,5.67352617038225,0.5,0.571097493211686,12
"Fold_60",0.637904191139784,0.484044360839655,2.28121479141651,2.38095387508185,7.0499366509449,4.9415835827026,0.5,0.528869490633268,13
"Fold_61",0.724519403507972,0.50116108852739,1.83301622068292,2.2953056278458,6.58969190457695,5.18450844121601,0.5,0.374823549042812,32
"Fold_62",0.576659055723665,0.498903951929288,2.45600600907933,2.52896441151557,7.08201724882777,5.30321938282064,0.5,0.545298255281389,12
"Fold_63",0.664395723070773,0.499266523218714,2.09816558649825,2.73907460012629,6.72121079730955,5.62029030854128,0.5,0.514752484600658,19
"Fold_64",0.666170372629915,0.568852203198268,2.06934770713507,2.4512254137964,6.08456507333146,7.08009318739031,0.5,0.452081228584022,18
"Fold_65",0.736495998757373,0.501334996425219,1.71931177360225,2.39686677994479,5.9009470560925,6.60663971931737,0.5,0.320934932878941,38
"Fold_66",0.806962018478418,0.531052330998987,1.3468190300438,2.28516146273384,4.47120550671159,9.44993149602441,0.5,0.238290501724715,65
"Fold_67",0.59273818598455,0.427758968933262,2.59292747132941,2.43380532532052,7.09338403464942,5.32334965745927,0.5,0.738169319988794,11
"Fold_68",0.819931236079186,0.532945157406663,1.25604399016486,2.08432523333781,6.24408129673922,4.62378246290739,0.5,0.198335646904068,66
"Fold_69",0.636376453811818,0.405892078887662,2.30382269957051,2.47437213933795,6.87012699795713,5.49783652520548,0.5,0.593755921457276,13
"Fold_70",0.716743760549908,0.40130877887601,1.74536735749107,2.8387925829677,5.63065024798076,7.7315282764208,0.5,0.396319089977274,22
"Fold_71",0.696651237611015,0.503723250909212,2.00565336602728,2.36320280466715,6.92567094708548,4.79983695005531,0.5,0.467141461194681,18
"Fold_72",0.674075415252967,0.577813790175098,2.0207570238369,2.41450603418941,6.26187514126863,6.46630930517804,0.5,0.448948776830663,18
"Fold_73",0.650601434137829,0.47759409462374,2.20557481841384,2.4963681790443,6.87046700694306,5.34688516421483,0.5,0.528595915136601,13
"Fold_74",0.759372272801357,0.555208672410987,1.62753693749749,2.20166883303275,6.25957448357191,5.50703965660956,0.5,0.309346731990035,44
"Fold_75",0.743089199193654,0.564912023499415,1.63403140321375,2.33576831122052,6.0671288773394,6.11403235892422,0.5,0.295164579952174,37
"Fold_76",0.78367238024246,0.591867106264047,1.45841397796364,2.04158265573881,5.09354023105939,8.22341234853695,0.5,0.240654293585239,49
"Fold_77",0.66550037362928,0.577951490605315,2.1699863718424,2.12909123607273,6.65086037544984,5.62297469555587,0.5,0.449081144909836,17
"Fold_78",0.649426975489402,0.564025444941182,2.29009059770414,2.19484655818488,6.95639704936865,5.16189074868005,0.5,0.514678317217411,14
