"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",NA,NA,3.18084508788425,3.12290179334312,7.76746289874194,4.64770277866259,1,0.403373207381355,0
"Fold_2",NA,NA,3.11695161297325,3.27562102226716,6.16693601827175,8.50787384968324,1,0.379243637383547,0
"Fold_3",NA,NA,3.31617564405615,2.79366528234628,7.21964597554161,5.96959536052479,1,0.385176992962519,0
"Fold_4",NA,NA,3.13829862053514,3.22326117329903,6.41455500462574,7.91081092809646,1,0.42014293266312,0
"Fold_5",NA,NA,3.18341096786487,3.11312846006121,6.63141433376965,7.38541897626828,1,0.444854235063674,0
"Fold_6",NA,NA,3.24923694231101,2.95531585715427,7.33922000021988,5.6802936051948,1,0.400804844628457,0
"Fold_7",NA,NA,3.00962917656199,3.53173393562993,6.14337426608149,8.56123097312115,1,0.365444016778283,0
"Fold_8",NA,NA,3.05005153792631,3.43404301169668,6.84511209735051,6.87066172101458,1,0.427054535679556,0
"Fold_9",NA,NA,3.1655067871303,3.15736800482377,6.97366588280472,6.55917387027637,1,0.506643519651779,0
"Fold_10",NA,NA,2.97138502919123,3.62737453553768,6.49671279861797,7.70532485995999,1,0.389392992451222,0
"Fold_11",NA,NA,3.28621683328918,2.86642571780256,7.57515701999154,5.11655795933533,1,0.422225263495067,0
"Fold_12",NA,NA,3.03661789073263,3.46693421754409,5.98452827547672,8.94380817020833,1,0.363621770826811,0
"Fold_13",NA,NA,3.1105979278491,3.293090070789,5.6892785471861,9.65926288080055,1,0.443616748688769,0
"Fold_14",NA,NA,3.1085539568947,3.29419375690462,6.05685574061738,8.77050163213702,1,0.355899271624942,0
"Fold_15",NA,NA,3.20479723482569,3.06314769801851,6.36365180720587,8.03315146288312,1,0.504756900544635,0
"Fold_16",NA,NA,3.31244888291693,2.80263510823614,7.31238927590677,5.74687572182807,1,0.393279918276876,0
"Fold_17",NA,NA,3.33100147864028,2.76280759234526,7.88442534354416,4.36595605286409,1,0.39638404642302,0
"Fold_18",NA,NA,3.17890791422941,3.12489420541075,6.56450062362254,7.54896207827508,1,0.452362772597084,0
"Fold_19",NA,NA,3.29070222617383,2.8565643875682,7.66357976630426,4.89861832326199,1,0.417214479340887,0
"Fold_20",NA,NA,3.22133786704757,3.0227160540764,7.51644143038315,5.25348250256119,1,0.415138638936045,0
"Fold_21",NA,NA,3.06427221684687,3.39981378665251,6.13221068453632,8.58671796594093,1,0.371869577503271,0
"Fold_22",NA,NA,3.12834039266122,3.24718755926627,6.42024238966282,7.89045527110918,1,0.41414527644413,0
"Fold_23",NA,NA,3.33979343483529,2.73683743342259,7.66911032318909,4.88851743119941,1,0.380645284747435,0
"Fold_24",NA,NA,3.167592583863,3.15495018444759,7.18518911015274,6.04875649435837,1,0.426721455356193,0
"Fold_25",NA,NA,3.19497009970904,3.08532045618049,6.39303820322006,7.95908616480622,1,0.464066202387428,0
"Fold_26",NA,NA,3.30969104629772,2.80926306803731,7.50029648640556,5.29459946918085,1,0.420001404232344,0
"Fold_27",NA,NA,3.33663381129624,2.7452082353955,7.82516722428131,4.51071111732021,1,0.498208845965156,0
"Fold_28",NA,NA,3.12441754988006,3.25550358448823,6.58104708041379,7.50802425118956,1,0.35674045800911,0
"Fold_29",NA,NA,3.02993446302264,3.48288408788938,6.91942355941386,6.69063702817482,1,0.443389456032564,0
"Fold_30",NA,NA,3.17230620028187,3.14035295604735,6.55518385745914,7.5704714460136,1,0.407567506310418,0
"Fold_31",NA,NA,3.25953648338557,2.93052216118201,6.88136685636003,6.78575701318786,1,0.465118702132915,0
"Fold_32",NA,NA,3.0898641954727,3.34025216073912,7.10540430712186,6.24136906756841,1,0.452493613070116,0
"Fold_33",NA,NA,3.19153546670644,3.0937611025415,7.25250282355091,5.88973357340719,1,0.450748303700022,0
"Fold_34",NA,NA,3.11029488230639,3.29109811597557,6.9446264000295,6.6282365777669,1,0.46176989419363,0
"Fold_35",NA,NA,3.16451526301225,3.15861137149375,7.2692908438047,5.85000686031678,1,0.410172539941992,0
"Fold_36",NA,NA,3.17807481503502,3.12763439826983,6.61441637125242,7.43001252030366,1,0.383795316019046,0
"Fold_37",NA,NA,3.07471444657984,3.37692856422156,5.80035523434598,9.3895879662748,1,0.402424271443639,0
"Fold_38",NA,NA,3.23548970677952,2.98954950133907,7.58810119915913,5.0801198665411,1,0.430006963579078,0
"Fold_39",NA,NA,3.09063655097804,3.33787467468029,6.6770623192327,7.2790478698534,1,0.39866637295926,0
"Fold_40",NA,NA,3.21536532059491,3.04070294631941,6.53117266926553,7.63321813443907,1,0.395118443335998,0
"Fold_41",NA,NA,3.08652271045344,3.34834867803992,5.80857617023331,9.36960635228677,1,0.371169301942422,0
"Fold_42",NA,NA,3.17257741936409,3.13976308976728,7.2403371397281,5.91825317949599,1,0.391529920791378,0
"Fold_43",NA,NA,3.19463620234578,3.08611480313635,7.04296478570149,6.39507610268836,1,0.401768024594354,0
"Fold_44",NA,NA,3.19553623188484,3.08705137561651,7.63432606584573,4.96820298077732,1,0.390600769810581,0
"Fold_45",NA,NA,3.29469453986826,2.84583570532581,7.67201184623349,4.87966952712736,1,0.365057956360809,0
"Fold_46",NA,NA,3.0986388237823,3.317110692238,6.75792571565035,7.08098982883093,1,0.360532125974696,0
"Fold_47",NA,NA,3.33597112849809,2.74621719821777,7.79382033180826,4.58920890641813,1,0.462069036027276,0
"Fold_48",NA,NA,3.00324798609114,3.55219840544804,5.69392604605416,9.64869420000565,1,0.4197320063661,0
"Fold_49",NA,NA,3.19242970005962,3.09943164059201,5.72153312526337,9.58390816835617,1,0.38343532199561,0
"Fold_50",NA,NA,3.25037197747541,2.95211456333956,7.23034326668797,5.9432684967759,1,0.450592297852805,0
"Fold_51",NA,NA,3.32014362437904,2.78429321505122,7.58095973671735,5.0993963011799,1,0.369262507153297,0
"Fold_52",NA,NA,3.23706263724957,2.98417580703138,7.08696089568627,6.28997888869834,1,0.382145211556,0
"Fold_53",NA,NA,3.10476405360975,3.30344904544619,6.4460979773696,7.83412857190053,1,0.431568006867407,0
"Fold_54",NA,NA,3.14180525124716,3.21536784942145,6.15246684404075,8.54217164263326,1,0.361139958941141,0
"Fold_55",NA,NA,3.15786219836634,3.17648695545737,7.32411432762518,5.71520971862443,1,0.407094239657452,0
"Fold_56",NA,NA,3.0638872547894,3.40142844533554,6.13593006197503,8.57974563956466,1,0.388175902869663,0
"Fold_57",NA,NA,3.09586920980213,3.32470945296679,7.05399912336583,6.36612948241062,1,0.449259101277838,0
