Region,Weight_Column,Index,Spearman_rho,p_value,p_value_FDR_corrected_GLOBAL
exon,Average_Weight_exon,Shift_z,0.03352037865848912,0.5934443262530498,0.7808477977013814
exon,Average_Weight_exon,Slide_z,-0.02999465765107922,0.6328826747074978,0.7893835366206403
exon,Average_Weight_exon,Rise_z,-0.019529459628853902,0.7558220306509609,0.8661943088690739
exon,Average_Weight_exon,Tilt_z,0.14745133308916375,0.01824573167398926,0.11781913359922601
exon,Average_Weight_exon,Roll_z,-0.03789465419660411,0.546133478143306,0.7447274701954173
exon,Average_Weight_exon,Twist_z,0.005390518393406048,0.9316040747346374,0.9675864836257579
exon,Average_Weight_exon,A_philicity_energy_z,-0.1474180990694932,0.01827221190242187,0.11781913359922601
exon,Average_Weight_exon,DNA_bendability_z,-0.10599570578244459,0.09056925317700039,0.26125746108750114
exon,Average_Weight_exon,X_Displacement_z,-0.08233898858691863,0.18911303124890053,0.41716109834316295
exon,Average_Weight_exon,Y_Displacement_z,-0.1047296546771218,0.09450948629878568,0.2674796782041104
exon,Average_Weight_exon,Inclination_z,-0.20349314087376008,0.001059304408165177,0.013581388012627699
exon,Average_Weight_exon,Tip_z,0.031531724756596595,0.6155525009596252,0.7858150275422532
exon,Average_Weight_exon,Shear_z,0.025265532061312986,0.6874379175417638,0.8315781260585852
exon,Average_Weight_exon,Stretch_z,0.18544767961238712,0.002896434048074469,0.028964340480744692
exon,Average_Weight_exon,Stagger_z,-0.006714605335082927,0.9148610706251548,0.9675864836257579
exon,Average_Weight_exon,Buckle_z,-0.08178033125380858,0.19214238106535986,0.4177008284029562
exon,Average_Weight_exon,Propel_z,-0.03233486998559698,0.6065804478867448,0.7853747328765244
exon,Average_Weight_exon,Opening_z,0.01504812811633627,0.8106362297889902,0.9056097961617694
exon,Average_Weight_exon,Alpha_z,0.12712368085632458,0.042125588482694876,0.17849455894644134
exon,Average_Weight_exon,Beta_z,0.09910197608801144,0.11370254398657219,0.29921722101729525
exon,Average_Weight_exon,Gamma_z,0.01986188049175649,0.7518005518328166,0.8661943088690739
exon,Average_Weight_exon,Delta_z,-0.12249929978260456,0.05025625313795313,0.1980912710808694
exon,Average_Weight_exon,Epsilon_z,-0.13842966862338865,0.026780051339982264,0.13851750693094275
exon,Average_Weight_exon,Zeta_z,-0.09443318236371417,0.13183473264750106,0.3189549983407284
exon,Average_Weight_exon,Chi_z,0.1405716692922888,0.024492141519188864,0.13606745288438257
exon,Average_Weight_exon,Phase_z,-0.04262013779725445,0.49720530601617596,0.697016784134826
exon,Average_Weight_exon,Amplitude_z,-0.15639694523859957,0.012226377977936244,0.09169783483452183
exon,Average_Weight_exon,Hydrogen_bond_z,0.04403414293458337,0.4830292844031733,0.697016784134826
exon,Average_Weight_exon,Stacking_energy_z,-0.0388567808016947,0.5359824019627571,0.7375904614166383
exon,Average_Weight_exon,Solvation_z,-0.0610158603693886,0.3308603129161113,0.6203630867177087
