phylotree_tip_name,Assembly.Identifier,Phylum,Class,Order,Family,Genus,Organism.Name,ln_Genome_size,eigenvector_1,eigenvector_2,eigenvector_3,eigenvector_4,eigenvector_5,eigenvector_6,eigenvector_7,eigenvector_8,eigenvector_9,eigenvector_10,eigenvector_11,eigenvector_12,Average_lifespan_days
Onchidella_celtica_ott162894,GCA_963931925.1_xgOncCelt3.1,Mollusca,Gastropoda,Systellommatophora,Onchidiidae,Onchidella,Onchidella celtica,20.85519716,0,0,0,0,0,0,0,0,0,0,0,0,1095
Platydemus_manokwari_ott1048970,GCA_037951405.1_ASM3795140v1,Platyhelminthes,Rhabditophora,Tricladida,Geoplanidae,Platydemus,Platydemus manokwari,20.63024012,-0.061746492,0.006303958,0.000909173,3.85E-05,0.000359641,8.12E-05,0.000187279,-0.000212416,-0.000436147,-0.000122908,-0.077765646,0.114390506,730
Macrostomum_hystrix_ott264325,GCA_950097015.1_Machtx_SR1_v2,Platyhelminthes,Turbellaria,Macrostomida,Macrostomidae,Macrostomum,Macrostomum hystrix,19.21119676,-0.061747561,0.006304261,0.000909246,3.85E-05,0.000359707,8.13E-05,0.000187381,-0.000212593,-0.000436525,-0.000123044,-0.077853907,0.114539231,100
Macrostomum_lignano_ott735030,GCA_002269645.1_Mlig_3_7,Platyhelminthes,Turbellaria,Macrostomida,Macrostomidae,Macrostomum,Macrostomum lignano,20.45461587,-0.061747561,0.006304261,0.000909246,3.85E-05,0.000359707,8.13E-05,0.000187381,-0.000212593,-0.000436525,-0.000123044,-0.077853907,0.114539231,627.2916667
Gyrodactylus_salaris_ott975572,GCA_000715275.1_Gsalaris_v1,Platyhelminthes,Monogenea,Gyrodactylidea,Gyrodactylidae,Gyrodactylus,Gyrodactylus salaris,18.02586859,-0.061742946,0.006302954,0.000908929,3.85E-05,0.000359419,8.11E-05,0.00018694,-0.000211825,-0.000434884,-0.000122451,-0.077470314,0.113892208,58
Protopolystoma_xenopodis_ott825123,GCA_900617795.1_P_xenopodis_South_Africa_001_upd,Platyhelminthes,Monogenea,Polystomatidea,Polystomatidae,Protopolystoma,Protopolystoma xenopodis,20.24093803,-0.061742946,0.006302954,0.000908929,3.85E-05,0.000359419,8.11E-05,0.00018694,-0.000211825,-0.000434884,-0.000122451,-0.077470314,0.113892208,609.3333333
Moniezia_expansa_ott416825,GCA_019097775.1_ASM1909777v1,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Moniezia,Moniezia expansa,18.77292721,-0.061789761,0.006316226,0.000912151,3.87E-05,0.000362363,8.25E-05,0.00019151,-0.000219886,-0.000452129,-0.000128754,-0.081547712,0.120819276,346.9875
Taenia_asiatica_ott614168,GCA_001693035.2_Taenia_asiatica_TASYD01_v1,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia,Taenia asiatica,18.94350914,-0.061791199,0.006316634,0.00091225,3.87E-05,0.000362453,8.26E-05,0.000191649,-0.000220132,-0.000452655,-0.000128946,-0.081672048,0.121030289,10054.4125
Taenia_hydatigena_ott1004844,GCA_036345935.2_Thy_genome_v2.1_HiC,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia,Taenia hydatigena,19.54751164,-0.061791199,0.006316634,0.00091225,3.87E-05,0.000362453,8.26E-05,0.000191649,-0.000220132,-0.000452655,-0.000128946,-0.081672048,0.121030289,545.3022321
Taenia_solium_ott1021812,GCA_001870725.1_MEX_genome.1-6-13,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia,Taenia solium,18.68158987,-0.061791199,0.006316634,0.00091225,3.87E-05,0.000362453,8.26E-05,0.000191649,-0.000220132,-0.000452655,-0.000128946,-0.081672048,0.121030289,4719.2
