phylotree_tip_name,Assembly.Identifier,Phylum,Class,Order,Family,Genus,Organism.Name,ln_Genome_size,eigenvector_1,eigenvector_2,eigenvector_3,eigenvector_4,eigenvector_5,eigenvector_6,eigenvector_7,eigenvector_8,eigenvector_9,eigenvector_10,eigenvector_11,eigenvector_12,Lifespan,log_lifespan
Angiostrongylus_costaricensis_ott575729,GCA_900624975.1_A_costaricensis_Costa_Rica_0011_upd,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Angiostrongylus,Angiostrongylus costaricensis,19.386838,-0.007960414,-0.087170512,0.085959427,0.001107834,0.010353784,-0.004958342,-0.001978097,5.45087e-4,9.60798e-4,3.15e-5,8.97e-5,-1.02511e-4,183.45,5.211942150801291
Dirofilaria_repens_ott232965,GCA_008729115.1_FGCZ_Drep_1.0,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Dirofilaria,Dirofilaria repens,18.41645812,-0.007957896,-0.087093972,0.085832477,0.001105182,0.010318529,-0.004923528,-0.001958156,5.36589e-4,9.45202e-4,3.08e-5,8.78e-5,-1e-4,2653.2,7.883521737651401
Nippostrongylus_brasiliensis_ott369898,GCA_030553155.1_ASM3055315v1,Nematoda,Chromadorea,Rhabditida,Heligmosomidae,Nippostrongylus,Nippostrongylus brasiliensis,19.36610825,-0.007960477,-0.087172432,0.085962608,0.001107901,0.010354665,-0.004959207,-0.00197859,5.45295e-4,9.6118e-4,3.15e-5,8.98e-5,-1.02572e-4,323.9166667,5.78048628116713
Caenorhabditis_brenneri_ott90647,GCA_964036135.1_CAEBRE_CFB2252,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis brenneri,18.6556727,-0.007960369,-0.087169141,0.085957155,0.001107787,0.010353155,-0.004957724,-0.001977744,5.44938e-4,9.60524e-4,3.15e-5,8.97e-5,-1.02468e-4,43,3.7612001156935624
Ancylostoma_caninum_ott936408,GCA_037903475.1_UNMC_Acan_hybrid,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,Ancylostoma,Ancylostoma caninum,19.66777121,-0.007960463,-0.087171989,0.085961875,0.001107885,0.010354462,-0.004959008,-0.001978476,5.45247e-4,9.61091e-4,3.15e-5,8.97e-5,-1.02558e-4,815.75,6.70410793547343
Teladorsagia_circumcincta_ott428054,GCA_002352805.1_T_circumcincta.14.0.ec.cg.pg,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Teladorsagia,Teladorsagia circumcincta,20.36745789,-0.007960488,-0.087172741,0.08596312,0.001107911,0.010354807,-0.004959346,-0.001978669,5.45329e-4,9.61241e-4,3.15e-5,8.98e-5,-1.02582e-4,291.4375,5.67482557456854
Caenorhabditis_nigoni_ott5701061,GCA_027920645.1_ASM2792064v1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis nigoni,18.67150861,-0.007960368,-0.087169111,0.085957105,0.001107786,0.010353141,-0.004957711,-0.001977736,5.44935e-4,9.60518e-4,3.15e-5,8.97e-5,-1.02467e-4,18,2.8903717578961645
Dipetalonema_caudispina_ott5926603,GCA_013365325.1_Dcau_362YU_v1,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Dipetalonema,Dipetalonema caudispina,18.21716078,-0.007957871,-0.087093234,0.085831256,0.001105157,0.010318192,-0.004923198,-0.001957968,5.3651e-4,9.45057e-4,3.08e-5,8.78e-5,-1e-4,692.475,6.540272136326801
Trichinella_zimbabwensis_ott584335,GCA_001447665.1_T11_ISS1029_r1.0,Nematoda,Enoplea,Rhabditida,Trichinellidae,Trichinella,Trichinella zimbabwensis,17.74331073,-0.00793911,-0.086523718,0.08488777,0.001085482,0.010057167,-0.004667254,-0.001812241,4.75067e-4,8.32437e-4,2.61e-5,7.4e-5,-8.2e-5,60,4.0943445622221
Pelodera_strongyloides_dermatitica_ott434751,GCA_036852015.1_ASM3685201v1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Pelodera,Pelodera strongyloides,18.89148187,-0.007959808,-0.0871521,0.085928918,0.001107198,0.010345338,-0.00495005,-0.00197337,5.4309e-4,9.57137e-4,3.13e-5,8.93e-5,-1.01926e-4,15.5,2.740840023925201
