Assembly Identifier,Phylum,Class,Order,Family,Genus,Organism Name,Average_lifespan_days,Region,DNA_bendability,X_Displacement,Y_Displacement,Inclination,Tip,Shear,Stretch,Stagger,Buckle,Propel,Opening,Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Chi,Phase,Amplitude,Hydrogen_bond,Stacking_energy,Solvation,Shift,Slide,Rise,Tilt,Roll,Twist,A_philicity_energy
GCA_001447665.1_T11_ISS1029_r1.0,Nematoda,Enoplea,Rhabditida,Trichinellidae,Trichinella,Trichinella zimbabwensis,60.0,genome,-0.043344899,-0.9072771180195,-0.0981537549549999,3.8287697853722,0.2939955750255801,0.10095761,0.0237017899999999,0.0582780599999999,2.372512138000001,-10.156384022,2.1722475880000007,-71.84204017497997,169.59811548840003,54.96420047823997,134.37412665409997,-160.84204681370002,-112.18193884138,-111.64549287671998,150.09514389839998,41.57893065862,-13.189088029500002,-54.134712245500005,-348.8444390000002,-0.1444989000000001,-0.3155854800000003,3.320618350000001,-0.82149535,2.0403110280000005,34.55196496299999,0.7122885300000001
GCA_000715275.1_Gsalaris_v1,Platyhelminthes,Monogenea,Gyrodactylidea,Gyrodactylidae,Gyrodactylus,Gyrodactylus salaris,58.0,genome,-0.039489858,-0.9047262957979002,-0.07900353344378,3.837295049773,0.30351507545184,0.1011037,0.02433565,0.0615163,2.741532589,-10.182311382000002,2.1547046550000006,-71.85352483204001,169.4969074015,55.14793189112,134.3160131715,-161.2190432391,-112.35621575228,-111.04606883811,150.10867579130004,41.540509170729976,-13.258775118,-54.05259365850001,-348.4223155999999,-0.14804652,-0.3235652599999996,3.3243077799999976,-0.8242094879999998,2.065033873000001,34.558678662,0.6988635300000001
GCA_001887335.1_A_vulgare_v1,Arthropoda (Mandibulata),Crustacea,Isopoda,Armadillidiidae,Armadillidium,Armadillidium vulgare,730.0,genome,-0.0384893319999999,-0.9145567909471,-0.07530873524452,3.8174664162565,0.3151141576732999,0.1011656799999999,0.0241693099999999,0.0624674899999999,2.594060871,-10.162730772,2.1824157850000003,-71.83864201098001,169.48987677130003,55.180163115270005,134.2907325877,-161.2935428317,-112.40439735855,-110.86800606445998,150.0512181833,41.55939036759999,-13.192520626999992,-54.042262760999975,-348.5657644000001,-0.14074803,-0.3297046699999998,3.325154629999997,-0.8050479620000001,2.072082466000001,34.559326458999976,0.6954503400000001
GCA_000341325.1_Pred3,Nematoda,Chromadorea,Rhabditida,Panagrolaimidae,Panagrellus,Panagrellus redivivus,32.775,genome,-0.03569057,-0.9204045101179,-0.06788338008474,3.970127312117,0.2619163296355999,0.08752394,0.0230975699999999,0.06352637,2.4820640720000005,-9.700418192000004,1.910698826,-71.97826809130002,169.1364794236,55.0037326498,134.75962401220005,-160.7747924778,-112.41563052405002,-111.47155937083,150.77119022150006,41.49899472817,-13.861950986,-54.19993621350002,-348.07909559999985,-0.1419111499999999,-0.3070388899999999,3.3234135699999983,-0.7182065789999998,2.187940611,34.51424199200002,0.66378424
GCA_000002995.5_B_malayi-4.0,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Brugia,Brugia malayi,2677.305,genome,-0.049259143,-0.9000203080402,-0.09784942928172,3.7384395367025,0.3402833298126001,0.10674203,0.02413835,0.05675565,2.500981358,-10.455820341999996,2.2767006540000008,-71.78887844690003,169.77725088309995,55.02995263224,134.21205954389998,-161.14329451750004,-112.1873243073,-111.26982411289995,149.8882380025001,41.58532143061,-12.921031253499995,-54.05605667750001,-348.82192819999995,-0.14848772,-0.3237849899999998,3.32257755,-0.8485959079999998,1.9743044370000007,34.60110302100003,0.7247693500000002
GCA_000183805.3_Loa_loa_V3.1,Nematoda,Chromadorea,Monhysterida,Onchocercidae,Loa,Loa loa,4675.275,genome,-0.044304953,-0.9016643970765,-0.0925183167680199,3.771847687777899,0.3224151263213999,0.10365975,0.02422283,0.05815165,2.4927605929999994,-10.283898949,2.216816541,-71.82095923468002,169.6139240688,55.07920307209001,134.289084222,-161.13194701939992,-112.24303524834995,-111.23875158664003,150.03775146249998,41.56037832454,-13.085493862000002,-54.0737240515,-348.73881379999995,-0.1436603599999999,-0.32135914,3.32239626,-0.8080926629999996,2.0159286330000006,34.57946759399998,0.7126411800000001
GCA_000239435.1_ASM23943v1,Arthropoda (Chelicerata),Arachnida,Trombidiformes,Tetranychidae,Tetranychus,Tetranychus urticae,50.0,genome,-0.044290588,-0.8940043653909997,-0.09316994948532,3.8471539531353,0.3274471586372799,0.10232268,0.02387579,0.05845136,2.752257603999999,-10.351773540999996,2.196322237,-71.82524212093996,169.59275403659998,55.07665870747,134.25530046659998,-161.0044753191,-112.21844605988008,-111.56101487341004,149.9428346735,41.56154627805997,-13.172137692500002,-54.06280852600002,-348.5688919999999,-0.1547303599999999,-0.31969301,3.32154492,-0.8726581779999997,2.048432242,34.55496777100004,0.7118979899999999
GCA_000499405.2_ASM49940v2,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Onchocerca,Onchocerca volvulus,3872.925,genome,-0.049025269,-0.8956287629988996,-0.09401834356514,3.7526838359908,0.3324509426908601,0.10620023,0.02413037,0.0562964,2.590015626,-10.436633454000004,2.248865757000001,-71.80542289058002,169.73008077670002,55.04680757371999,134.25269240610004,-161.14027221069995,-112.19452998489996,-111.26787552754998,149.97661231869998,41.56425842134001,-12.981717769500005,-54.06015392149999,-348.7551955999997,-0.14708975,-0.3225441700000001,3.322631250000001,-0.8446639740000009,1.9731376120000004,34.59647993000001,0.7253871099999999
GCA_000988905.1_ASM98890v1,Arthropoda (Chelicerata),Arachnida,Sarcoptiformes,Camisiidae,Platynothrus,Platynothrus peltifer,421.0,genome,-0.0432536809999999,-0.8978855085415003,-0.10292947368914,3.7264360052073,0.2769164233578201,0.1057481699999999,0.0244531099999999,0.0595812899999999,2.480795258,-10.361372808999995,2.2767732790000004,-71.79183636890998,169.78764733330007,55.06387532685,134.16025554620003,-161.18063751119988,-112.19278902301002,-111.16889972526,149.84134269440003,41.56749654773999,-12.951560192,-54.06135375400002,-348.79633779999995,-0.1501717,-0.3220647699999999,3.3215937300000005,-0.8511549970000001,1.98480836,34.586802001999985,0.71930759
GCA_001014335.1_ASM101433v1,Arthropoda (Mandibulata),Insecta,Diptera,Scatopsidae,Coboldia,Coboldia fuscipes,26.41,genome,-0.044791058,-0.9089734097417996,-0.1103581755098799,3.7424422223921,0.28492508855454,0.1040383999999999,0.0249301,0.0555645799999999,2.2540626310000005,-10.200483957000005,2.241820485,-71.75383281272002,169.76373993769997,54.978790000340005,134.2284537598,-161.14408442279995,-112.18582108325,-111.21498262190002,149.9809048442,41.55159124100001,-13.036867232,-54.080891835,-348.9006348000001,-0.1408442799999998,-0.31556751,3.32000229,-0.7692163479999998,2.016144889000001,34.570567519,0.7114500700000003
GCA_000612645.2_T_muris_v2,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris,Trichuris muris,156.25,genome,-0.0287113729999999,-0.9264341510819002,-0.06350408821892,3.9728669621446,0.2334138200270399,0.08699315,0.0233104999999999,0.06742904,2.370258384,-9.550118409,1.9159644550000003,-71.99953973595001,168.9543346148,55.07333848307001,134.7940242918,-160.74373676690004,-112.41843774869,-111.45527316537,150.7972437372,41.515446525170006,-13.878535395500002,-54.22454730000002,-348.24342449999995,-0.13895774,-0.30724369,3.323511119999996,-0.7029680650000003,2.206772094,34.507299558,0.65833388
GCA_000001215.4_Release_6_plus_ISO1_MT,Arthropoda (Mandibulata),Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,69.64,genome,-0.033800392,-0.9317338637066,-0.0679024936409,3.9384490910651,0.24955575341926,0.08966667,0.0232650999999999,0.0644733399999999,2.365300302,-9.653153890000004,1.967165315,-71.94551927315003,169.16261240120005,55.03155123357,134.67722070269997,-160.86775615320002,-112.41796243968,-111.20420009353003,150.6326273676999,41.52138144368999,-13.699618542000003,-54.1694798545,-348.2652482000001,-0.13759394,-0.31480328,3.32333523,-0.734167407,2.1716494200000005,34.50939042499998,0.66675936
GCA_000469805.3_HMN_v3,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Hymenolepis,Hymenolepis microstoma,983.7,genome,-0.035752296,-0.9136247148305,-0.07813455707892,3.8603250558093993,0.2818790061016201,0.09704547,0.02405078,0.06336857,2.5497069860000003,-9.987224978,2.108913347,-71.87400253001,169.34956062929993,55.12788059143001,134.4132087118,-161.10421833729998,-112.37662252094998,-111.13865305104002,150.24066990939994,41.54000222148999,-13.393043821499996,-54.100013256,-348.4462987999999,-0.14426762,-0.3210734100000004,3.323217819999998,-0.7841148970000008,2.1181937440000023,34.52921412900002,0.68495868
