Region,Assembly Identifier,Phylum,Class,Order,Family,Genus,Organism Name,Average_lifespan_days,DNA_bendability,X_Displacement,Y_Displacement,Inclination,Tip,Shear,Stretch,Stagger,Buckle,Propel,Opening,Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Chi,Phase,Amplitude,Hydrogen_bond,Stacking_energy,Solvation,Shift,Slide,Rise,Tilt,Roll,Twist,A_philicity_energy
genome,GCA_001887335.1_A_vulgare_v1,Arthropoda (Mandibulata),Crustacea,Isopoda,Armadillidiidae,Armadillidium,Armadillidium vulgare,730,-0.038489332,-0.914556791,-0.075308735,3.817466416,0.315114158,0.10116568,0.02416931,0.06246749,2.594060871,-10.16273077,2.182415785,-71.83864201,169.4898768,55.18016312,134.2907326,-161.2935428,-112.4043974,-110.8680061,150.0512182,41.55939037,-13.19252063,-54.04226276,-348.5657644,-0.14074803,-0.32970467,3.32515463,-0.805047962,2.072082466,34.55932646,0.69545034
genome,GCA_001447665.1_T11_ISS1029_r1.0,Nematoda,Enoplea,Rhabditida,Trichinellidae,Trichinella,Trichinella zimbabwensis,60,-0.043344899,-0.907277118,-0.098153755,3.828769785,0.293995575,0.10095761,0.02370179,0.05827806,2.372512138,-10.15638402,2.172247588,-71.84204017,169.5981155,54.96420048,134.3741267,-160.8420468,-112.1819388,-111.6454929,150.0951439,41.57893066,-13.18908803,-54.13471225,-348.844439,-0.1444989,-0.31558548,3.32061835,-0.82149535,2.040311028,34.55196496,0.71228853
genome,GCA_000341325.1_Pred3,Nematoda,Chromadorea,Rhabditida,Panagrolaimidae,Panagrellus,Panagrellus redivivus,32.775,-0.03569057,-0.92040451,-0.06788338,3.970127312,0.26191633,0.08752394,0.02309757,0.06352637,2.482064072,-9.700418192,1.910698826,-71.97826809,169.1364794,55.00373265,134.759624,-160.7747925,-112.4156305,-111.4715594,150.7711902,41.49899473,-13.86195099,-54.19993621,-348.0790956,-0.14191115,-0.30703889,3.32341357,-0.718206579,2.187940611,34.51424199,0.66378424
genome,GCA_000715275.1_Gsalaris_v1,Platyhelminthes,Monogenea,Gyrodactylidea,Gyrodactylidae,Gyrodactylus,Gyrodactylus salaris,58,-0.039489858,-0.904726296,-0.079003533,3.83729505,0.303515075,0.1011037,0.02433565,0.0615163,2.741532589,-10.18231138,2.154704655,-71.85352483,169.4969074,55.14793189,134.3160132,-161.2190432,-112.3562158,-111.0460688,150.1086758,41.54050917,-13.25877512,-54.05259366,-348.4223156,-0.14804652,-0.32356526,3.32430778,-0.824209488,2.065033873,34.55867866,0.69886353
genome,GCA_000002995.5_B_malayi-4.0,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Brugia,Brugia malayi,2677.305,-0.049259143,-0.900020308,-0.097849429,3.738439537,0.34028333,0.10674203,0.02413835,0.05675565,2.500981358,-10.45582034,2.276700654,-71.78887845,169.7772509,55.02995263,134.2120595,-161.1432945,-112.1873243,-111.2698241,149.888238,41.58532143,-12.92103125,-54.05605668,-348.8219282,-0.14848772,-0.32378499,3.32257755,-0.848595908,1.974304437,34.60110302,0.72476935
genome,GCA_000239435.1_ASM23943v1,Arthropoda (Chelicerata),Arachnida,Trombidiformes,Tetranychidae,Tetranychus,Tetranychus urticae,50,-0.044290588,-0.894004365,-0.093169949,3.847153953,0.327447159,0.10232268,0.02387579,0.05845136,2.752257604,-10.35177354,2.196322237,-71.82524212,169.592754,55.07665871,134.2553005,-161.0044753,-112.2184461,-111.5610149,149.9428347,41.56154628,-13.17213769,-54.06280853,-348.568892,-0.15473036,-0.31969301,3.32154492,-0.872658178,2.048432242,34.55496777,0.71189799
genome,GCA_001014335.1_ASM101433v1,Arthropoda (Mandibulata),Insecta,Diptera,Scatopsidae,Coboldia,Coboldia fuscipes,26.41,-0.044791058,-0.90897341,-0.110358176,3.742442222,0.284925089,0.1040384,0.0249301,0.05556458,2.254062631,-10.20048396,2.241820485,-71.75383281,169.7637399,54.97879,134.2284538,-161.1440844,-112.1858211,-111.2149826,149.9809048,41.55159124,-13.03686723,-54.08089184,-348.9006348,-0.14084428,-0.31556751,3.32000229,-0.769216348,2.016144889,34.57056752,0.71145007
genome,GCA_000183805.3_Loa_loa_V3.1,Nematoda,Chromadorea,Monhysterida,Onchocercidae,Loa,Loa loa,4675.275,-0.044304953,-0.901664397,-0.092518317,3.771847688,0.322415126,0.10365975,0.02422283,0.05815165,2.492760593,-10.28389895,2.216816541,-71.82095923,169.6139241,55.07920307,134.2890842,-161.131947,-112.2430352,-111.2387516,150.0377515,41.56037832,-13.08549386,-54.07372405,-348.7388138,-0.14366036,-0.32135914,3.32239626,-0.808092663,2.015928633,34.57946759,0.71264118
genome,GCA_000988905.1_ASM98890v1,Arthropoda (Chelicerata),Arachnida,Sarcoptiformes,Camisiidae,Platynothrus,Platynothrus peltifer,421,-0.043253681,-0.897885509,-0.102929474,3.726436005,0.276916423,0.10574817,0.02445311,0.05958129,2.480795258,-10.36137281,2.276773279,-71.79183637,169.7876473,55.06387533,134.1602555,-161.1806375,-112.192789,-111.1688997,149.8413427,41.56749655,-12.95156019,-54.06135375,-348.7963378,-0.1501717,-0.32206477,3.32159373,-0.851154997,1.98480836,34.586802,0.71930759
genome,GCA_000499405.2_ASM49940v2,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Onchocerca,Onchocerca volvulus,3872.925,-0.049025269,-0.895628763,-0.094018344,3.752683836,0.332450943,0.10620023,0.02413037,0.0562964,2.590015626,-10.43663345,2.248865757,-71.80542289,169.7300808,55.04680757,134.2526924,-161.1402722,-112.19453,-111.2678755,149.9766123,41.56425842,-12.98171777,-54.06015392,-348.7551956,-0.14708975,-0.32254417,3.32263125,-0.844663974,1.973137612,34.59647993,0.72538711
