Assembly Identifier,Phylum,Class,Order,Family,Genus,Organism.Name,Lifespan,AA_Rate_downstream1,AA_Rate_downstream2,AA_Rate_exon,AA_Rate_genome,AA_Rate_intron,AA_Rate_upstream1,AA_Rate_upstream2,AC_Rate_downstream1,AC_Rate_downstream2,AC_Rate_exon,AC_Rate_genome,AC_Rate_intron,AC_Rate_upstream1,AC_Rate_upstream2,AG_Rate_downstream1,AG_Rate_downstream2,AG_Rate_exon,AG_Rate_genome,AG_Rate_intron,AG_Rate_upstream1,AG_Rate_upstream2,AT_Rate_downstream1,AT_Rate_downstream2,AT_Rate_exon,AT_Rate_genome,AT_Rate_intron,AT_Rate_upstream1,AT_Rate_upstream2,CA_Rate_downstream1,CA_Rate_downstream2,CA_Rate_exon,CA_Rate_genome,CA_Rate_intron,CA_Rate_upstream1,CA_Rate_upstream2,CC_Rate_downstream1,CC_Rate_downstream2,CC_Rate_exon,CC_Rate_genome,CC_Rate_intron,CC_Rate_upstream1,CC_Rate_upstream2,CG_Rate_downstream1,CG_Rate_downstream2,CG_Rate_exon,CG_Rate_genome,CG_Rate_intron,CG_Rate_upstream1,CG_Rate_upstream2,CT_Rate_downstream1,CT_Rate_downstream2,CT_Rate_exon,CT_Rate_genome,CT_Rate_intron,CT_Rate_upstream1,CT_Rate_upstream2,GA_Rate_downstream1,GA_Rate_downstream2,GA_Rate_exon,GA_Rate_genome,GA_Rate_intron,GA_Rate_upstream1,GA_Rate_upstream2,GC_Rate_downstream1,GC_Rate_downstream2,GC_Rate_exon,GC_Rate_genome,GC_Rate_intron,GC_Rate_upstream1,GC_Rate_upstream2,GG_Rate_downstream1,GG_Rate_downstream2,GG_Rate_exon,GG_Rate_genome,GG_Rate_intron,GG_Rate_upstream1,GG_Rate_upstream2,GT_Rate_downstream1,GT_Rate_downstream2,GT_Rate_exon,GT_Rate_genome,GT_Rate_intron,GT_Rate_upstream1,GT_Rate_upstream2,TA_Rate_downstream1,TA_Rate_downstream2,TA_Rate_exon,TA_Rate_genome,TA_Rate_intron,TA_Rate_upstream1,TA_Rate_upstream2,TC_Rate_downstream1,TC_Rate_downstream2,TC_Rate_exon,TC_Rate_genome,TC_Rate_intron,TC_Rate_upstream1,TC_Rate_upstream2,TG_Rate_downstream1,TG_Rate_downstream2,TG_Rate_exon,TG_Rate_genome,TG_Rate_intron,TG_Rate_upstream1,TG_Rate_upstream2,TT_Rate_downstream1,TT_Rate_downstream2,TT_Rate_exon,TT_Rate_genome,TT_Rate_intron,TT_Rate_upstream1,TT_Rate_upstream2,log_lifespan
GCA_900624975.1_A_costaricensis_Costa_Rica_0011_upd,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Angiostrongylus,Angiostrongylus costaricensis,183.45,0.0976367063034724,0.0809288377370724,0.0919556111990887,0.097071,0.0839995992916111,0.0793251974156496,0.0807325216687464,0.0546011687660163,0.0461514562057599,0.0547614870921154,0.057567,0.0519654349296796,0.0498110498584567,0.0496711746652726,0.0702886662237468,0.0508591343815853,0.065422537072771,0.05961,0.0582399634243267,0.0561703395684622,0.061110923746248,0.0756850568790422,0.0892094883017236,0.0763719508531964,0.079135,0.0803654213373686,0.0801920654485364,0.076921520353445,0.0636313099128171,0.0530677581455665,0.0629654371955659,0.06548,0.060314335430874,0.0570913868534044,0.057900239452295,0.0336393095874066,0.0282258064516129,0.033579964483192,0.039659,0.0378298728103912,0.0373769115117365,0.0344474048092813,0.0451778232749854,0.03036013400335,0.046680091603567,0.041283,0.0379470402963476,0.0376681249915344,0.0418603082526727,0.0520927962252383,0.0603960663532717,0.0569182080112269,0.059664,0.0604577607903311,0.0632542767747091,0.0600519375400492,0.0822339430260464,0.0534392392067866,0.0801795545259899,0.064943,0.0600301325647499,0.0577279930650557,0.0677346463862938,0.0450286767995878,0.0326700707840276,0.0483742289272145,0.043842,0.0412683303125746,0.0402484118706741,0.0411520690701831,0.0480251650780307,0.0320757010860755,0.0472664313297656,0.039708,0.0412301571015191,0.0391783716425794,0.0432093352669387,0.0586145648312611,0.073512724914897,0.0593572851509464,0.057801,0.0651877084908254,0.0688889189884733,0.068071903139860293,0.0561875449134272,0.0796658021289241,0.0525494964447146,0.065886,0.0702250277693561,0.0712931232984328,0.062277832113588,0.0601738234376906,0.0650497109201923,0.0629618326480688,0.065017,0.0654869158560927,0.0678595131994202,0.0690634379953458,0.0711428687646604,0.0784027665207759,0.0772478558949971,0.065695,0.0703004915738704,0.0729929973316718,0.0742234663249131,0.0858405759765704,0.1459853028583779,0.0834080275675792,0.097637,0.1151518080200813,0.1209213181812025,0.1115712792148662,5.211942150801291
GCA_008729115.1_FGCZ_Drep_1.0,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Dirofilaria,Dirofilaria repens,2653.2,0.1319351146937354,0.1259627359981163,0.1201321072510122,0.149298,0.1299441662841221,0.1185221534123025,0.1209132080153855,0.045093795093795,0.0324681359943986,0.0477474565313552,0.039345,0.0338173856725489,0.0349149952481815,0.039357280228302,0.0616261133502512,0.043069849865852,0.0578415818843785,0.044239,0.0469306580122627,0.0495679882726363,0.0548545195111359,0.0999527292630741,0.1264088630575813,0.1009497601143284,0.129645,0.1253981132545469,0.1243858352330254,0.1138408089831875,0.062360053739364,0.0480516020298781,0.0639780189866957,0.056668,0.049894488867063,0.0512451006578007,0.0541782989019169,0.0231626610936955,0.0144557559684984,0.0235993909285787,0.018161,0.0148805393344791,0.0165412973396028,0.0169861653948756,0.0328780414987311,0.0167483533574159,0.0357467930177957,0.019071,0.0163604530751246,0.0205166748451776,0.0279856070475835,0.0418968005174901,0.0467999677797123,0.044242743883766,0.044225,0.0454396237896467,0.044803746793299,0.0414107574911595,0.0786560183111907,0.0537087409922609,0.0766942988873388,0.056663,0.0535686961101443,0.0602269692094589,0.0684471741423165,0.0392222719808926,0.0233411199028434,0.0422011637007043,0.023966,0.0222605359894382,0.0254610506177363,0.0306036354612569,0.0369706921431059,0.0173927591099765,0.0385401425703494,0.018039,0.0175730304291972,0.0236969768496375,0.0317699609156895,0.049211325073394,0.0492350779792922,0.0516987648439892,0.039185,0.0473563500620967,0.0503568522463988,0.0534028165518952,0.0687291635567497,0.1000377968758713,0.0650296454455748,0.099897,0.1026705170223441,0.0972041915386574,0.0854209318195917,0.0520351296213365,0.0560633004727707,0.0536148729116336,0.056654,0.0556193129855202,0.0563820337782857,0.0537316210683044,0.0724610638403741,0.0663242228404662,0.0783084232195719,0.056504,0.0599047019177048,0.065904305209608,0.0697934115019542,0.1038090262228193,0.1799317177750652,0.0996748358229269,0.148441,0.1783814271937597,0.1602698287481909,0.1373038029654445,7.883521737651401
GCA_030553155.1_ASM3055315v1,Nematoda,Chromadorea,Rhabditida,Heligmosomidae,Nippostrongylus,Nippostrongylus brasiliensis,323.9166667,0.0888809353376282,0.0738469249132803,0.084104374221126793,0.095009,0.0861952326746444,0.0822843715140033,0.0802899009483111,0.0559930008748906,0.0443160685316345,0.0561728523987552,0.056351,0.0506035989494775,0.0484359632736849,0.0488993524050699,0.0694079906678332,0.0520911644838365,0.0674721694270974,0.059123,0.0565875043883462,0.053795734625311,0.0611390284757118,0.0680028632784538,0.0839367440878935,0.0675591943579996,0.073877,0.0764913734459728,0.0769510029769173,0.0728775109141508,0.064264694185954,0.0535551774621137,0.062954995347067,0.063764,0.0588309986429928,0.0564954224120291,0.0580593254988855,0.043121503751425,0.0327160738073569,0.0419924299913439,0.044838,0.0417210923496164,0.0406405322807411,0.0395283504134847,0.0587237201410429,0.0390931033118347,0.059918405424786,0.048193,0.0442314733015718,0.0453072297506914,0.0512206702805365,0.0535936795779315,0.0592331737427293,0.057666200213037,0.05902,0.0596283667404151,0.0609376959583891,0.0578219179888946,0.0864683581219014,0.0579735950091665,0.085965547410022,0.066492,0.0612303923516621,0.0597693714149928,0.0706880860997902,0.0532092579336673,0.0392843482504385,0.0565952133967338,0.048207,0.0447988720686258,0.0446867636090007,0.0481409673037101,0.0513799411437206,0.0348659307033856,0.0515431260747578,0.044865,0.042987804806359,0.0392675859246595,0.0468418206518155,0.0556616029056974,0.0742887666679856,0.0573958427610341,0.056346,0.0626092677640138,0.0660070363500749,0.0638230522692201,0.044592910734643,0.0685712024690381,0.0411047756961414,0.059095,0.0636201452192832,0.0626604796071261,0.0541552908901462,0.0661072668946684,0.068307416346826,0.0672899972384088,0.066419,0.0672893082367348,0.069677027571139,0.0701539192023107,0.0675256502028155,0.0801777918463709,0.0743645439545521,0.063729,0.0678188490669899,0.0714988217744011,0.0705627876917395,0.0730666242477266,0.1377425183661087,0.0679003320871363,0.094673,0.1153557199932937,0.121584960956838,0.1057980189662222,5.78048628116713
GCA_964036135.1_CAEBRE_CFB2252,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis brenneri,43,0.1112075736905204,0.106976137518192,0.1069125142732763,0.118788,0.1211036067650102,0.1159755119389581,0.1155161894054172,0.0541844088910937,0.0407296043056814,0.0554006818581274,0.050381,0.0480334006874691,0.0458636977520618,0.0490652443664434,0.0697011038075158,0.0424183760331713,0.0651687825841003,0.057254,0.0575881125934824,0.0463915758876236,0.0571548054049236,0.0747447186737773,0.0950311667627756,0.0771926720620912,0.081376,0.0827248066696916,0.0826780560373491,0.0805322656940911,0.0687502583819091,0.0558324408929895,0.0695790940296092,0.063761,0.0623187885395686,0.0590058066594911,0.0664920784001864,0.0407898907216779,0.0346472801164291,0.0402550042310588,0.038608,0.0366695936880796,0.039021848670364,0.0378289811951983,0.0492234762357545,0.0264093692506247,0.0492001727342883,0.032447,0.0333954645313555,0.0388984485867262,0.0407974387627084,0.0517590640373723,0.0585097619243759,0.0534463633263223,0.057304,0.0558534443642868,0.0577649502629107,0.0550432928626762,0.093775407554398,0.0548644863662575,0.090804227101358,0.07086,0.0691960919367632,0.0583750951208978,0.0703174809929593,0.0431187729959899,0.0245283796029326,0.0430171232757125,0.032218,0.0329123427814102,0.0360876689038644,0.0366429692802347,0.0476938553336916,0.025132493066425,0.0450366245578339,0.038602,0.0346633326913472,0.0274085296880034,0.0346617123818272,0.0468670332244684,0.0531070653815525,0.0498520002374514,0.050433,0.0503478150165991,0.0504432119670658,0.0488938553613908,0.0389157606074386,0.0673517862536727,0.0366850846735566,0.054392,0.0568294808726223,0.0576209834986665,0.0501964117997902,0.0708999958658894,0.0757681851882362,0.0735994729509045,0.070912,0.0706239125680206,0.0736218610103724,0.0766794408605099,0.0649193159425083,0.0634799681467446,0.0700959001214028,0.06381,0.061472019742705,0.0595679625960635,0.058189994995441,0.0734493640359943,0.1752134991899387,0.0737542819829058,0.118854,0.1262677865515879,0.1512747914195808,0.1219878382362014,3.7612001156935624
GCA_037903475.1_UNMC_Acan_hybrid,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,Ancylostoma,Ancylostoma caninum,815.75,0.0935966347277401,0.0759452790947023,0.0859858026104877,0.093365,0.085991708531234,0.0819973905517303,0.0810866672695095,0.0545039079743449,0.0435403237266021,0.0552844480114539,0.055607,0.0513993591691845,0.0483329242614098,0.0493534510599268,0.0747838279971956,0.0515430623554791,0.0694340386081845,0.060033,0.0576940420214974,0.0549534303910297,0.0607923938458358,0.0688634416140842,0.0858728087739468,0.0704711639147089,0.074823,0.0766482124872618,0.0769205926806267,0.0746534730206301,0.0664745137752849,0.0536422472258464,0.0659013652704195,0.067284,0.0633121378441784,0.0607342625725026,0.0625169549547222,0.0387681441666017,0.0315781994806939,0.0389905758324236,0.045466,0.0419978586000647,0.0393807081680898,0.0384053945821653,0.0479603230245903,0.0317784294221751,0.0499020678033174,0.043429,0.0405096055096353,0.0409567115784578,0.0430429783880843,0.0556853885902729,0.0617160351887974,0.0598120057536555,0.060064,0.0623508916209285,0.0640671222436087,0.0616579039154642,0.0860143855002466,0.0561741871310278,0.0836303165177489,0.065155,0.0610058620326613,0.0598558344421335,0.0679167043443438,0.0536599932486821,0.0380113937295733,0.055915838337398,0.049975,0.0473841349677896,0.0475255454651147,0.0474997093436333,0.0510373659473916,0.034174729689579,0.0504311906821016,0.045421,0.0422189511907812,0.0394969707147563,0.0456395085969694,0.0540365090493625,0.0725478291198925,0.055809124479492,0.055604,0.0595360829862,0.0620196096162044,0.0615610184599088,0.0476357404377969,0.0710945472865613,0.0446564147256231,0.058024,0.0614224219272996,0.0595522600147265,0.0544173308702897,0.0607229103373062,0.0656754208058286,0.063842677094982,0.065196,0.0673893394834021,0.0697252328480448,0.0703582178243402,0.07152501882579,0.0832116882613582,0.0776465592562044,0.067271,0.0697222338098842,0.0733939620984097,0.0732776995517432,0.0747318947833086,0.1434938187079355,0.0722864111017983,0.093283,0.1114171578179969,0.1210874423531539,0.1078205939724328,6.70410793547343
GCA_002352805.1_T_circumcincta.14.0.ec.cg.pg,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Teladorsagia,Teladorsagia circumcincta,291.4375,0.092806361316852,0.0769422327516001,0.0890615973733793,0.089293,0.0812807271435443,0.0805383172174917,0.0838549648061089,0.053605489360648,0.0438419965136392,0.0542252371051598,0.055316,0.050049941559228,0.0494660124116034,0.0497065011298407,0.0716019718100522,0.0526453940328041,0.0665990674229332,0.062156,0.0598687323227375,0.0568047337278106,0.0622970831926443,0.0707597413857167,0.0841235975474326,0.0725306573132713,0.069609,0.0707945050158092,0.0728243613797084,0.0737123711072439,0.0664990462979018,0.0555529381675741,0.0654363929303541,0.066888,0.0622878815353329,0.0612498195987877,0.0624334432871873,0.0389655428670514,0.0320570201710874,0.0376955157814171,0.048569,0.0450914499077939,0.0445518833886563,0.0373366925534401,0.0496668235527261,0.0342511391246407,0.0506336210363646,0.0462,0.0438675169584768,0.0452734882378409,0.0427781096594893,0.0544105625603804,0.061320913453449,0.0579972261560323,0.061825,0.0634170957379574,0.0632703131765045,0.0603296018285239,0.0841487279843444,0.0572086230220959,0.0821586745998279,0.066554,0.0620104412944092,0.0603622456342906,0.0694722215007402,0.0530357452500681,0.0406315831981639,0.0542605804597561,0.053387,0.051199535345493,0.0511762159041708,0.0471156593335238,0.0497287522603978,0.0361154671925373,0.0496440071076704,0.048977,0.0473329725220684,0.0432602107086159,0.0459663385366613,0.0548316777725482,0.0708511970063064,0.0569223006817611,0.055423,0.0610609379657053,0.062216770096695,0.0627061634762733,0.0471029750551165,0.0677350096581616,0.0449067788554115,0.053632,0.056412771792433,0.0576417953528647,0.0541933975740889,0.0626842379053233,0.0667927499848565,0.0650183663570263,0.066201,0.0683135222937592,0.069144176648867,0.06853068751461,0.0716391290346553,0.0817410266592183,0.0775421012477422,0.067018,0.0705538869771449,0.071532688699668,0.0745175449988312,0.0785132155862171,0.1381891115164323,0.075367875571892,0.088951,0.1064580816281064,0.1106869678164237,0.1050492195007921,5.67482557456854
GCA_027920645.1_ASM2792064v1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis nigoni,18,0.1065710294433698,0.1090291884956698,0.1007960321763155,0.1232,0.1317628788847751,0.1181773227841334,0.1153440072703945,0.0545347087900279,0.0383299476103923,0.0548461981625499,0.047131,0.0437151449776509,0.0421589329626857,0.0474580348551266,0.071714485278315,0.0408425104244627,0.0682088540328486,0.056635,0.0560289355402096,0.0470303645889019,0.0556238640008553,0.0720099935525467,0.0941075056131722,0.0745427031138406,0.084155,0.0830798851361828,0.0815914679781888,0.0792994226451406,0.069216097141629,0.0531179835346947,0.0687385612111732,0.060795,0.0574437933583178,0.0560381695712605,0.0645314337645675,0.0429292929292929,0.0381027477814604,0.0408327268487968,0.038367,0.03879030788438,0.0402344167646744,0.0410763926013043,0.0534869976359338,0.0265155565059339,0.0527850939494537,0.032642,0.0326922706883339,0.0394926761466909,0.0439965786378702,0.051472168493445,0.059666684486261,0.0546684972501632,0.056828,0.0564035898904447,0.0578023094194376,0.0554768523468405,0.0972356544165054,0.0550692291243451,0.0940128374761037,0.072271,0.0690976942345109,0.0602547311023201,0.0704252646209772,0.0460321298087255,0.0244774403934566,0.0462022372205313,0.030749,0.0328682790009066,0.0367863252432374,0.0380827007377312,0.0482618740597464,0.0259676039773334,0.0476408223138017,0.038269,0.0369538224364757,0.0285403079225916,0.0375948893403186,0.0461127229744251,0.0511600555971346,0.0492695587018552,0.047128,0.0458657288611752,0.0476384582486902,0.0465626002352186,0.0355684504620674,0.0649190099433336,0.0340201039720115,0.054856,0.0562819121180874,0.0544009943333689,0.0475181759863145,0.0718756716097141,0.0768470009622581,0.0749207419975167,0.072385,0.0699567959016662,0.0743478028440072,0.0783371645461349,0.063749194068342993,0.0632951994012616,0.0694244640959268,0.060869,0.0591104958680492,0.0581431091628354,0.0559713460921629,0.0692295293359123,0.1785523361488292,0.0690905674771111,0.12372,0.1299484652188332,0.1573626109269753,0.122701272319042,2.8903717578961645
GCA_013365325.1_Dcau_362YU_v1,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Dipetalonema,Dipetalonema caudispina,692.475,0.1231811788773814,0.1072430681325408,0.1120457546603556,0.140527,0.1162165254699584,0.106965967984886,0.1099735294866247,0.0484209180411712,0.039065887814708,0.0503732143163382,0.044927,0.0407184932946716,0.0409698996655518,0.0431482094224846,0.063227208796829,0.0470882330433895,0.0600144055152544,0.047765,0.0513918468103676,0.0517118129132732,0.0570834075695487,0.0919064058304564,0.1074662653368364,0.0926529728524635,0.114439,0.1085026703341443,0.1115486736960351,0.1016124105983863,0.0623833269402889,0.0511950616024283,0.0643435629641062,0.060247,0.0542936897445154,0.0517820214965916,0.0568734251317162,0.0267484976345735,0.0204193556615565,0.0267048670062252,0.02299,0.0205696890242658,0.0209732186167632,0.0210046068874239,0.0372970208413246,0.0207254546845904,0.0399120663339678,0.021142,0.0198121851680035,0.0228624677678776,0.0304729059024154,0.0438562843626134,0.0535609519679616,0.045915436195572,0.047797,0.0515625956304268,0.0492289821031938,0.0433963704853775,0.0807825086306099,0.0552508736576282,0.0783825093035619,0.057792,0.0556472622089841,0.0618027011156782,0.0690078647967624,0.0422835954481524,0.0264393031145575,0.0450601087273413,0.026452,0.0256247411048734,0.0257154892899997,0.0331008679274097,0.0408004091548395,0.0245963319133739,0.0429775256812608,0.022981,0.0239176964077109,0.0310385764252342,0.03850950647764,0.0521672420406597,0.0588220289263576,0.0549553257532884,0.045002,0.0548742357327164,0.0573923255635834,0.0597686375321336,0.06367472190257,0.0872190903757365,0.0594441872031006,0.089091,0.090668953961683,0.0906328984656233,0.075911832828527,0.0520393811533052,0.0601803433410708,0.0543304436555709,0.057808,0.0593270101571155,0.0570795782378922,0.0547736007533915,0.0745428973277074,0.0728388133561207,0.0798369947351271,0.060339,0.0649426505716315,0.0703107048941765,0.074607396472295,0.0966884030175169,0.1678889370711425,0.0930506250964655,0.140701,0.1619297543789311,0.1499846817636396,0.1307554277278627,6.540272136326801
GCA_001447665.1_T11_ISS1029_r1.0,Nematoda,Enoplea,Rhabditida,Trichinellidae,Trichinella,Trichinella zimbabwensis,60,0.120159377415314,0.1331492336185551,0.1107321845551791,0.134983,0.1289068746427785,0.1322178173187839,0.1180588703261734,0.0495722395458543,0.0420928951229064,0.0493483898954285,0.049519,0.0423211438686153,0.041069463412047,0.0422301776717051,0.0600197222888515,0.0412166512881448,0.0570401118628111,0.045598,0.0436629507719149,0.0417589265589159,0.0511203924688411,0.0858319341168945,0.1137059139820635,0.0838867250593002,0.104372,0.1121441836826781,0.1182827064080296,0.0984950941394855,0.0662029263612377,0.058695060507292,0.0661693447903495,0.068985,0.0599166258979023,0.0543814057092852,0.0567753911429329,0.0268116521414674,0.0158055800800568,0.0280199267169372,0.023408,0.0176849358228403,0.0141406239641479,0.0200411031556616,0.0400842195037445,0.0222711974668587,0.0434195224602434,0.025926,0.0213002940100789,0.0192187852189708,0.0303301511535401,0.042962607606407,0.0407785293707639,0.0438117806676696,0.045653,0.0407236416085217,0.0402805584651489,0.0412291169451074,0.0796753817861997,0.0540217600552299,0.0762503807212013,0.052957,0.049563734640467,0.0490513252277217,0.0628082736674622,0.0472668638895551,0.0314584813101172,0.0503324965158241,0.037979,0.0314814023188323,0.028453613715013,0.0382126756828427,0.0369526398550145,0.0191379619364988,0.0404764322039373,0.023562,0.019263439047135,0.0176078280584982,0.0301843012463537,0.0529037072572692,0.0538358901508865,0.0576723397971332,0.050075,0.0553829809803819,0.0555415600429588,0.0610050384513391,0.0522374137149862,0.0843517455175481,0.0476409129925147,0.077544,0.0886423763993977,0.0976452181753092,0.0722288517634579,0.0515844460435489,0.0482398783879768,0.0533551921142255,0.053066,0.0481403902085302,0.0444040784396918,0.0481370989127552,0.0794221902401322,0.0756689657003644,0.084469343867389,0.069486,0.0714719977961118,0.072168229007836,0.0809268098647573,0.1083126782335225,0.1655702555047363,0.1073749157798554,0.136886,0.1693930283038136,0.1737778602776415,0.1482166534075842,4.0943445622221
GCA_036852015.1_ASM3685201v1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Pelodera,Pelodera strongyloides,15.5,0.0864330155319815,0.0750786573818648,0.0825132001524141,0.104474,0.0854939094895691,0.0830045751143778,0.0821790975680781,0.0556823776912403,0.0445774868407318,0.0581459909640193,0.057615,0.0497793944686059,0.0473111827795694,0.0490117750714941,0.0737955627172761,0.0547395732371054,0.0670445266996897,0.05513,0.0529339455849417,0.0467561689042226,0.0561425254056314,0.068483953269773,0.0906013748266555,0.0679671765282238,0.084258,0.0865101133000124,0.0872121803045076,0.0807380139926975,0.0627993375408441,0.0459791539298868,0.0642017309890588,0.064588,0.0547784051145228,0.0525913147828695,0.0563889282967586,0.0442683854796114,0.0301209310648196,0.045336399760492,0.039452,0.0352364731365559,0.0335708392709817,0.0376996423424701,0.0482222520627247,0.031388395985864,0.0547670241140928,0.039148,0.0361919732156459,0.0377559438985974,0.042075160348548,0.0527729286961192,0.0552987489375661,0.0546282183876762,0.055122,0.0555949870391696,0.056708917722943,0.053962233156869,0.0893424645271026,0.0546873835050624,0.0893786402482173,0.058159,0.0541588184719119,0.0512337808445211,0.0644604896697454,0.0481625710576966,0.0348627410047268,0.0521596538021882,0.043145,0.0398724287738021,0.040936023400585,0.0427546349877171,0.0570401205556301,0.0373305697627603,0.0566858091557345,0.039377,0.0388658558438139,0.0358358958973974,0.0457488034526271,0.0548916043746176,0.0766965390751979,0.0567878721898644,0.057732,0.0693548886057345,0.0692792319807995,0.0661255758734235,0.0473419572385599,0.0892369861175312,0.0382818028414348,0.074256,0.0802850623876762,0.0774694367359184,0.0652071650974038,0.0588454709577309,0.0534050072320057,0.0627456317021392,0.058097,0.0569144176615171,0.0587639690992274,0.0605927109544752,0.0711546782447816,0.0798502900257966,0.0784470088726797,0.064759,0.0742605088957232,0.0769819245481137,0.0753619509135573,0.0807633200543097,0.1461461610724244,0.0709093135920744,0.104686,0.1297688180107971,0.1445886147153678,0.121551292868503,2.740840023925201
