Assembly Identifier,Phylum,Class,Order,Family,Genus,Organism Name,Average_lifespan_days,AA_Rate_downstream1,AA_Rate_downstream2,AA_Rate_exon,AA_Rate_genome,AA_Rate_intron,AA_Rate_upstream1,AA_Rate_upstream2,AC_Rate_downstream1,AC_Rate_downstream2,AC_Rate_exon,AC_Rate_genome,AC_Rate_intron,AC_Rate_upstream1,AC_Rate_upstream2,AG_Rate_downstream1,AG_Rate_downstream2,AG_Rate_exon,AG_Rate_genome,AG_Rate_intron,AG_Rate_upstream1,AG_Rate_upstream2,AT_Rate_downstream1,AT_Rate_downstream2,AT_Rate_exon,AT_Rate_genome,AT_Rate_intron,AT_Rate_upstream1,AT_Rate_upstream2,CA_Rate_downstream1,CA_Rate_downstream2,CA_Rate_exon,CA_Rate_genome,CA_Rate_intron,CA_Rate_upstream1,CA_Rate_upstream2,CC_Rate_downstream1,CC_Rate_downstream2,CC_Rate_exon,CC_Rate_genome,CC_Rate_intron,CC_Rate_upstream1,CC_Rate_upstream2,CG_Rate_downstream1,CG_Rate_downstream2,CG_Rate_exon,CG_Rate_genome,CG_Rate_intron,CG_Rate_upstream1,CG_Rate_upstream2,CT_Rate_downstream1,CT_Rate_downstream2,CT_Rate_exon,CT_Rate_genome,CT_Rate_intron,CT_Rate_upstream1,CT_Rate_upstream2,GA_Rate_downstream1,GA_Rate_downstream2,GA_Rate_exon,GA_Rate_genome,GA_Rate_intron,GA_Rate_upstream1,GA_Rate_upstream2,GC_Rate_downstream1,GC_Rate_downstream2,GC_Rate_exon,GC_Rate_genome,GC_Rate_intron,GC_Rate_upstream1,GC_Rate_upstream2,GG_Rate_downstream1,GG_Rate_downstream2,GG_Rate_exon,GG_Rate_genome,GG_Rate_intron,GG_Rate_upstream1,GG_Rate_upstream2,GT_Rate_downstream1,GT_Rate_downstream2,GT_Rate_exon,GT_Rate_genome,GT_Rate_intron,GT_Rate_upstream1,GT_Rate_upstream2,TA_Rate_downstream1,TA_Rate_downstream2,TA_Rate_exon,TA_Rate_genome,TA_Rate_intron,TA_Rate_upstream1,TA_Rate_upstream2,TC_Rate_downstream1,TC_Rate_downstream2,TC_Rate_exon,TC_Rate_genome,TC_Rate_intron,TC_Rate_upstream1,TC_Rate_upstream2,TG_Rate_downstream1,TG_Rate_downstream2,TG_Rate_exon,TG_Rate_genome,TG_Rate_intron,TG_Rate_upstream1,TG_Rate_upstream2,TT_Rate_downstream1,TT_Rate_downstream2,TT_Rate_exon,TT_Rate_genome,TT_Rate_intron,TT_Rate_upstream1,TT_Rate_upstream2
GCA_000001215.4_Release_6_plus_ISO1_MT,Arthropoda (Mandibulata),Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,69.64,0.073372478779395,0.1108641239801464,0.0650637507560528,0.101734,0.1075116280712455,0.1136503012226723,0.0942197396985776,0.0585714318988025,0.0552119399751637,0.0604830724546302,0.052657,0.0527488126680095,0.0541030862975547,0.0571385253608432,0.072727300959537,0.0539875354458341,0.069400572788721,0.054386,0.052429767131335,0.0550956044462643,0.0637100707356796,0.056986049097178,0.0927920678703098,0.0561848298080459,0.081257,0.0875177620044773,0.0852019882904552,0.0683485583868134,0.0770517780433022,0.0662795510903583,0.0803177713014952,0.067991,0.0686885430446467,0.0679836191891491,0.075767508618119,0.0653423052646044,0.041285450669844,0.0692085395759002,0.046393,0.0447862580137407,0.0423118002349966,0.0578300634180622,0.0624727779214094,0.0349200945480148,0.0649223889757005,0.041339,0.0352748086554154,0.0421417317465956,0.0542397123077916,0.0573633733095137,0.0523372006205197,0.0578897123796403,0.05442,0.054026130911215,0.0501504466912768,0.0516526328532403,0.0761146786106084,0.0527774446503386,0.0745482337095063,0.055673,0.0509454323462185,0.054181341046204,0.0653615626284789,0.0773374885579926,0.0455261844614747,0.0822813372939583,0.055355,0.0495787082474036,0.0533228632095371,0.0682584418502742,0.0650829919170321,0.0363352199092431,0.0680028377921554,0.046303,0.0380082568530452,0.0383475386363451,0.0531293064004786,0.0463953503719283,0.0520613711009582,0.046477699651322,0.052587,0.0528824768919205,0.0517825618202829,0.0497110662720103,0.0399955901203167,0.08286955546185,0.03070530459361,0.064635,0.0730623170174562,0.072172185240612,0.047990343220239,0.0574705147525226,0.0530432158704491,0.0601105702479517,0.055738,0.0556619616958641,0.0530141056121439,0.0563123926481923,0.065159854256582,0.0608728282777483,0.0697960594803922,0.067892,0.0657022392807936,0.0620591148768088,0.0657858452060903,0.0485560361392745,0.1088362160677465,0.0446073191909173,0.101639,0.1111748971672125,0.1044817114391009,0.0705442303951087
GCA_000002075.2_AplCal3.0,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,Aplysia californica,365.0,0.0719665897581567,0.087907801168519,0.0720336625716648,0.101162,0.0939592531942897,0.0987332976243901,0.085924277535477,0.0604981838589973,0.0561412442120248,0.0654297834408182,0.059806,0.0541091985611867,0.059915203323827,0.0605995282833322,0.0771502485889292,0.0615389494604937,0.0781211047351586,0.062201,0.0565383325573233,0.0608722874473413,0.0674387441544441,0.0555949648985059,0.0741200868284363,0.0513265428654267,0.075014,0.0777405407384592,0.0750238863876543,0.0666496038616235,0.074911552916833,0.0661427242421893,0.0803622206651112,0.069716,0.0637379400924484,0.0691031385265718,0.0739433465197509,0.0556311395746478,0.0405940559169491,0.0616189569224937,0.043344,0.0412719724976324,0.0440066881885432,0.0502876792395973,0.0393828531346045,0.0258370980132357,0.0439873162952987,0.026414,0.0225644258174317,0.0277306484068503,0.0348504038495628,0.0639681966028189,0.0615211538597072,0.0637329609689286,0.062174,0.0664507868641634,0.063055539470446,0.0609363944952872,0.0860564538550663,0.0647203095377372,0.0837224431463272,0.061653,0.0560723926237232,0.0619363174428536,0.0717303226551018,0.0536477337598959,0.0373608947839508,0.0589807661584224,0.036856,0.0347184514081516,0.037658156839469,0.0467829883256103,0.0619513722777264,0.0476148609124033,0.0651268241307623,0.043448,0.0412462598232681,0.0418880379865946,0.0523797501125053,0.056669525040283,0.0670034322604289,0.0554191300641655,0.059862,0.0650677921246492,0.0597604846765204,0.0606560192221682,0.0374662843405339,0.0608836837246016,0.0298848480317911,0.065649,0.0685762419563905,0.0647806071485443,0.0489216728873125,0.0613057404387747,0.0599089781448879,0.0632367106363352,0.06164,0.063923840489665,0.0623219378374857,0.0623517870977814,0.0799518911259385,0.0815903628893007,0.0773998985927865,0.069757,0.0767572391921,0.0707373655485907,0.0772896548628907,0.0638472698282874,0.1071143640451338,0.0496168307745087,0.101304,0.1172653320591168,0.1024764031443172,0.079257826897554
GCA_000002995.5_B_malayi-4.0,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Brugia,Brugia malayi,2677.305,0.1119855217113365,0.1275592122963695,0.1089690805436736,0.150168,0.1328838818360805,0.1260202948443876,0.1141828131881851,0.0503848625938641,0.0400864425755721,0.0535733089124517,0.043207,0.0375203451946861,0.0425036092062522,0.0456174635597834,0.0621127641303533,0.0445717360550594,0.0607038033996404,0.046369,0.0470166201515072,0.0488535564563147,0.0576332846654574,0.0937988263389194,0.1148497235746955,0.0928935122054041,0.117768,0.117499312611659,0.1133446930786529,0.1022788357164408,0.0656138902388255,0.0541350969007385,0.0687774849883091,0.058249,0.052016668560226,0.0558828326716455,0.060040957312146,0.0272077561265352,0.0191258537940132,0.0283554890016876,0.019721,0.0159615764068834,0.0206705141730753,0.0217722274049849,0.035349180719072,0.0166931375356922,0.0388235519356357,0.017682,0.0151075414380952,0.0195235500707959,0.0291989914998838,0.0445653290971449,0.0511859817220819,0.0452628451290533,0.046435,0.0475520236746783,0.0494096865543185,0.0437759451220569,0.0767809148564451,0.0515079716371147,0.0774489876552293,0.053767,0.051074724595375,0.055174872983703,0.0680243385619509,0.0415693405864125,0.0246179081938188,0.0452066293008158,0.025363,0.0228034760367716,0.0258014867153446,0.0349350960121241,0.0409875614221191,0.0201317468169864,0.0438111816379396,0.019701,0.0189272213423245,0.0230607457175379,0.0387559866689324,0.0546645973443697,0.0496801798283299,0.0561104352907015,0.043324,0.0496373722980317,0.0506069713206918,0.0573220299012654,0.0682754428227785,0.0937997413665911,0.0600385984070742,0.095329,0.0989448848022513,0.0936797245897998,0.0773368383451997,0.0522765158047103,0.0573810329714201,0.0536803911495451,0.053795,0.0543524124415418,0.0565109733751631,0.0525682419567954,0.0761224941255981,0.0646080141640846,0.080668962725058,0.058403,0.061391411340576,0.06321403287154,0.0739156369538302,0.0983050020815152,0.1700662205674313,0.08567573771778,0.15072,0.1773105272693118,0.1557424553707765,0.1226413131309628
GCA_000183805.3_Loa_loa_V3.1,Nematoda,Chromadorea,Monhysterida,Onchocercidae,Loa,Loa loa,4675.275,0.1074357967810582,0.1160562112721889,0.1049018713313583,0.138846,0.1176836211788763,0.1149626613962625,0.1091693344181767,0.0502450174770994,0.0415665227555613,0.0538585469440164,0.045985,0.0407840028610198,0.044503552394365,0.0466460470386057,0.0627935936710548,0.0465742815951826,0.0617834367924665,0.047905,0.0496064378689497,0.049702948033658,0.0569818415469663,0.0896393951289511,0.1091220199441286,0.0886740726485633,0.11361,0.1095941600557908,0.1085097695776181,0.099750777513326,0.0637496220025506,0.0555411247468841,0.0679147398898524,0.061209,0.05543184425274,0.0581539384041248,0.0606907131831281,0.0291335077599824,0.023073736496867,0.0304193091456896,0.024476,0.0212745282828897,0.0246389418164747,0.0253642336265959,0.0389454763331336,0.0208180240693013,0.0428714972425335,0.02164,0.0200686217094994,0.0233499414180385,0.0331270103186854,0.0453540591760876,0.0536764925989264,0.0453635376074512,0.047757,0.0508905494803086,0.051403205636492,0.0442127534997604,0.0785915392431786,0.0548516646983901,0.0793438039173619,0.057537,0.0550110860363846,0.0575148624606001,0.0695817396527994,0.0435885058723429,0.0272356031761512,0.0479754404430629,0.027216,0.0262664654190356,0.0281242726566229,0.0369119223779361,0.0446835245703037,0.0247848334239416,0.0472338271812136,0.024304,0.025021456326661,0.028553281970563,0.042229999467717,0.0561765252784033,0.0527890783348284,0.0568285489279864,0.045611,0.053760069890369,0.0533283232935291,0.0580273973644389,0.0645985901869044,0.0868545847644779,0.056202562309309,0.088736,0.0895346433772819,0.0869399702553542,0.0729161122052483,0.0528801996953481,0.0612972470845206,0.0539061713831842,0.057403,0.0593382803497979,0.0602447424168905,0.0546350439893847,0.0772241745568742,0.0673903744038439,0.0809826112411306,0.060822,0.065364904140458,0.06599741213692,0.0748532419834384,0.0949604722667262,0.1583682006348053,0.0817400229948193,0.136943,0.1603693287699371,0.1440721761324859,0.1149018318137922
GCA_000239435.1_ASM23943v1,Arthropoda (Chelicerata),Arachnida,Trombidiformes,Tetranychidae,Tetranychus,Tetranychus urticae,50.0,0.1273441384666097,0.1412972722553898,0.1200481861336563,0.135038,0.1328882118573136,0.1264655317790783,0.1165521038901676,0.0518657571135656,0.0484257939507068,0.0537348800381203,0.047716,0.0468547806183138,0.0478058475269734,0.0488647445962425,0.0605255071540709,0.0396827409665545,0.0581880962194949,0.050735,0.0452222043242309,0.0458467120817879,0.0476727166194355,0.0926157473364285,0.1174284501750808,0.0921139847422701,0.105247,0.110151157149708,0.1056258085253516,0.0998704341771449,0.0680377006408215,0.0676427009062047,0.0696618433687217,0.067515,0.0675394774490912,0.0648167116177524,0.0655284890765312,0.0354770404885216,0.0247869187290025,0.0377216102232731,0.025904,0.0246433654577981,0.0258569661355911,0.0305361941257892,0.0249635452457972,0.0156532942423673,0.0255010309105626,0.017124,0.0146555273777645,0.0166368061678246,0.0198034610263428,0.0551184709674896,0.0517245169002487,0.0572210888295986,0.050849,0.052754166544539,0.055321525703608,0.0555844662173781,0.0763097173569325,0.0507703501560877,0.0732949826116683,0.063178,0.0551961279910612,0.05396846595507,0.0569221367101484,0.0332824922201923,0.0212610668970644,0.0336727007905751,0.024519,0.0217848390071672,0.0238174733151265,0.0263859425843592,0.0354167015850136,0.017642785445491,0.0372297293983087,0.025809,0.0199775916507159,0.0221610927697602,0.0292478180230372,0.0455703981808938,0.0424088511505515,0.0490737236491726,0.047611,0.0468846695007013,0.0502873059114733,0.0551094475499287,0.0657906351786981,0.0869813444339052,0.0607619694169721,0.073006,0.0794942714360841,0.0803568093821197,0.0739712736942168,0.0613367301901234,0.0654683504638107,0.0648096663703256,0.063252,0.0663092264739167,0.0651788857035175,0.0657363097435403,0.0699830715854046,0.0591138141138901,0.0728932661597731,0.067449,0.0639873626769393,0.0655172921149042,0.0715306412247863,0.0963623462894367,0.1497117492136437,0.0940732411375062,0.135047,0.1516570204846545,0.1503367653100606,0.1366838207409507
GCA_000239455.1_Smar_1.0,Arthropoda (Mandibulata),Chilopoda,Geophilomorpha,Linotaeniidae,Strigamia,Strigamia maritima,2190.0,0.1127055537229525,0.1312875687492902,0.1102374410866969,0.126624,0.1347923422584606,0.1288949987755752,0.1159105397509511,0.0545878631770785,0.0483298384087479,0.059226215543587,0.052981,0.0462296382083644,0.0555603783925959,0.05718998475115,0.0679019190862875,0.0489098471697194,0.0639346636978995,0.048459,0.0453280295253967,0.0503042922241902,0.0585554353411933,0.079116045882141,0.1006112400019468,0.0784649496527338,0.094096,0.10401154063619,0.0945849329676039,0.086697213803509,0.064315008082949,0.0571711695085743,0.0684885761199577,0.064314,0.0563153066592908,0.0653581086071229,0.067743306165217,0.0387392003144278,0.0282447535571166,0.040443578869805,0.034201,0.0251811593488821,0.0351898376633052,0.0377439315435647,0.0449238845881205,0.0283357601765173,0.0503749282826398,0.031425,0.0246743687204769,0.0342859660192979,0.0418657433808151,0.0420201056047239,0.0420301016434933,0.0430650712213025,0.048374,0.0417537478433947,0.0450712692944074,0.0436410268959654,0.0837870780431542,0.0574198533348475,0.0824302414646652,0.055519,0.0506384069701054,0.0583606183539326,0.0715815966724928,0.0437803403026836,0.0304167444067686,0.047590460329427,0.035693,0.0286573488892529,0.0361901084620059,0.0420689295475449,0.0475062172032294,0.0324470285705014,0.0488127256696218,0.03417,0.0284857721065028,0.0342108161406391,0.0424006519754663,0.0530255496054444,0.0550620467414053,0.0518349568025089,0.052805,0.0536595548362382,0.0505320740977803,0.0514078304784688,0.057835547663665,0.0830515254636014,0.0503433390569427,0.075692,0.0886122006014703,0.0766430290065574,0.0631061133576118,0.0511347711858657,0.0488974256534224,0.0549321822040357,0.055433,0.0478548312885551,0.0530402660823979,0.0539399948239436,0.0680778489763547,0.0655480879990914,0.0683343848721712,0.064138,0.0629548551471317,0.0604943566328189,0.0650638194896072,0.0905430665609215,0.1422370086149553,0.0814862851260046,0.126077,0.1608508969602867,0.1212789472797687,0.1010838820224983
GCA_000326865.1_Helobdella_robusta_v1.0,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Helobdella,Helobdella robusta,331.0,0.1060778220738726,0.1173236996725173,0.1026532807852698,0.122653,0.1193835904500796,0.1354296062514444,0.125782223887091,0.0588974585780303,0.0503088740185608,0.0637188583166046,0.057162,0.0544823756837077,0.0556724130459902,0.0562955027483682,0.0668347121453038,0.0412631176172533,0.0689947338148403,0.044717,0.0401889064910431,0.0432573328326015,0.0556928281425313,0.0812066185338091,0.1171918695808789,0.074232802310118,0.111527,0.1173873370476888,0.115300727987058,0.0941658310191755,0.075674826090065,0.0602720602412699,0.0805533623823257,0.071144,0.0693361925879035,0.0676905790193359,0.0710375998365185,0.039241928174148,0.0199601520380603,0.042965933687985,0.024485,0.0211165601757339,0.0217123223364917,0.0303819776565508,0.0335186915142351,0.0233934141751725,0.0372567458888554,0.02382,0.0210486907589078,0.0219055133464293,0.0293854290957181,0.0516976197693333,0.0430256351236019,0.0537573370362172,0.044578,0.0434748242156379,0.0430957384831677,0.0457644165134028,0.0814571504710177,0.0569712260646924,0.081580574982115,0.05396,0.0492220596721602,0.0487990861643941,0.0648468384941795,0.04136908613158,0.026143013229344,0.0462305133346767,0.028582,0.0253139391143327,0.0264846217548725,0.0353252737468476,0.0458207550347169,0.0251723730761699,0.0487312079924738,0.024457,0.0211150278569954,0.0212109886564979,0.0348789030373079,0.05077171518064,0.0583280895248885,0.0516118446770859,0.057176,0.0585598758468381,0.0520541440374393,0.0536101602871246,0.0545149223085099,0.0915355216331386,0.0440265852971869,0.088302,0.0935004005168007,0.0978109231761805,0.0701122333157454,0.0584478010209176,0.0501127730205681,0.0611489731728114,0.053797,0.0540618045216287,0.0506160446036514,0.0545681519095916,0.0735961200638856,0.0767660673529205,0.0745611726484319,0.071182,0.0718597537780772,0.0620901461751791,0.0691545382851119,0.0808727729099343,0.1422321136309624,0.0679760736730017,0.122457,0.139948661282464,0.1368698121292658,0.1089980920247345
GCA_000327385.1_Helro1,Mollusca,Gastropoda,Lottioidea,Lottiidae,Lottia,Lottia gigantea,6077.25,0.1180883584747211,0.1155034748965027,0.1171321419363888,0.118969,0.1127536867535673,0.1181487638940137,0.1174130918406328,0.0529732571905372,0.0494926166828411,0.0578193738159546,0.053961,0.0486772898341848,0.0528057512199369,0.0525430185269966,0.0716225791848878,0.0518902008766791,0.0749391689836901,0.053371,0.0523299128528251,0.0534326142926438,0.0628395246566816,0.0972541066895195,0.1118054550444071,0.0935654651329623,0.107243,0.1115701981848208,0.1054160914202953,0.0980619631398563,0.0637898424420461,0.0615623449867288,0.0694454495220733,0.065546,0.0618510547115586,0.0628565663768668,0.0642243588407245,0.0315637409180791,0.026231152506656,0.0351566045730869,0.030088,0.0273532534005925,0.0293456494790651,0.0300824429828705,0.0179407251773373,0.0142262681436493,0.0187637419674544,0.017316,0.0132293841290848,0.0200726088753087,0.0218538476054281,0.049203930723102,0.051057626564018,0.0504630073103188,0.053436,0.0532516293951336,0.0516714275645623,0.0478305212039366,0.0784725276261361,0.0570333924407286,0.0798394627266322,0.05703,0.0541570947443946,0.0593875370887074,0.0693665202595961,0.0262282972063651,0.0240322041823521,0.0286206602781376,0.025281,0.0240057754427187,0.0260571058992292,0.0280359206764813,0.0366228426237651,0.0294692455038114,0.0392568681427852,0.030101,0.0276035339467032,0.0306361361133107,0.03809119762572,0.05527055172703,0.0570191650781725,0.0558188626555494,0.05399,0.0568209270082229,0.055547033387092,0.0582087907595416,0.0838746375027284,0.0942644850283001,0.0759891671919795,0.092002,0.0965697626893667,0.0893876891057665,0.0798124747704329,0.0503394060474813,0.0534842126892205,0.0519038354738349,0.057055,0.0556483821267796,0.0557546057713967,0.0533292469669694,0.0712537647566093,0.0719972946122893,0.0722398558153977,0.065614,0.0694254010286214,0.067467934765334,0.0713182836286608,0.0955014317096537,0.1309308607636427,0.0790463344737536,0.118997,0.1347527137514248,0.1220124847464701,0.1069887965154702
GCA_000328365.1_Capca1,Annelida,Polychaeta,Scolecida,Capitellidae,Capitella,Capitella teleta,121.0416667,0.0817453058257958,0.0911484224832855,0.077789097277471,0.096553,0.090572389270777,0.0935409189499297,0.0807394026915598,0.0577590534352085,0.0486214493576016,0.0612501448638629,0.054197,0.0501533410580179,0.05452039998472,0.0561820199595682,0.0695144297544585,0.0469480814326921,0.0697293484908627,0.055095,0.0502330311663813,0.0543265967129142,0.0622084985472674,0.0636288884577362,0.0992315363867154,0.0613812072352322,0.092574,0.0978848242333906,0.0933129460235108,0.0763278928764762,0.0764214948061507,0.0663058825856347,0.0801749251001454,0.072374,0.0688933010327631,0.0724046219802348,0.0769098073619904,0.0534499909149982,0.035509535758904,0.0570651044099529,0.040107,0.0377297810092688,0.0406862458203503,0.0483752970565017,0.0461668991811179,0.0276881520128754,0.0481769438244069,0.034268,0.0303154352434465,0.0353002321083307,0.0426304111927357,0.0612495419003359,0.0573178814214044,0.062369021082187,0.055031,0.0573844269699817,0.0556876003405049,0.0589634463400749,0.0839925349002651,0.0558168973330634,0.0818812683117246,0.06215,0.0556228128976705,0.0602968239043193,0.0720210356664949,0.0575305425439852,0.0393771742998377,0.0613420703950201,0.045363,0.0419250634157323,0.0470360190214581,0.055341184743063,0.053346822251171,0.0339280717785152,0.0559296986320569,0.040112,0.0342933962103913,0.0386194197887509,0.0484950643235654,0.0507854676928099,0.057898973523309,0.0507077851509026,0.054178,0.0577298370175955,0.0543320288118527,0.0539179421716319,0.0357924431263492,0.0725256823782626,0.0296186916075466,0.067348,0.0737579742616169,0.0694583216075928,0.045715445130902,0.0660886141830735,0.0633770624464284,0.0678247656727735,0.062108,0.0645120344543744,0.061887202290313,0.0669862103353072,0.0762939968156299,0.0783118797016583,0.0771780560934057,0.072334,0.0747323973895493,0.0720487318852642,0.0768680777517926,0.0662339742109137,0.1259933170998116,0.0575818718524484,0.096208,0.1142599543690421,0.0965418907699527,0.078318263851068
GCA_000341325.1_Pred3,Nematoda,Chromadorea,Rhabditida,Panagrolaimidae,Panagrellus,Panagrellus redivivus,32.775,0.0855923738091266,0.1057831228530373,0.0778029080562896,0.098699,0.0980342308970393,0.0911917405880084,0.075959080153894,0.0596524730094272,0.0554093909507022,0.0601417559991679,0.0574,0.0548941862173082,0.0556788402013429,0.0551424618484297,0.0562981837563821,0.0399541981293324,0.0530797074900713,0.051217,0.0476564724914874,0.0452729897845155,0.0467042379186491,0.060152884266955,0.0861513009357255,0.0620301755121085,0.07177,0.0750885728879034,0.0685347257246269,0.0679805751735244,0.0705464836043415,0.0623839893272629,0.0717221887815228,0.068784,0.0664341564984209,0.0659165751920966,0.0698938029788427,0.0690634640346185,0.0401163069744024,0.0742080781029998,0.048135,0.0444840290676097,0.0526028223613294,0.0669838695020213,0.070169737197812,0.036063096092834,0.0740438598443297,0.05339,0.0436510281813738,0.0556061550024228,0.0617447257455732,0.0569375981410009,0.0538098517120359,0.0578640493544919,0.050948,0.0519209937662185,0.0536644218312714,0.0577321471353337,0.0756253702755713,0.0486380408240026,0.0760671276960093,0.063093,0.0539399399190596,0.0560135876820838,0.0592813902756321,0.0648550245316553,0.0367722610706628,0.0672943265818099,0.052755,0.0452359099649243,0.0548397464423809,0.0583881942618716,0.046632193891148,0.0302560732046323,0.0487295821010179,0.048133,0.0390655759504727,0.0430029370753849,0.0431912270462474,0.0500468776063086,0.0604455397538884,0.0501094858750285,0.057236,0.0614310087531365,0.0603504712176501,0.0568268021007115,0.0361705309535997,0.0702700214218757,0.0269820911636283,0.04851,0.0572656421791494,0.0474342619238338,0.0408129347223389,0.0694507555059617,0.0602716767931638,0.0759037537471524,0.062969,0.0618735472641269,0.0647471840666132,0.0757408837392159,0.0637535445797408,0.0698605863932398,0.0670566533693901,0.068477,0.0692947949648822,0.0702855984414711,0.0663963428531441,0.0650525048363501,0.1438145435632014,0.0569642563249811,0.098484,0.1297299109968864,0.1148579424649677,0.0972213245445696
